k119ub_signal_decile	n_genes	n_neuronal	frac_neuronal	signal_min	signal_max
1	1754	291	0.165906499429875	0.221488	0.457364
2	1753	296	0.168853394181403	0.457488	0.58139
3	1754	313	0.178449258836944	0.581527	0.701973
4	1753	381	0.217341699942955	0.701989	0.837482
5	1754	392	0.223489167616876	0.837577	0.993668
6	1753	353	0.201369081574444	0.993723	1.180968
7	1753	453	0.258414147176269	1.181029	1.450417
8	1754	457	0.26054732041049	1.450515	1.847825
9	1753	496	0.282943525385054	1.848042	2.611778
10	1754	685	0.390535917901938	2.611784	44.998495
