gene_name	chr	set_label	group	gene_length	mecp2_fold	mecp2_fdr	k119ub_fold	k119ub_fdr	mch_diff	edger_fdr	spearman_rho	spearman_p
Arhgap26	chr18	Neuronal gene set	Neither	383140	0.002315152	0.995366854	0.776810428	1.76e-12	0.0170988603431517	4.81031639917514e-18	0.211545501978358	1.53770065809294e-70
Trpm3	chr19	Neuronal gene set	Neither	856365	0.106080893	0.61793793	0.074537222	0.512075945	0.0115490515907076	2.4006788018813e-15	0.211545501978358	1.53770065809294e-70
Mcu	chr10	Neuronal gene set	Neither	169709	-0.027928153	0.922594536	0.63403109	1.6e-07	0.00354066578383002	0.0980671506452571	0.211545501978358	1.53770065809294e-70
Arhgap26	chr18	Synapse gene set	Neither	383140	0.002315152	0.995366854	0.776810428	1.76e-12	0.0170988603431517	4.81031639917514e-18	0.211545501978358	1.53770065809294e-70
Trpm3	chr19	Synapse gene set	Neither	856365	0.106080893	0.61793793	0.074537222	0.512075945	0.0115490515907076	2.4006788018813e-15	0.211545501978358	1.53770065809294e-70
Mcu	chr10	Synapse gene set	Neither	169709	-0.027928153	0.922594536	0.63403109	1.6e-07	0.00354066578383002	0.0980671506452571	0.211545501978358	1.53770065809294e-70
Zbtb20	chr16	Neuronal gene set	MeCP2-up only	766722	1.251429852	7e-05	0.884948957	0.00072491	0.0085524297670826	3.23721304105379e-12	0.211545501978358	1.53770065809294e-70
Lpp	chr16	Neuronal gene set	MeCP2-up only	599072	0.694963005	0.017137351	0.844272697	8.32e-11	0.006702860050746	2.92646484260367e-09	0.211545501978358	1.53770065809294e-70
Zbtb20	chr16	Synapse gene set	MeCP2-up only	766722	1.251429852	7e-05	0.884948957	0.00072491	0.0085524297670826	3.23721304105379e-12	0.211545501978358	1.53770065809294e-70
Lpp	chr16	Synapse gene set	MeCP2-up only	599072	0.694963005	0.017137351	0.844272697	8.32e-11	0.006702860050746	2.92646484260367e-09	0.211545501978358	1.53770065809294e-70
Cntnap2	chr6	Neuronal gene set	Gene set only	2244857	0.018867124	0.951415639	0.044932107	0.814118308	-0.0014923291324827	9.04579205744142e-11	0.211545501978358	1.53770065809294e-70
Syt1	chr10	Neuronal gene set	Gene set only	513333	-0.075931478	0.737868788	1.257256571	8.08e-59	0.00553712778233336	2.24916039908572e-08	0.211545501978358	1.53770065809294e-70
Dlgap1	chr17	Neuronal gene set	Gene set only	852341	-0.04338638	0.870923896	0.324755576	0.003421143	0.0022075784663896	0.449696876723901	0.211545501978358	1.53770065809294e-70
Cdh8	chr8	Neuronal gene set	Gene set only	392001	-0.059540469	0.804330104	0.631364072	3.52e-12	0.00244720115007071	0.558621868411024	0.211545501978358	1.53770065809294e-70
Cntnap2	chr6	Synapse gene set	Gene set only	2244857	0.018867124	0.951415639	0.044932107	0.814118308	-0.0014923291324827	9.04579205744142e-11	0.211545501978358	1.53770065809294e-70
Syt1	chr10	Synapse gene set	Gene set only	513333	-0.075931478	0.737868788	1.257256571	8.08e-59	0.00553712778233336	2.24916039908572e-08	0.211545501978358	1.53770065809294e-70
Dlgap1	chr17	Synapse gene set	Gene set only	852341	-0.04338638	0.870923896	0.324755576	0.003421143	0.0022075784663896	0.449696876723901	0.211545501978358	1.53770065809294e-70
Cdh8	chr8	Synapse gene set	Gene set only	392001	-0.059540469	0.804330104	0.631364072	3.52e-12	0.00244720115007071	0.558621868411024	0.211545501978358	1.53770065809294e-70
Epha3	chr16	Neuronal gene set	Both	320642	2.691133668	1.44e-12	0.643198141	9.85e-08	0.0111898424144496	7.0060800467962e-12	0.211545501978358	1.53770065809294e-70
Epha3	chr16	Synapse gene set	Both	320642	2.691133668	1.44e-12	0.643198141	9.85e-08	0.0111898424144496	7.0060800467962e-12	0.211545501978358	1.53770065809294e-70
