set_label	mark	group	n_genes	median_fold	mean_fold
Neuronal gene set	ATAC-seq	Both	127	0.0744108355785561	0.114161756882634
Neuronal gene set	ATAC-seq	Gene set only	3596	0.121043924074474	0.193851149716113
Neuronal gene set	ATAC-seq	MeCP2-up only	280	0.0641907371888487	0.088782262610534
Neuronal gene set	ATAC-seq	Neither	10727	0.0922827111230368	0.135431109237004
Neuronal gene set	H3K27ac	Both	98	-0.133422273962411	-0.283998575144929
Neuronal gene set	H3K27ac	Gene set only	2155	0.0577404566362636	0.0353764871231299
Neuronal gene set	H3K27ac	MeCP2-up only	211	-0.518046347917089	-0.548614627487867
Neuronal gene set	H3K27ac	Neither	6135	0.0467221679157204	-0.0125778514129129
Neuronal gene set	H3K27me3	Both	56	0.06917418358934	0.452551342436229
Neuronal gene set	H3K27me3	Gene set only	1372	-0.102293275867679	-0.00801920272320614
Neuronal gene set	H3K27me3	MeCP2-up only	86	0.213182454285814	0.743681503915146
Neuronal gene set	H3K27me3	Neither	2730	-0.0650184315425957	0.032171993276546
Neuronal gene set	H2AK119ub	Both	119	0.546681417	0.529881595764706
Neuronal gene set	H2AK119ub	Gene set only	2558	0.015704477	0.0585367321794371
Neuronal gene set	H2AK119ub	MeCP2-up only	258	0.6919743175	0.680842766406977
Neuronal gene set	H2AK119ub	Neither	5950	0.1281372285	0.169136096519496
Synapse gene set	ATAC-seq	Both	74	0.0657840288147118	0.161440050258763
Synapse gene set	ATAC-seq	Gene set only	1888	0.123133940156007	0.195357993543237
Synapse gene set	ATAC-seq	MeCP2-up only	333	0.0657648078236121	0.0823153541618483
Synapse gene set	ATAC-seq	Neither	12435	0.0951565383069026	0.143226566252903
Synapse gene set	H3K27ac	Both	58	-0.123486520612643	-0.211278074947862
Synapse gene set	H3K27ac	Gene set only	1228	0.0588495034013915	0.0515823612417551
Synapse gene set	H3K27ac	MeCP2-up only	251	-0.469137859122489	-0.523248678952856
Synapse gene set	H3K27ac	Neither	7062	0.0481241844300645	-0.00910109434618391
Synapse gene set	H3K27me3	Both	32	-0.00101295443003314	0.268644025864086
Synapse gene set	H3K27me3	Gene set only	666	-0.122398186970091	-0.0556100825083531
Synapse gene set	H3K27me3	MeCP2-up only	110	0.222409630056322	0.733662506231642
Synapse gene set	H3K27me3	Neither	3436	-0.068589485454319	0.0331383907041021
Synapse gene set	H2AK119ub	Both	68	0.5781726465	0.595928901029412
Synapse gene set	H2AK119ub	Gene set only	1355	0.036834147	0.0734095699129151
Synapse gene set	H2AK119ub	MeCP2-up only	309	0.64615976	0.64139216297411
Synapse gene set	H2AK119ub	Neither	7153	0.105763548	0.147717987973438
