mark_display	k119ub_signal_decile	group	n	median	mean	q25	q75
ATAC-seq	1	Neuronal	248	0.0915459027115424	0.162866211870018	0.0420543043290156	0.155072665630266
ATAC-seq	1	Other	1069	0.0841772643244565	0.121710054424623	0.0373369083774826	0.150073416980501
ATAC-seq	2	Neuronal	257	0.0917227765442671	0.132276413138914	0.0402023631682969	0.158147304786988
ATAC-seq	2	Other	1039	0.0790162497833547	0.104637279172591	0.0298052558592889	0.147969758644776
ATAC-seq	3	Neuronal	250	0.0866327547878692	0.122154437338427	0.0277148829309845	0.179668726386046
ATAC-seq	3	Other	1071	0.0828480393011906	0.107857720195327	0.0225691821875608	0.151038256388903
ATAC-seq	4	Neuronal	327	0.0972419575281255	0.158117232968815	0.0374057704881309	0.221887600260185
ATAC-seq	4	Other	1068	0.0837717602974063	0.115995603728424	0.0240975912935453	0.168020535689286
ATAC-seq	5	Neuronal	338	0.0920450622124624	0.165187209694301	0.0235564720079283	0.221498267314303
ATAC-seq	5	Other	1068	0.0897352779135537	0.136223352534673	0.0241812084392228	0.189883085960469
ATAC-seq	6	Neuronal	325	0.131167898648923	0.168417180161894	0.0398234342292507	0.298989835278963
ATAC-seq	6	Other	1123	0.0981294583503783	0.148901448285291	0.0239773772395508	0.218723139786264
ATAC-seq	7	Neuronal	418	0.121209483548539	0.182356864351882	0.0169955753139693	0.288585343536796
ATAC-seq	7	Other	1091	0.0935926586583049	0.128573600285872	-0.000775940481396474	0.21508138352933
ATAC-seq	8	Neuronal	420	0.121223367981778	0.180147295763624	0.0230318281189139	0.303782677305402
ATAC-seq	8	Other	1119	0.0976741683332342	0.135613250720365	0.0115190667351804	0.221791330568217
ATAC-seq	9	Neuronal	466	0.138874160043527	0.18443674309136	0.027532216649146	0.342428560939481
ATAC-seq	9	Other	1110	0.10436177891555	0.133191522712558	0.00011446793992794	0.260089742565241
ATAC-seq	10	Neuronal	631	0.241772834820868	0.317619019349119	0.0803638344579405	0.503946671636144
ATAC-seq	10	Other	935	0.160044293205902	0.219342087437115	0.0346822217352725	0.350942270580635
H3K27ac	1	Neuronal	160	0.111719030106325	0.0840027187382046	0.00688662326123734	0.204986073824177
H3K27ac	1	Other	634	0.105807311768579	0.0925317257242162	0.0041788939974453	0.221024050048074
H3K27ac	2	Neuronal	177	0.0866537240475379	0.0705279588636714	-0.0251006252376662	0.189692386568609
H3K27ac	2	Other	659	0.0821016010869969	0.0505985108162486	-0.0334190757328413	0.179873958686909
H3K27ac	3	Neuronal	162	0.0424217693124075	0.0341631174225969	-0.0347141451724432	0.163751265902865
H3K27ac	3	Other	680	0.0712769953096359	0.0364864986929285	-0.0551823592001442	0.181710088918384
H3K27ac	4	Neuronal	210	0.0431994750023262	0.018048250203866	-0.0809765077435534	0.160368960938412
H3K27ac	4	Other	632	0.0412204480098902	-0.0163065333609976	-0.0976239143492195	0.168232257707227
H3K27ac	5	Neuronal	225	0.0675160314321284	0.0457990444533176	-0.103185764361247	0.209479545950952
