mark_display	length_quintile	group	n	median	mean	q25	q75
ATAC-seq	1	Neuronal	491	0.101910721693957	0.166037962984514	0.0199051132545142	0.254830369335863
ATAC-seq	1	Other	1822	0.0794968046320391	0.111032661348012	0.012448426391951	0.173412913488194
ATAC-seq	2	Neuronal	548	0.117071323084722	0.178474173592072	0.0302278738112607	0.28229505310124
ATAC-seq	2	Other	2087	0.084863293575396	0.107143166779956	0.0216538098388298	0.174407826284505
ATAC-seq	3	Neuronal	641	0.102846446544898	0.14504567359901	0.0232667968489377	0.207583513577661
ATAC-seq	3	Other	2309	0.0834703358665979	0.107855762457284	0.0162444871711846	0.172397844562522
ATAC-seq	4	Neuronal	774	0.110705796792576	0.172801468453405	0.0440288154838872	0.257756873570229
ATAC-seq	4	Other	2346	0.0951821083479235	0.14410560377803	0.0270882925421732	0.2059555169413
ATAC-seq	5	Neuronal	1226	0.15908413747837	0.244207765384248	0.0468859775132693	0.386764593821834
ATAC-seq	5	Other	2129	0.130179143572282	0.198619276041547	0.0353808955100727	0.290086028898288
H3K27ac	1	Neuronal	222	0.0746392580636887	0.00693622705075843	-0.101124850495254	0.204592561863728
H3K27ac	1	Other	925	0.0338208929364171	-0.056666307405044	-0.157990583331484	0.170113980300526
H3K27ac	2	Neuronal	268	0.0474372106309354	0.0086402301060759	-0.116477455736543	0.160270574896277
H3K27ac	2	Other	1135	0.0381551953377403	-0.0344964529485865	-0.147337414709325	0.16743996061533
H3K27ac	3	Neuronal	363	0.0283122459014479	-0.0303985326409223	-0.123121487562102	0.171609651702245
H3K27ac	3	Other	1349	0.0350415085461354	-0.0336604416492394	-0.131653454110549	0.165875984704385
H3K27ac	4	Neuronal	496	0.0530504391375582	0.0328113291442991	-0.099195347625126	0.191464249201041
H3K27ac	4	Other	1410	0.0456790254112234	-0.0157735392932823	-0.140904476084445	0.173072470287126
H3K27ac	5	Neuronal	876	0.0676567123377685	0.0402648430983572	-0.149362789590704	0.287143924615601
H3K27ac	5	Other	1379	0.0364988143035577	-0.0340514597920626	-0.203049446087987	0.222560675733228
H3K27me3	1	Neuronal	235	-0.0669971730182544	0.0365945614297507	-0.183772024446617	0.0716832366232288
H3K27me3	1	Other	426	-0.0515588007370838	0.113879796747763	-0.225860137972765	0.235626888240438
H3K27me3	2	Neuronal	207	-0.0700640735529038	-0.0210325655881194	-0.198135638744477	0.128718366060771
H3K27me3	2	Other	430	-0.0426001001418621	0.0352391654082268	-0.224577768905845	0.185819406195454
H3K27me3	3	Neuronal	201	-0.0809051980129958	0.00985052255213925	-0.204607573812749	0.0799763099567278
H3K27me3	3	Other	491	-0.0282528426019097	0.0765714813965184	-0.230004414817808	0.18678361763355
H3K27me3	4	Neuronal	225	-0.133413007761524	-0.0551338545769082	-0.315239660147721	0.0500119846577217
H3K27me3	4	Other	623	-0.0636441497025275	0.029329487208022	-0.297869920872243	0.181263619861295
H3K27me3	5	Neuronal	558	-0.143047083741714	0.0382976794328714	-0.368527522988424	0.210927714325234
H3K27me3	5	Other	828	-0.105783620373733	0.0428511011515974	-0.355767425123857	0.208960978421075
H2AK119ub	1	Neuronal	352	-0.098068893	-0.0635294713892045	-0.3513069885	0.1705759305
H2AK119ub	1	Other	955	0.062928704	0.0973144514356021	-0.235138791	0.3760866785
H2AK119ub	2	Neuronal	359	-0.03814014	0.0152435856935933	-0.26279577	0.277075354
H2AK119ub	2	Other	1035	0.08923703	0.14164656758744	-0.1760567865	0.425560217
H2AK119ub	3	Neuronal	413	-0.044116637	0.0255151913680387	-0.307944829	0.314636952
H2AK119ub	3	Other	1181	0.162400536	0.20471831380271	-0.150032764	0.500381284
H2AK119ub	4	Neuronal	516	-0.014819419	0.0559324909612403	-0.269652517	0.33946552175
H2AK119ub	4	Other	1357	0.182504026	0.224429099417833	-0.119044747	0.53546362
H2AK119ub	5	Neuronal	1036	0.139743969	0.183787016899614	-0.113330101	0.463018684
H2AK119ub	5	Other	1642	0.190979472	0.236027616689403	-0.07793931825	0.527970288
