set_label	mark	length_quintile	group	reference_group	n_group	n_reference	median_group	median_reference	location_shift	ci_lower	ci_upper	p_value	untested_reason	q_value
Neuronal gene set	ATAC-seq	1	Both	Neither	6	1589	0.0805422826162028	0.0799895866637726	NA	NA	NA	NA	fewer than 10 genes in an arm (group n = 6, reference n = 1589)	NA
Neuronal gene set	ATAC-seq	1	Gene set only	Neither	408	1589	0.105416809871307	0.0799895866637726	0.0339236394020261	0.0154754756244214	0.0531947033488296	0.000281921677603862	NA	0.000634323774608689
Neuronal gene set	ATAC-seq	1	MeCP2-up only	Neither	30	1589	0.0925604878217068	0.0799895866637726	-0.00583179619467288	-0.132127209462217	0.118119829354893	0.917585155730107	NA	0.927895101300109
Neuronal gene set	ATAC-seq	2	Both	Neither	6	1872	-0.0977305120273772	0.0820266045249241	NA	NA	NA	NA	fewer than 10 genes in an arm (group n = 6, reference n = 1872)	NA
Neuronal gene set	ATAC-seq	2	Gene set only	Neither	505	1872	0.118627672223503	0.0820266045249241	0.0366079821498043	0.0211580334161257	0.0525889690283677	2.8215807201838e-06	NA	9.76701018525161e-06
Neuronal gene set	ATAC-seq	2	MeCP2-up only	Neither	21	1872	0.105589055148562	0.0820266045249241	-0.00566130801442702	-0.0857266456783111	0.0797680626524385	0.897303733608523	NA	0.917697000281444
Neuronal gene set	ATAC-seq	3	Both	Neither	7	2428	0.00955947127195647	0.0847145554315874	NA	NA	NA	NA	fewer than 10 genes in an arm (group n = 7, reference n = 2428)	NA
Neuronal gene set	ATAC-seq	3	Gene set only	Neither	631	2428	0.104608563727559	0.0847145554315874	0.024921171125806	0.0118760250810723	0.0381299078284841	0.000171674514247528	NA	0.000406597533744145
Neuronal gene set	ATAC-seq	3	MeCP2-up only	Neither	40	2428	-0.00754707157298521	0.0847145554315874	-0.0911857678339114	-0.156787590931232	-0.0296784216094011	0.00383408433009945	NA	0.00690135179417902
Neuronal gene set	ATAC-seq	4	Both	Neither	22	2513	0.0814467178562022	0.0923450607048102	-0.0406726137818639	-0.134104372521314	0.0435424384243811	0.353338771927076	NA	0.424006526312491
Neuronal gene set	ATAC-seq	4	Gene set only	Neither	785	2513	0.108265129114567	0.0923450607048102	0.0195417192482373	0.00779860196081352	0.0316177501082904	0.00102840177560226	NA	0.00210354908645916
Neuronal gene set	ATAC-seq	4	MeCP2-up only	Neither	58	2513	0.092282131803029	0.0923450607048102	-0.0170934418529791	-0.0680036192611392	0.0308579410204787	0.484261348661068	NA	0.544794017243701
Neuronal gene set	ATAC-seq	5	Both	Neither	86	2325	0.0910442149159514	0.128172136769505	-0.0396284761278997	-0.0924396081410067	0.0161748804994197	0.159065342727021	NA	0.204512583506169
Neuronal gene set	ATAC-seq	5	Gene set only	Neither	1267	2325	0.154854717697254	0.128172136769505	0.0272273352465225	0.0133028564558911	0.0414277628772353	0.000126005412341492	NA	0.000333543738551007
Neuronal gene set	ATAC-seq	5	MeCP2-up only	Neither	131	2325	0.0631595762749097	0.128172136769505	-0.0914992873989242	-0.135498977608438	-0.0488628201659008	2.61469989830756e-05	NA	7.84409969492269e-05
Neuronal gene set	H3K27ac	1	Both	Neither	5	797	-0.188717067410853	0.0471790540834368	NA	NA	NA	NA	fewer than 10 genes in an arm (group n = 5, reference n = 797)	NA
Neuronal gene set	H3K27ac	1	Gene set only	Neither	173	797	0.087437231804966	0.0471790540834368	0.0380747807690583	-0.00413993628272479	0.0797325980453726	0.0746135607510647	NA	0.10659080107295
Neuronal gene set	H3K27ac	1	MeCP2-up only	Neither	21	797	-0.826538890342892	0.0471790540834368	-0.868738529060463	-1.22498625777202	-0.615508860432938	3.47807045689097e-07	NA	1.42284700509176e-06
Neuronal gene set	H3K27ac	2	Both	Neither	6	989	-0.214096344744705	0.0304558470591999	NA	NA	NA	NA	fewer than 10 genes in an arm (group n = 6, reference n = 989)	NA
Neuronal gene set	H3K27ac	2	Gene set only	Neither	251	989	0.0520964215259266	0.0304558470591999	0.0336648527681131	-0.00167195629334664	0.0699479459500573	0.0624170902934424	NA	0.092090788957538
Neuronal gene set	H3K27ac	2	MeCP2-up only	Neither	11	989	-0.684856797531739	0.0304558470591999	-0.737772047201276	-1.01367466068314	-0.411945383853152	0.00046375672779506	NA	0.00101800257320867
Neuronal gene set	H3K27ac	3	Both	Neither	4	1378	-0.0327526441750561	0.0458635988353094	NA	NA	NA	NA	fewer than 10 genes in an arm (group n = 4, reference n = 1378)	NA
Neuronal gene set	H3K27ac	3	Gene set only	Neither	338	1378	0.0369056014461251	0.0458635988353094	-0.00866439560386353	-0.0385327156990236	0.0212365629003441	0.56873640921833	NA	0.609360438448211
Neuronal gene set	H3K27ac	3	MeCP2-up only	Neither	28	1378	-0.637547111552146	0.0458635988353094	-0.616248907768427	-0.900795970547761	-0.382541863572959	2.1106486146451e-09	NA	1.26638916878706e-08
Neuronal gene set	H3K27ac	4	Both	Neither	17	1505	-0.284626163510651	0.0528628826309012	-0.354189894653683	-0.740801996991832	-0.151055815972708	0.00013483852147181	NA	0.000337096303679525
Neuronal gene set	H3K27ac	4	Gene set only	Neither	492	1505	0.048477368862727	0.0528628826309012	0.00917971156077707	-0.0146862592659127	0.0333082037465803	0.4497414179329	NA	0.520609846684605
Neuronal gene set	H3K27ac	4	MeCP2-up only	Neither	40	1505	-0.523344911111085	0.0528628826309012	-0.558470062784022	-0.730431435331486	-0.385292760009229	4.07852216779845e-10	NA	2.62190710787043e-09
Neuronal gene set	H3K27ac	5	Both	Neither	66	1466	-0.133422273962411	0.056342741510525	-0.216126007099632	-0.380624469176372	-0.0758419309674921	0.0015750848618445	NA	0.00308168777317402
Neuronal gene set	H3K27ac	5	Gene set only	Neither	901	1466	0.0781491957838305	0.056342741510525	0.0433780750749266	0.0141229347794354	0.073099432299278	0.00363982362845746	NA	0.00668539033798309
Neuronal gene set	H3K27ac	5	MeCP2-up only	Neither	111	1466	-0.257693687999777	0.056342741510525	-0.377732064533002	-0.512747417848565	-0.264137148153258	6.21129604002026e-13	NA	9.31694406003038e-12
Neuronal gene set	H3K27me3	1	Both	Neither	4	373	0.251149838362085	-0.0568629801674468	NA	NA	NA	NA	fewer than 10 genes in an arm (group n = 4, reference n = 373)	NA
Neuronal gene set	H3K27me3	1	Gene set only	Neither	189	373	-0.0742926010960901	-0.0568629801674468	-0.0232627634407455	-0.0788302043163938	0.0308887116017771	0.379876236018339	NA	0.449853437390139
Neuronal gene set	H3K27me3	1	MeCP2-up only	Neither	11	373	1.13402961158799	-0.0568629801674468	1.1225148852411	0.57798894298671	1.88577278227877	8.38621212561712e-05	NA	0.000228714876153194
Neuronal gene set	H3K27me3	2	Both	Neither	1	386	-0.0832448108587953	-0.0517510555718395	NA	NA	NA	NA	fewer than 10 genes in an arm (group n = 1, reference n = 386)	NA
Neuronal gene set	H3K27me3	2	Gene set only	Neither	206	386	-0.0627355214249506	-0.0517510555718395	-0.00680565992198826	-0.059271813334011	0.0442505155840741	0.778911370042113	NA	0.815139805858025
Neuronal gene set	H3K27me3	2	MeCP2-up only	Neither	6	386	0.980931184024573	-0.0517510555718395	NA	NA	NA	NA	fewer than 10 genes in an arm (group n = 6, reference n = 386)	NA
Neuronal gene set	H3K27me3	3	Both	Neither	2	485	1.40718753245153	-0.0340296160057569	NA	NA	NA	NA	fewer than 10 genes in an arm (group n = 2, reference n = 485)	NA
Neuronal gene set	H3K27me3	3	Gene set only	Neither	217	485	-0.0822687932717176	-0.0340296160057569	-0.0502837598447106	-0.0967109263200967	-0.00440953394525325	0.0332023688814128	NA	0.0524247929706518
Neuronal gene set	H3K27me3	3	MeCP2-up only	Neither	8	485	0.987977889127021	-0.0340296160057569	NA	NA	NA	NA	fewer than 10 genes in an arm (group n = 8, reference n = 485)	NA
Neuronal gene set	H3K27me3	4	Both	Neither	6	623	0.612999828284502	-0.0702522940286419	NA	NA	NA	NA	fewer than 10 genes in an arm (group n = 6, reference n = 623)	NA
Neuronal gene set	H3K27me3	4	Gene set only	Neither	215	623	-0.113071759091696	-0.0702522940286419	-0.0397688805009292	-0.095407006042752	0.017025508117481	0.168707548537158	NA	0.213854638990763
Neuronal gene set	H3K27me3	4	MeCP2-up only	Neither	16	623	0.668863694250292	-0.0702522940286419	0.705040329866564	0.288263170329203	1.21271489215012	0.000543709334585339	NA	0.0011650914312543
Neuronal gene set	H3K27me3	5	Both	Neither	43	863	0.0240814899168222	-0.10213152810423	0.166646012358139	-0.0311318503309911	0.402093744372991	0.10157839695135	NA	0.134441995965022
Neuronal gene set	H3K27me3	5	Gene set only	Neither	545	863	-0.160927671496491	-0.10213152810423	-0.0399925279277969	-0.0891417375341585	0.0091769046719568	0.109843050690642	NA	0.143273544379099
Neuronal gene set	H3K27me3	5	MeCP2-up only	Neither	45	863	-0.107257540910335	-0.10213152810423	0.0788190875234364	-0.0660683622491506	0.237734959427384	0.294230699436875	NA	0.357848147963767
Neuronal gene set	H2AK119ub	1	Both	Neither	7	824	0.347962857	0.0491656985	NA	NA	NA	NA	fewer than 10 genes in an arm (group n = 7, reference n = 824)	NA
Neuronal gene set	H2AK119ub	1	Gene set only	Neither	287	824	-0.119596426	0.0491656985	-0.152631721531927	-0.207830443148872	-0.0973669425147478	9.01019466397718e-08	NA	4.50509733198859e-07
Neuronal gene set	H2AK119ub	1	MeCP2-up only	Neither	26	824	0.729170544	0.0491656985	0.691187169740568	0.527331483096839	0.848826252546568	2.04934499875436e-11	NA	1.67673681716266e-10
Neuronal gene set	H2AK119ub	2	Both	Neither	6	909	0.681280061	0.065981402	NA	NA	NA	NA	fewer than 10 genes in an arm (group n = 6, reference n = 909)	NA
Neuronal gene set	H2AK119ub	2	Gene set only	Neither	338	909	-0.053598593	0.065981402	-0.121532306452705	-0.172907037496839	-0.0714763828266557	3.0163352911646e-06	NA	1.00544509705487e-05
Neuronal gene set	H2AK119ub	2	MeCP2-up only	Neither	20	909	0.615052597	0.065981402	0.571166581102138	0.38093293419021	0.760592275969818	3.17918140024096e-07	NA	1.36250631438898e-06
Neuronal gene set	H2AK119ub	3	Both	Neither	5	1176	0.590254053	0.144161922	NA	NA	NA	NA	fewer than 10 genes in an arm (group n = 5, reference n = 1176)	NA
Neuronal gene set	H2AK119ub	3	Gene set only	Neither	406	1176	-0.0556040545	0.144161922	-0.171111346649174	-0.220876868311655	-0.120540302927677	4.72512260645389e-11	NA	3.54384195484042e-10
Neuronal gene set	H2AK119ub	3	MeCP2-up only	Neither	35	1176	0.759926993	0.144161922	0.650236516247777	0.48617525191384	0.814866371103799	1.10885801328686e-11	NA	1.17932251167633e-10
Neuronal gene set	H2AK119ub	4	Both	Neither	20	1365	0.7753643055	0.16209524	0.577609937852984	0.375294454969387	0.770110902334849	1.89256785233182e-06	NA	6.81324426839454e-06
Neuronal gene set	H2AK119ub	4	Gene set only	Neither	495	1365	-0.036748751	0.16209524	-0.18110914245266	-0.227732071723844	-0.134929199032183	5.74358805066264e-14	NA	1.03384584911927e-12
Neuronal gene set	H2AK119ub	4	MeCP2-up only	Neither	52	1365	0.7300037045	0.16209524	0.541345401590223	0.407399611445384	0.674761874624482	1.04421606091077e-12	NA	1.34256350688528e-11
Neuronal gene set	H2AK119ub	5	Both	Neither	81	1676	0.463399891	0.1646884835	0.289636809917718	0.185695177466467	0.392636022607603	1.23812063961743e-07	NA	5.8647819771352e-07
Neuronal gene set	H2AK119ub	5	Gene set only	Neither	1032	1676	0.1258289385	0.1646884835	-0.0482075950032642	-0.0818892319312646	-0.014921989287391	0.00467234522383123	NA	0.00808675134893867
Neuronal gene set	H2AK119ub	5	MeCP2-up only	Neither	125	1676	0.626720992	0.1646884835	0.422138255848663	0.335394804021592	0.505992552349278	7.02266424032689e-19	NA	3.1601989081471e-17
Synapse gene set	ATAC-seq	1	Both	Neither	3	1800	0.0144940227077696	0.0830708677748121	NA	NA	NA	NA	fewer than 10 genes in an arm (group n = 3, reference n = 1800)	NA
Synapse gene set	ATAC-seq	1	Gene set only	Neither	197	1800	0.0946920526652911	0.0830708677748121	0.0241056780423924	0.000995508953965996	0.0483808775980148	0.0413693530520669	NA	0.0641938237014831
Synapse gene set	ATAC-seq	1	MeCP2-up only	Neither	33	1800	0.119899077540626	0.0830708677748121	0.00503999300969043	-0.109020124629053	0.124762225203313	0.931102298227229	NA	0.931102298227229
Synapse gene set	ATAC-seq	2	Both	Neither	2	2148	0.238603515926708	0.0854400730911825	NA	NA	NA	NA	fewer than 10 genes in an arm (group n = 2, reference n = 2148)	NA
Synapse gene set	ATAC-seq	2	Gene set only	Neither	229	2148	0.118627672223503	0.0854400730911825	0.0323597142376955	0.0109680269118099	0.054640290122635	0.00306090107042094	NA	0.00573918950703926
Synapse gene set	ATAC-seq	2	MeCP2-up only	Neither	25	2148	0.0726823143733716	0.0854400730911825	-0.0249610180832683	-0.108438733081971	0.0568699527275517	0.542315931813065	NA	0.600178131452013
Synapse gene set	ATAC-seq	3	Both	Neither	4	2776	-0.000880007842538165	0.0871321123401971	NA	NA	NA	NA	fewer than 10 genes in an arm (group n = 4, reference n = 2776)	NA
Synapse gene set	ATAC-seq	3	Gene set only	Neither	283	2776	0.102846446544898	0.0871321123401971	0.0120578978430937	-0.0061820563367164	0.0304682685370055	0.195702433597412	NA	0.244628041996765
Synapse gene set	ATAC-seq	3	MeCP2-up only	Neither	43	2776	-0.00378170906918602	0.0871321123401971	-0.0913280746485404	-0.159029307899807	-0.0285501111458748	0.00432322273667648	NA	0.00762921659413497
Synapse gene set	ATAC-seq	4	Both	Neither	13	2877	0.00974448280035081	0.0941756060922254	-0.10393505519895	-0.234754402501273	0.0135651065728924	0.083751386970499	NA	0.115963458882229
Synapse gene set	ATAC-seq	4	Gene set only	Neither	421	2877	0.106390840817311	0.0941756060922254	0.0133074655209508	-0.00140823974761958	0.0283598735081279	0.0761145775162252	NA	0.107036124632192
Synapse gene set	ATAC-seq	4	MeCP2-up only	Neither	67	2877	0.0946894372358767	0.0941756060922254	-0.0132086772614827	-0.0602263457408901	0.0314234004841499	0.560269990208216	NA	0.607521676129391
Synapse gene set	ATAC-seq	5	Both	Neither	52	2834	0.106115066088143	0.128733047300337	-0.0258382714147734	-0.0950381335330448	0.0514656583214087	0.4788597246651	NA	0.544794017243701
Synapse gene set	ATAC-seq	5	Gene set only	Neither	758	2834	0.165888391470912	0.128733047300337	0.032248309787618	0.0154875065942445	0.0493423250555096	0.000169999279266912	NA	0.000406597533744145
