decile	signal_min	signal_max	n_total	n_neuronal	frac_neuronal	ci_lower	ci_upper	odds_ratio	or_ci_lower	or_ci_upper	p_value	q_value	log2_odds_ratio	spearman_rho	spearman_p	trend_chisq	trend_df	trend_p
1	0.220239	0.453504	2161	435	0.201295696436835	0.184572672947572	0.218832729391533	0.871359036106654	0.778398230309151	0.973871934141843	0.0140833579126091	0.0469445263753638	-0.198660803294732	0.527272727272727	0.117308065550202	43.1573606985371	1	5.05095180793339e-11
2	0.453562	0.575938	2160	445	0.206018518518519	0.189138800576686	0.223699628601838	0.899821961972319	0.804556580005397	1.00485433762409	0.0597485632196994	0.149371408049248	-0.152288515654457	0.527272727272727	0.117308065550202	43.1573606985371	1	5.05095180793339e-11
3	0.576024	0.692966	2160	463	0.214351851851852	0.197211010868036	0.232271172520234	0.951223463929084	0.851789205630963	1.06075830047702	0.382580375322093	0.637633958870155	-0.072143792254783	0.527272727272727	0.117308065550202	43.1573606985371	1	5.05095180793339e-11
4	0.692978	0.822921	2161	491	0.227209625173531	0.209690534168156	0.245471544194159	1.03354868842177	0.927491153603202	1.15026058552913	0.54841098262473	0.783444260892472	0.0476063528563681	0.527272727272727	0.117308065550202	43.1573606985371	1	5.05095180793339e-11
5	0.822954	0.978057	2160	478	0.221296296296296	0.203945963515017	0.239406033879129	0.995208275176234	0.892235747670839	1.10861271086035	0.956481595399467	0.956481595399467	-0.00692961333154733	0.527272727272727	0.117308065550202	43.1573606985371	1	5.05095180793339e-11
6	0.9781	1.166929	2160	391	0.181018518518519	0.164990728274635	0.197916613505187	0.754414079002744	0.670985604380796	0.846634102751543	8.82756903270586e-07	4.41378451635293e-06	-0.406571494805015	0.527272727272727	0.117308065550202	43.1573606985371	1	5.05095180793339e-11
7	1.16697	1.434734	2161	476	0.220268394261916	0.202952584342042	0.23834607590474	0.988623895701298	0.886215288254251	1.10142452934801	0.848592472197306	0.942880524663674	-0.0165063170834312	0.527272727272727	0.117308065550202	43.1573606985371	1	5.05095180793339e-11
8	1.435224	1.831074	2161	451	0.208699676075891	0.191738643434398	0.226454355833612	0.916185710742735	0.819629866453575	1.02263045948241	0.119944662230659	0.239889324461318	-0.126288032796945	0.527272727272727	0.117308065550202	43.1573606985371	1	5.05095180793339e-11
9	1.831682	2.594396	2159	488	0.226030569708198	0.208537494849096	0.244270402817413	1.02583610291965	0.920364256074162	1.14192037068611	0.642701763436308	0.803377204295385	0.0368002510297322	0.527272727272727	0.117308065550202	43.1573606985371	1	5.05095180793339e-11
10	2.594655	44.998495	2161	679	0.314206385932439	0.29466635222835	0.334251520491238	1.70498504204367	1.54483217566446	1.88058524159094	1.14738536456502e-25	1.14738536456502e-24	0.769759082437667	0.527272727272727	0.117308065550202	43.1573606985371	1	5.05095180793339e-11
