gene_name	mark_display	fold	group	k119ub_ctrl_signal	k119ub_signal_decile	length_quintile
Arhgap26	ATAC-seq	-0.00668715181876542	Other	1.541079	8	5
Cdh8	ATAC-seq	-0.533376796224603	Neuronal	1.15987	6	5
Cntnap2	ATAC-seq	-0.0884959570649295	Neuronal	1.038812	6	5
Dlgap1	ATAC-seq	-0.0430940980594985	Neuronal	0.883413	5	5
Epha3	ATAC-seq	-0.284052177119034	Neuronal	1.552987	8	5
Lpp	ATAC-seq	-0.144186886039806	Other	1.42687	7	5
Mcu	ATAC-seq	0.00789040112712124	Other	1.259904	7	5
Syt1	ATAC-seq	-1.11266159150267	Neuronal	1.348176	7	5
Trpm3	ATAC-seq	-0.268616176019895	Other	0.989702	5	5
Zbtb20	ATAC-seq	-1.24535509921501	Other	1.269208	7	5
Arhgap26	H3K27ac	-1.09793722595922	Other	1.541079	8	5
Cdh8	H3K27ac	-0.519794463645112	Neuronal	1.15987	6	5
Cntnap2	H3K27ac	-0.142505377260419	Neuronal	1.038812	6	5
Dlgap1	H3K27ac	-0.226278645643596	Neuronal	0.883413	5	5
Epha3	H3K27ac	-0.97153525357061	Neuronal	1.552987	8	5
Lpp	H3K27ac	-1.64903222668309	Other	1.42687	7	5
Mcu	H3K27ac	-1.40354126487517	Other	1.259904	7	5
Syt1	H3K27ac	-2.24063162710741	Neuronal	1.348176	7	5
Trpm3	H3K27ac	-0.891199679365186	Other	0.989702	5	5
Zbtb20	H3K27ac	-1.47073304617531	Other	1.269208	7	5
Cntnap2	H3K27me3	2.40543554785053	Neuronal	1.038812	6	5
Epha3	H3K27me3	2.42343071630689	Neuronal	1.552987	8	5
Syt1	H3K27me3	3.83677376580842	Neuronal	1.348176	7	5
Trpm3	H3K27me3	1.03561529785767	Other	0.989702	5	5
Zbtb20	H3K27me3	5.76623171763214	Other	1.269208	7	5
Arhgap26	H2AK119ub	0.776810428	Other	1.541079	8	5
Cdh8	H2AK119ub	0.631364072	Neuronal	1.15987	6	5
Cntnap2	H2AK119ub	0.044932107	Neuronal	1.038812	6	5
Dlgap1	H2AK119ub	0.324755576	Neuronal	0.883413	5	5
Epha3	H2AK119ub	0.643198141	Neuronal	1.552987	8	5
Lpp	H2AK119ub	0.844272697	Other	1.42687	7	5
Mcu	H2AK119ub	0.63403109	Other	1.259904	7	5
Syt1	H2AK119ub	1.257256571	Neuronal	1.348176	7	5
Trpm3	H2AK119ub	0.074537222	Other	0.989702	5	5
Zbtb20	H2AK119ub	0.884948957	Other	1.269208	7	5
