set_label	k119ub_decile	group	n	frac
Neuronal gene set	1	Both	3	0.00337457817772778
Neuronal gene set	1	Gene set only	358	0.402699662542182
Neuronal gene set	1	MeCP2-up only	4	0.00449943757030371
Neuronal gene set	1	Neither	524	0.589426321709786
Neuronal gene set	2	Both	4	0.0045045045045045
Neuronal gene set	2	Gene set only	303	0.341216216216216
Neuronal gene set	2	MeCP2-up only	2	0.00225225225225225
Neuronal gene set	2	Neither	579	0.652027027027027
Neuronal gene set	3	Both	4	0.00449943757030371
Neuronal gene set	3	Gene set only	297	0.334083239595051
Neuronal gene set	3	MeCP2-up only	3	0.00337457817772778
Neuronal gene set	3	Neither	585	0.658042744656918
Neuronal gene set	4	Both	5	0.00563063063063063
Neuronal gene set	4	Gene set only	288	0.324324324324324
Neuronal gene set	4	MeCP2-up only	8	0.00900900900900901
Neuronal gene set	4	Neither	587	0.661036036036036
Neuronal gene set	5	Both	7	0.0078740157480315
Neuronal gene set	5	Gene set only	253	0.28458942632171
Neuronal gene set	5	MeCP2-up only	12	0.0134983127109111
Neuronal gene set	5	Neither	617	0.694038245219348
Neuronal gene set	6	Both	8	0.00900900900900901
Neuronal gene set	6	Gene set only	259	0.291666666666667
Neuronal gene set	6	MeCP2-up only	14	0.0157657657657658
Neuronal gene set	6	Neither	607	0.683558558558559
Neuronal gene set	7	Both	8	0.00900900900900901
Neuronal gene set	7	Gene set only	222	0.25
Neuronal gene set	7	MeCP2-up only	25	0.0281531531531532
Neuronal gene set	7	Neither	633	0.712837837837838
Neuronal gene set	8	Both	20	0.0224971878515186
Neuronal gene set	8	Gene set only	223	0.250843644544432
Neuronal gene set	8	MeCP2-up only	24	0.0269966254218223
Neuronal gene set	8	Neither	622	0.699662542182227
Neuronal gene set	9	Both	28	0.0315315315315315
Neuronal gene set	9	Gene set only	192	0.216216216216216
Neuronal gene set	9	MeCP2-up only	59	0.0664414414414414
Neuronal gene set	9	Neither	609	0.685810810810811
Neuronal gene set	10	Both	32	0.0359955005624297
Neuronal gene set	10	Gene set only	163	0.183352080989876
Neuronal gene set	10	MeCP2-up only	107	0.120359955005624
Neuronal gene set	10	Neither	587	0.66029246344207
Synapse gene set	1	Both	0	0
Synapse gene set	1	Gene set only	169	0.190101237345332
Synapse gene set	1	MeCP2-up only	7	0.0078740157480315
Synapse gene set	1	Neither	713	0.802024746906637
Synapse gene set	2	Both	1	0.00112612612612613
Synapse gene set	2	Gene set only	152	0.171171171171171
Synapse gene set	2	MeCP2-up only	5	0.00563063063063063
Synapse gene set	2	Neither	730	0.822072072072072
Synapse gene set	3	Both	3	0.00337457817772778
Synapse gene set	3	Gene set only	157	0.176602924634421
Synapse gene set	3	MeCP2-up only	4	0.00449943757030371
Synapse gene set	3	Neither	725	0.815523059617548
Synapse gene set	4	Both	2	0.00225225225225225
Synapse gene set	4	Gene set only	155	0.17454954954955
Synapse gene set	4	MeCP2-up only	11	0.0123873873873874
Synapse gene set	4	Neither	720	0.810810810810811
Synapse gene set	5	Both	5	0.00562429696287964
Synapse gene set	5	Gene set only	137	0.154105736782902
Synapse gene set	5	MeCP2-up only	14	0.015748031496063
Synapse gene set	5	Neither	733	0.824521934758155
Synapse gene set	6	Both	3	0.00337837837837838
Synapse gene set	6	Gene set only	151	0.170045045045045
Synapse gene set	6	MeCP2-up only	19	0.0213963963963964
Synapse gene set	6	Neither	715	0.80518018018018
Synapse gene set	7	Both	6	0.00675675675675676
Synapse gene set	7	Gene set only	126	0.141891891891892
Synapse gene set	7	MeCP2-up only	27	0.0304054054054054
Synapse gene set	7	Neither	729	0.820945945945946
Synapse gene set	8	Both	11	0.0123734533183352
Synapse gene set	8	Gene set only	119	0.133858267716535
Synapse gene set	8	MeCP2-up only	33	0.0371203599550056
Synapse gene set	8	Neither	726	0.816647919010124
Synapse gene set	9	Both	17	0.0191441441441441
Synapse gene set	9	Gene set only	108	0.121621621621622
Synapse gene set	9	MeCP2-up only	70	0.0788288288288288
Synapse gene set	9	Neither	693	0.780405405405405
Synapse gene set	10	Both	20	0.0224971878515186
Synapse gene set	10	Gene set only	81	0.0911136107986502
Synapse gene set	10	MeCP2-up only	119	0.133858267716535
Synapse gene set	10	Neither	669	0.752530933633296
