set_label	mark	group	reference_group	n_group	n_reference	median_group	median_reference	median_difference	location_shift	ci_lower	ci_upper	wilcoxon_w	p_value	q_value
Neuronal gene set	ATAC-seq	Both	Neither	127	10727	0.0744108355785561	0.0922827111230368	-0.0178718755444807	-0.0185830636808888	-0.0571255928502635	0.0229246636754567	649573	0.368169246317002	0.368169246317002
Neuronal gene set	ATAC-seq	Gene set only	Neither	3596	10727	0.121043924074474	0.0922827111230368	0.0287612129514372	0.0332511089011981	0.0268786617566498	0.0396713230633101	21514979	2.98611977246366e-25	1.19444790898547e-24
Neuronal gene set	ATAC-seq	MeCP2-up only	Neither	280	10727	0.0641907371888487	0.0922827111230368	-0.0280919739341881	-0.0452289943972087	-0.0715777914719906	-0.0191313351859153	1323745	0.000694505615259397	0.000980478515660326
Neuronal gene set	H3K27ac	Both	Neither	98	6135	-0.133422273962411	0.0467221679157204	-0.180144441878131	-0.210366667736662	-0.321423065257712	-0.116111487668174	219582	4.53830461483868e-06	9.07660922967737e-06
Neuronal gene set	H3K27ac	Gene set only	Neither	2155	6135	0.0577404566362636	0.0467221679157204	0.0110182887205432	0.0266972072307367	0.0130402917010729	0.0404791234885911	6976607	0.00012764174486064	0.000204226791777025
Neuronal gene set	H3K27ac	MeCP2-up only	Neither	211	6135	-0.518046347917089	0.0467221679157204	-0.564768515832809	-0.506689249252353	-0.600596646049906	-0.415435565997044	317766	2.34801060704639e-36	1.40880636422783e-35
Neuronal gene set	H3K27me3	Both	Neither	56	2730	0.06917418358934	-0.0650184315425957	0.134192615131936	0.200267664170514	0.0297983353687407	0.410526791092264	90249	0.0204841875872958	0.0234105000997667
Neuronal gene set	H3K27me3	Gene set only	Neither	1372	2730	-0.102293275867679	-0.0650184315425957	-0.0372748443250828	-0.0363949039244668	-0.0602175371694311	-0.0124783067751082	1766099	0.00287279481462802	0.00344735377755363
Neuronal gene set	H3K27me3	MeCP2-up only	Neither	86	2730	0.213182454285814	-0.0650184315425957	0.27820088582841	0.338809562948662	0.178158879616495	0.549722754761406	150317	9.19911638649174e-06	1.69829840981386e-05
Neuronal gene set	H2AK119ub	Both	Neither	119	5950	0.546681417	0.1281372285	0.4185441885	0.376205002490446	0.290297139087107	0.461263725778458	505812	1.05378667165948e-15	3.61298287426107e-15
Neuronal gene set	H2AK119ub	Gene set only	Neither	2558	5950	0.015704477	0.1281372285	-0.1124327515	-0.109286021812288	-0.129756386980517	-0.0888805809409706	6527827	2.06530775821541e-25	9.91347723943396e-25
Neuronal gene set	H2AK119ub	MeCP2-up only	Neither	258	5950	0.6919743175	0.1281372285	0.563837089	0.530061765140246	0.472270964517161	0.587351713181801	1213402	2.27121185498621e-56	2.72545422598345e-55
Synapse gene set	ATAC-seq	Both	Neither	74	12435	0.0657840288147118	0.0951565383069026	-0.0293725094921908	-0.0289732959668259	-0.0791890109739295	0.0249500023116282	426458	0.277474359162983	0.302699300905072
Synapse gene set	ATAC-seq	Gene set only	Neither	1888	12435	0.123133940156007	0.0951565383069026	0.0279774018491049	0.0308879049501023	0.0226851428633463	0.0392128735281515	12980504	1.18571252005847e-13	3.55713756017541e-13
Synapse gene set	ATAC-seq	MeCP2-up only	Neither	333	12435	0.0657648078236121	0.0951565383069026	-0.0293917304832905	-0.0446825728091653	-0.0691262048927207	-0.0203148641013162	1832984	0.000347477001077459	0.000521215501616189
Synapse gene set	H3K27ac	Both	Neither	58	7062	-0.123486520612643	0.0481241844300645	-0.171610705042707	-0.188316564128537	-0.313471089130964	-0.0774097292031999	152778	0.000847998216787105	0.00113066428904947
Synapse gene set	H3K27ac	Gene set only	Neither	1228	7062	0.0588495034013915	0.0481241844300645	0.0107253189713271	0.0266967105329507	0.00934170171395837	0.0441901933888733	4570099	0.00249946002384692	0.00315721266170137
Synapse gene set	H3K27ac	MeCP2-up only	Neither	251	7062	-0.469137859122489	0.0481241844300645	-0.517262043552553	-0.477924782286631	-0.567765426584518	-0.391834227471794	463084	6.20658883094128e-38	4.96527106475303e-37
Synapse gene set	H3K27me3	Both	Neither	32	3436	-0.00101295443003314	-0.068589485454319	0.0675765310242859	0.0834013103771696	-0.0953706650250039	0.294546686346676	60160	0.357880290525988	0.368169246317002
Synapse gene set	H3K27me3	Gene set only	Neither	666	3436	-0.122398186970091	-0.068589485454319	-0.0538087015157725	-0.0621656877955906	-0.0933273296346901	-0.031247385872685	1034607	8.94705565975056e-05	0.000153378097024295
Synapse gene set	H3K27me3	MeCP2-up only	Neither	110	3436	0.222409630056322	-0.068589485454319	0.290999115510641	0.357352362351342	0.206910172366054	0.547992851628213	242794	3.5562433174837e-07	7.75907632905535e-07
Synapse gene set	H2AK119ub	Both	Neither	68	7153	0.5781726465	0.105763548	0.4724090985	0.451273990960607	0.340699392285674	0.561370850589759	369134	1.83446766420348e-13	4.89191377120928e-13
Synapse gene set	H2AK119ub	Gene set only	Neither	1355	7153	0.036834147	0.105763548	-0.068929401	-0.0699922580271305	-0.0954123673528144	-0.044639418885034	4398509	6.67310693993519e-08	1.60154566558444e-07
Synapse gene set	H2AK119ub	MeCP2-up only	Neither	309	7153	0.64615976	0.105763548	0.540396212	0.515452518827681	0.461903530038291	0.568783645267425	1722696	2.70782899571504e-62	6.49878958971609e-61
