set_label	k119ub_decile	fold_min	fold_max	n_total	n_both	n_in_set	n_mecp2_up	frac_both	frac_in_set	frac_mecp2_up	both_ci_lower	both_ci_upper
Neuronal gene set	1	-1.323468699	-0.393700412	889	3	361	7	0.00337457817772778	0.40607424071991	0.0078740157480315	0.000696460539852124	0.00983000564716152
Neuronal gene set	2	-0.393069444	-0.239708401	888	4	307	6	0.0045045045045045	0.345720720720721	0.00675675675675676	0.00122864834836852	0.0114928419029813
Neuronal gene set	3	-0.239299645	-0.113909207	889	4	301	7	0.00449943757030371	0.338582677165354	0.0078740157480315	0.00122726480304357	0.0114799594927731
Neuronal gene set	4	-0.113610355	0.000723692	888	5	293	13	0.00563063063063063	0.329954954954955	0.0146396396396396	0.00183070259735264	0.0130907377833702
Neuronal gene set	5	0.001086355	0.111762226	889	7	260	19	0.0078740157480315	0.292463442069741	0.0213723284589426	0.00317145322351933	0.0161558200610112
Neuronal gene set	6	0.111845011	0.235325961	888	8	267	22	0.00900900900900901	0.300675675675676	0.0247747747747748	0.00389724543320663	0.0176738112137947
Neuronal gene set	7	0.235371601	0.370256191	888	8	230	33	0.00900900900900901	0.259009009009009	0.0371621621621622	0.00389724543320663	0.0176738112137947
Neuronal gene set	8	0.370742612	0.543805646	889	20	243	44	0.0224971878515186	0.273340832395951	0.0494938132733408	0.0137947414551384	0.0345320436896276
Neuronal gene set	9	0.544374548	0.774712873	888	28	220	87	0.0315315315315315	0.247747747747748	0.097972972972973	0.0210526482312984	0.0452510094701868
Neuronal gene set	10	0.775221535	2.219791897	889	32	195	139	0.0359955005624297	0.219347581552306	0.156355455568054	0.02474871697665	0.0504369918360409
Synapse gene set	1	-1.323468699	-0.393700412	889	0	169	7	0	0.190101237345332	0.0078740157480315	0	0.00414087354381632
Synapse gene set	2	-0.393069444	-0.239708401	888	1	153	6	0.00112612612612613	0.172297297297297	0.00675675675675676	2.85106385913719e-05	0.00625824598320734
Synapse gene set	3	-0.239299645	-0.113909207	889	3	160	7	0.00337457817772778	0.179977502812148	0.0078740157480315	0.000696460539852124	0.00983000564716152
Synapse gene set	4	-0.113610355	0.000723692	888	2	157	13	0.00225225225225225	0.176801801801802	0.0146396396396396	0.000272874672887905	0.00811201022822305
Synapse gene set	5	0.001086355	0.111762226	889	5	142	19	0.00562429696287964	0.159730033745782	0.0213723284589426	0.001828640552665	0.0130760678418392
Synapse gene set	6	0.111845011	0.235325961	888	3	154	22	0.00337837837837838	0.173423423423423	0.0247747747747748	0.000697245453451067	0.00984103951107929
Synapse gene set	7	0.235371601	0.370256191	888	6	132	33	0.00675675675675676	0.148648648648649	0.0371621621621622	0.00248352824817443	0.01464822246749
Synapse gene set	8	0.370742612	0.543805646	889	11	130	44	0.0123734533183352	0.146231721034871	0.0494938132733408	0.00619252459940248	0.0220314601220571
Synapse gene set	9	0.544374548	0.774712873	888	17	125	87	0.0191441441441441	0.140765765765766	0.097972972972973	0.0111907357558094	0.0304751515005213
Synapse gene set	10	0.775221535	2.219791897	889	20	101	139	0.0224971878515186	0.113610798650169	0.156355455568054	0.0137947414551384	0.0345320436896276
