gene_name	chr	in_mecp2_no_mch	k119ub_signal_gain
Emcn	chr3	FALSE	TRUE
Slc13a1	chr6	FALSE	TRUE
Fgf1	chr18	FALSE	TRUE
Pcdh9	chr14	FALSE	TRUE
Cog5	chr12	FALSE	TRUE
Col9a1	chr1	FALSE	TRUE
Gprin3	chr6	FALSE	TRUE
Patj	chr4	FALSE	TRUE
Plekha6	chr1	FALSE	FALSE
Cerkl	chr2	FALSE	TRUE
Hgd	chr16	FALSE	TRUE
Cmip	chr8	FALSE	FALSE
Ccdc192	chr18	FALSE	TRUE
Snca	chr6	FALSE	TRUE
Lamb3	chr1	FALSE	TRUE
Col27a1	chr4	FALSE	FALSE
Ttr	chr18	FALSE	TRUE
Clnk	chr5	FALSE	TRUE
Svep1	chr4	FALSE	TRUE
Gm973	chr1	FALSE	TRUE
Kbtbd12	chr6	FALSE	TRUE
Ptchd4	chr17	FALSE	TRUE
Npvf	chr6	FALSE	TRUE
Astn2	chr4	FALSE	TRUE
Hcn1	chr13	FALSE	TRUE
Adamts14	chr10	FALSE	FALSE
Ercc8	chr13	FALSE	TRUE
Fam83g	chr11	FALSE	FALSE
Trio	chr15	FALSE	FALSE
Bcl2l15	chr3	FALSE	TRUE
F830045P16Rik	chr2	FALSE	TRUE
Pou2f2	chr7	FALSE	FALSE
St18	chr1	FALSE	TRUE
Dgki	chr6	FALSE	TRUE
Ptgs1	chr2	FALSE	FALSE
Pnpla7	chr2	FALSE	FALSE
Cep128	chr12	FALSE	TRUE
Cd83	chr13	FALSE	TRUE
Lipc	chr9	FALSE	TRUE
Ap3b1	chr13	FALSE	TRUE
Epyc	chr10	FALSE	TRUE
Tdo2	chr3	FALSE	TRUE
Tmprss11g	chr5	FALSE	TRUE
Lrrk1	chr7	FALSE	FALSE
Kif18a	chr2	FALSE	TRUE
Krt24	chr11	FALSE	TRUE
Dbn1	chr13	FALSE	FALSE
Kcna2	chr3	FALSE	FALSE
Ptgis	chr2	FALSE	FALSE
Ntn4	chr10	FALSE	TRUE
Islr2	chr9	FALSE	FALSE
Fam81b	chr13	FALSE	TRUE
Bhmt	chr13	FALSE	TRUE
Scg2	chr1	FALSE	TRUE
Gpm6a	chr8	FALSE	TRUE
Grip2	chr6	FALSE	FALSE
Glra2	chrX	FALSE	TRUE
Emid1	chr11	FALSE	TRUE
Sox6	chr7	FALSE	TRUE
Myo16	chr8	FALSE	TRUE
Thbs2	chr17	FALSE	TRUE
Mvk	chr5	FALSE	FALSE
A330070K13Rik	chr5	FALSE	TRUE
Serpinb2	chr1	FALSE	TRUE
Ranbp9	chr13	FALSE	FALSE
Dcc	chr18	FALSE	FALSE
Slc6a12	chr6	FALSE	FALSE
Nek10	chr14	FALSE	TRUE
Spam1	chr6	FALSE	TRUE
Tbc1d31	chr15	FALSE	TRUE
Tex26	chr5	FALSE	TRUE
Vwa8	chr14	FALSE	TRUE
Tgif1	chr17	FALSE	FALSE
Asap1	chr15	FALSE	TRUE
Phldb2	chr16	FALSE	TRUE
Tpbg	chr9	FALSE	TRUE
Pkdcc	chr17	FALSE	FALSE
Cep170	chr1	FALSE	TRUE
Lypd6b	chr2	FALSE	TRUE
Hic1	chr11	FALSE	FALSE
Kera	chr10	FALSE	TRUE
4933428G20Rik	chr11	FALSE	FALSE
Atp2b3	chrX	FALSE	FALSE
Fbln5	chr12	FALSE	TRUE
Micu3	chr8	FALSE	TRUE
Cntn6	chr6	FALSE	TRUE
Gpr22	chr12	FALSE	TRUE
Timp3	chr10	FALSE	TRUE
Lgsn	chr1	FALSE	TRUE
Plxnd1	chr6	FALSE	TRUE
Prrt4	chr6	FALSE	TRUE
Mstn	chr1	FALSE	TRUE
Ntng2	chr2	FALSE	TRUE
Frem1	chr4	FALSE	TRUE
Aqp6	chr15	FALSE	TRUE
Ccbe1	chr18	FALSE	TRUE
Nutm1	chr2	FALSE	TRUE
Pex13	chr11	FALSE	TRUE
Mta1	chr12	FALSE	FALSE
Malrd1	chr2	FALSE	FALSE
Txndc15	chr13	FALSE	TRUE
Nol9	chr4	FALSE	FALSE
Aarsd1	chr11	FALSE	TRUE
Tyw1	chr5	FALSE	TRUE
Ddx43	chr9	FALSE	FALSE
Ces1a	chr8	FALSE	FALSE
Cnot9	chr1	FALSE	FALSE
Psg28	chr7	FALSE	FALSE
Klhl6	chr16	FALSE	FALSE
Cep78	chr19	FALSE	TRUE
Arl6ip6	chr2	FALSE	TRUE
Tfg	chr16	FALSE	TRUE
Spef1	chr2	FALSE	TRUE
Cxcl2	chr5	FALSE	FALSE
Slc9a3	chr13	FALSE	FALSE
Dixdc1	chr9	FALSE	TRUE
Tpd52	chr3	FALSE	TRUE
Lta4h	chr10	FALSE	TRUE
Axin1	chr17	FALSE	FALSE
Fhit	chr14	FALSE	FALSE
Grb14	chr2	FALSE	TRUE
Epb41l5	chr1	FALSE	TRUE
Syn1	chrX	FALSE	FALSE
Slain2	chr5	FALSE	TRUE
Nipal3	chr4	FALSE	FALSE
Kctd17	chr15	FALSE	TRUE
Ikbkg	chrX	FALSE	TRUE
Sstr2	chr11	FALSE	TRUE
Pcdhgb6	chr18	FALSE	TRUE
Neu4	chr1	FALSE	FALSE
Muc5b	chr7	FALSE	FALSE
Mrpl17	chr7	FALSE	TRUE
Mpl	chr4	FALSE	TRUE
Acsl5	chr19	FALSE	TRUE
Micall1	chr15	FALSE	FALSE
Rc3h1	chr1	FALSE	FALSE
Pcsk1n	chrX	FALSE	TRUE
Pld6	chr11	FALSE	FALSE
Rnf128	chrX	FALSE	TRUE
Gopc	chr10	FALSE	TRUE
Rufy3	chr5	FALSE	TRUE
Tbc1d21	chr9	FALSE	FALSE
Gucd1	chr10	FALSE	TRUE
Prkar2a	chr9	FALSE	FALSE
Glce	chr9	TRUE	TRUE
Smc6	chr12	FALSE	FALSE
Tmem255b	chr8	FALSE	FALSE
Bckdha	chr7	FALSE	FALSE
Hcn2	chr10	FALSE	FALSE
4930562C15Rik	chr16	FALSE	FALSE
Vhl	chr6	FALSE	TRUE
Commd4	chr9	FALSE	TRUE
Mpped1	chr15	FALSE	FALSE
Wif1	chr10	FALSE	TRUE
Dpm2	chr2	FALSE	TRUE
Copg2	chr6	FALSE	FALSE
Asb1	chr1	FALSE	FALSE
Runx2	chr17	FALSE	TRUE
Vps53	chr11	FALSE	FALSE
Csnk2a1	chr2	FALSE	FALSE
Prelp	chr1	FALSE	TRUE
Muc6	chr7	FALSE	FALSE
Zmat2	chr18	FALSE	TRUE
Ctps2	chrX	FALSE	FALSE
Ift74	chr4	FALSE	TRUE
Abca4	chr3	FALSE	TRUE
Hrk	chr5	FALSE	FALSE
Aldh1a3	chr7	FALSE	FALSE
Ntn5	chr7	FALSE	FALSE
Glt6d1	chr2	FALSE	FALSE
Chid1	chr7	FALSE	TRUE
Klhl12	chr1	FALSE	FALSE
Ankrd13c	chr3	FALSE	FALSE
4930453N24Rik	chr16	FALSE	TRUE
Ugt2a3	chr5	FALSE	FALSE
Zfp677	chr17	FALSE	TRUE
Kif13a	chr13	FALSE	TRUE
Stmnd1	chr13	FALSE	FALSE
Pth1r	chr9	FALSE	FALSE
Gabrb1	chr5	FALSE	TRUE
Atp2c2	chr8	FALSE	FALSE
Cd80	chr16	FALSE	TRUE
Rbl1	chr2	FALSE	FALSE
Chd1	chr17	FALSE	FALSE
Ranbp3l	chr15	FALSE	TRUE
Cyp4a10	chr4	FALSE	FALSE
Fbn1	chr2	FALSE	FALSE
Lgals3	chr14	FALSE	TRUE
Gnb1l	chr16	FALSE	FALSE
Celf5	chr10	FALSE	FALSE
Ptpn18	chr1	FALSE	TRUE
Gmfg	chr7	FALSE	TRUE
Kcnj10	chr1	FALSE	TRUE
Pde5a	chr3	FALSE	FALSE
Hsd17b4	chr18	FALSE	FALSE
Ipo7	chr7	FALSE	FALSE
Nucb1	chr7	FALSE	TRUE
P4ha3	chr7	FALSE	FALSE
Fggy	chr4	FALSE	TRUE
Ywhaq	chr12	FALSE	FALSE
Wdfy4	chr14	FALSE	FALSE
Gm5105	chr3	FALSE	TRUE
Atp2a1	chr7	FALSE	FALSE
Vnn1	chr10	FALSE	FALSE
Gucy2d	chr7	FALSE	TRUE
Kat2a	chr11	FALSE	FALSE
Eln	chr5	FALSE	FALSE
Hap1	chr11	FALSE	FALSE
Nos1ap	chr1	FALSE	TRUE
Dot1l	chr10	FALSE	FALSE
C7	chr15	FALSE	FALSE
Tmem67	chr4	FALSE	TRUE
Htra3	chr5	FALSE	FALSE
Triobp	chr15	FALSE	TRUE
Abce1	chr8	FALSE	TRUE
Tmprss5	chr9	FALSE	FALSE
Rrp1b	chr17	FALSE	FALSE
Tubb1	chr2	FALSE	TRUE
Gatb	chr3	FALSE	TRUE
Zfp120	chr2	FALSE	TRUE
Styx	chr14	FALSE	TRUE
Stk36	chr1	FALSE	FALSE
Mad2l1bp	chr17	FALSE	TRUE
Smad4	chr18	FALSE	FALSE
Pck2	chr14	FALSE	FALSE
Sp6	chr11	FALSE	FALSE
Ctbp2	chr7	FALSE	FALSE
Dgcr6	chr16	FALSE	TRUE
Treml2	chr17	FALSE	FALSE
Rgs7bp	chr13	FALSE	TRUE
Nkiras2	chr11	FALSE	TRUE
Slc9a1	chr4	FALSE	FALSE
Ncl	chr1	FALSE	FALSE
Itga1	chr13	FALSE	TRUE
Cnot3	chr7	FALSE	FALSE
Slc39a8	chr3	FALSE	TRUE
Mknk2	chr10	FALSE	FALSE
Irgm2	chr11	FALSE	TRUE
Doc2b	chr11	FALSE	FALSE
Rorc	chr3	FALSE	FALSE
