task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	55/68f526	52136238	fastp (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-15 23:08:25.358	2h 33m 30s	2h 33m 16s	115.7%	17.4 GB	17.6 GB	391.2 GB	387 GB
5	f1/d38cab	52136273	fastp (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-15 23:20:25.164	3h 10m 41s	3h 9m 45s	117.3%	19.4 GB	19.6 GB	439.1 GB	433.4 GB
1	71/c70acd	52136289	fastp (260629_Emseq_LV_index_A2_Bap1_Math1_adult_ctrl_M2_S5)	CACHED	0	2026-07-15 23:26:40.129	3h 48m 56s	3h 48m 4s	115.3%	22.6 GB	22.8 GB	514.9 GB	507.8 GB
64	a9/44e39a	52136914	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-16 01:47:29.290	5m 11s	4m 31s	1161.1%	20.1 GB	79.7 GB	19.2 GB	7.8 GB
25	d0/5094ff	52136936	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-16 01:47:31.831	5m 8s	4m 29s	1191.0%	20.2 GB	79.7 GB	19.2 GB	7.8 GB
14	41/37b1b4	52136909	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-16 01:47:28.754	6m 8s	5m 26s	1181.9%	20.1 GB	79.7 GB	19.2 GB	7.8 GB
56	86/0bbcf2	52136932	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-16 01:47:31.417	6m 5s	5m 25s	1172.3%	20.1 GB	79.7 GB	19.2 GB	7.8 GB
47	fc/2abb84	52143798	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-16 10:18:59.392	4m 38s	4m 9s	1277.4%	20.2 GB	79.7 GB	19.2 GB	7.8 GB
20	51/4dbc9f	52136927	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-16 01:47:30.712	5m 24s	4m 49s	1164.3%	20.1 GB	79.7 GB	19.2 GB	7.8 GB
61	a6/ef4662	52136925	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-16 01:47:30.366	5m 25s	4m 41s	1177.9%	20.1 GB	79.7 GB	19.2 GB	7.8 GB
51	85/6812bb	52143802	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-16 10:18:59.882	4m 52s	4m 10s	1276.0%	20.1 GB	79.7 GB	19.2 GB	7.8 GB
21	fd/5dc09b	52136921	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-16 01:47:29.965	7m 36s	6m 53s	814.3%	20.1 GB	79.7 GB	19.2 GB	7.8 GB
33	d8/ed5274	52136905	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-16 01:47:28.107	6m 8s	5m 30s	1151.8%	20.2 GB	79.7 GB	19.2 GB	7.8 GB
28	fa/450aaa	52136908	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-16 01:47:28.647	7m 38s	6m 59s	1172.5%	20.2 GB	79.7 GB	19.2 GB	7.8 GB
36	03/339947	52136898	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-16 01:47:26.583	7m 55s	7m 4s	838.3%	20.1 GB	79.7 GB	19.2 GB	7.8 GB
