task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	55/68f526	52136238	fastp (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-15 23:08:25.358	2h 33m 30s	2h 33m 16s	115.7%	17.4 GB	17.6 GB	391.2 GB	387 GB
7	05/5ad1ea	52136296	fastp (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-15 23:29:41.071	3h 58m 55s	3h 57m 45s	116.0%	24.3 GB	24.5 GB	559.2 GB	551.7 GB
5	f1/d38cab	52136273	fastp (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-15 23:20:25.164	3h 10m 41s	3h 9m 45s	117.3%	19.4 GB	19.6 GB	439.1 GB	433.4 GB
9	6c/0f5541	52496052	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-25 03:34:36.266	5m 58s	5m 1s	1213.2%	20.2 GB	139.7 GB	19.2 GB	7.8 GB
60	6e/462934	52496078	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-25 03:37:06.067	6m 28s	5m 50s	1203.8%	20.1 GB	139.7 GB	19.2 GB	7.8 GB
41	2c/efac9a	52496168	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-25 03:47:06.073	4m 58s	4m 17s	1268.9%	20.1 GB	139.7 GB	19.2 GB	7.8 GB
63	41/d2a431	52496023	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-25 03:30:09.523	4m 55s	4m 15s	1233.8%	20.1 GB	139.7 GB	19.2 GB	7.8 GB
36	c9/f337c8	52488551	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-24 18:40:57.390	5m 53s	5m 12s	1290.4%	20.1 GB	139.7 GB	19.2 GB	7.8 GB
16	64/3b49a3	52496034	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-25 03:32:06.131	4m 58s	4m 14s	1249.1%	20.1 GB	139.7 GB	19.2 GB	7.8 GB
4	4d/8ab56e	52136274	fastp (260629_Emseq_LV_index_D2_Bap1_Math1_adult_mut_F2_S8)	CACHED	0	2026-07-15 23:20:40.171	3h 19m 11s	3h 18m 37s	115.9%	22.4 GB	22.5 GB	509.8 GB	503.9 GB
