task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	55/68f526	52136238	fastp (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-15 23:08:25.358	2h 33m 30s	2h 33m 16s	115.7%	17.4 GB	17.6 GB	391.2 GB	387 GB
20	8e/361318	52533228	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-26 12:12:38.610	4m 18s	4m 15s	1294.0%	20.1 GB	59.7 GB	19.2 GB	7.8 GB
66	ed/a926fb	52533327	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-26 12:21:08.615	4m 48s	4m 18s	1302.1%	20.2 GB	59.7 GB	19.2 GB	7.8 GB
26	3a/182752	52533386	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-26 12:26:38.649	4m 18s	4m	1301.1%	20.1 GB	59.7 GB	19.2 GB	7.8 GB
19	4f/16509d	52533123	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-26 12:02:38.628	4m 48s	4m 18s	1295.2%	20.2 GB	59.7 GB	19.2 GB	7.8 GB
36	4f/63bb1a	52533297	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-26 12:19:08.628	4m 18s	4m 4s	1307.7%	20.2 GB	59.7 GB	19.2 GB	7.8 GB
32	1f/45df34	52533184	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-26 12:08:38.642	4m 48s	4m 17s	1227.0%	20.1 GB	59.7 GB	19.2 GB	7.8 GB
60	d2/bc9d1d	52534525	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-26 13:53:38.661	4m 48s	4m	1300.5%	20.2 GB	59.7 GB	19.2 GB	7.8 GB
21	c9/64bbd9	52534675	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-26 14:13:08.609	5m 18s	4m 47s	1254.8%	20.2 GB	59.7 GB	19.2 GB	7.8 GB
38	14/7051be	52533162	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-26 12:06:38.651	4m 48s	4m 37s	1273.5%	20.1 GB	59.7 GB	19.2 GB	7.8 GB
37	f4/9ba0bb	52533402	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-26 12:28:08.643	4m 18s	4m 3s	1309.5%	20.2 GB	59.7 GB	19.2 GB	7.8 GB
63	09/7551e6	52533405	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-26 12:28:38.633	4m 18s	4m 1s	1295.9%	20.2 GB	59.7 GB	19.2 GB	7.8 GB
72	4e/d69c34	52533379	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-26 12:26:08.631	4m 48s	4m 23s	1294.5%	20.1 GB	59.7 GB	19.2 GB	7.8 GB
12	8e/be9d6f	52533202	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-26 12:10:38.624	4m 48s	4m 41s	1227.8%	20.1 GB	59.7 GB	19.2 GB	7.8 GB
57	a0/f5e687	52533121	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-26 12:02:08.615	4m 48s	4m 18s	1287.6%	20.2 GB	59.7 GB	19.2 GB	7.8 GB
24	22/4749ee	52533148	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-26 12:05:08.662	4m 48s	4m 41s	1294.0%	20.2 GB	59.7 GB	19.2 GB	7.8 GB
14	de/dcaf57	52533115	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-26 12:01:38.647	4m 48s	4m 40s	1262.3%	20.2 GB	59.7 GB	19.2 GB	7.8 GB
34	92/f96ff2	52533213	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-26 12:11:08.633	6m 18s	5m 44s	923.1%	20.2 GB	59.7 GB	19.2 GB	7.8 GB
16	3a/9365ce	52533239	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-26 12:13:38.635	4m 18s	4m 7s	1279.1%	20.1 GB	59.7 GB	19.2 GB	7.8 GB
70	ca/621fd0	52534733	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-26 14:19:38.629	5m 18s	4m 4s	1291.4%	20.2 GB	59.7 GB	19.2 GB	7.8 GB
