task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
6	72/b67186	52238954	fastp (260629_Emseq_LV_index_C2_Bap1_Math1_adult_ctrl_F2_S7)	CACHED	0	2026-07-18 18:34:18.894	4h 2m 29s	4h 2m 5s	116.7%	26.2 GB	26.4 GB	602.3 GB	595 GB
2	55/68f526	52136238	fastp (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-15 23:08:25.358	2h 33m 30s	2h 33m 16s	115.7%	17.4 GB	17.6 GB	391.2 GB	387 GB
5	f1/d38cab	52136273	fastp (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-15 23:20:25.164	3h 10m 41s	3h 9m 45s	117.3%	19.4 GB	19.6 GB	439.1 GB	433.4 GB
4	4d/8ab56e	52136274	fastp (260629_Emseq_LV_index_D2_Bap1_Math1_adult_mut_F2_S8)	CACHED	0	2026-07-15 23:20:40.171	3h 19m 11s	3h 18m 37s	115.9%	22.4 GB	22.5 GB	509.8 GB	503.9 GB
7	05/5ad1ea	52136296	fastp (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-15 23:29:41.071	3h 58m 55s	3h 57m 45s	116.0%	24.3 GB	24.5 GB	559.2 GB	551.7 GB
1	71/c70acd	52136289	fastp (260629_Emseq_LV_index_A2_Bap1_Math1_adult_ctrl_M2_S5)	CACHED	0	2026-07-15 23:26:40.129	3h 48m 56s	3h 48m 4s	115.3%	22.6 GB	22.8 GB	514.9 GB	507.8 GB
8	82/b27bc8	52202680	fastp (260629_Emseq_LV_index_H1_Bap1_Math1_adult_mut_F1_S4)	CACHED	0	2026-07-17 07:31:42.987	8h 34m 31s	8h 34m 3s	109.2%	47.2 GB	47.3 GB	1.1 TB	1.1 TB
3	9a/91bba4	52202678	fastp (260629_Emseq_LV_index_B2_Bap1_Math1_adult_mut_M2_S6)	CACHED	0	2026-07-17 07:31:13.176	9h 33m 1s	9h 31m 52s	116.1%	54.7 GB	54.9 GB	1.3 TB	1.3 TB
32	c7/c546f8	52479270	alignReads (260629_Emseq_LV_index_C2_Bap1_Math1_adult_ctrl_F2_S7)	COMPLETED	0	2026-07-24 15:31:54.966	6m 25s	5m 20s	1088.4%	20.2 GB	139.7 GB	19.2 GB	7.7 GB
17	fd/a4cc36	52479277	alignReads (260629_Emseq_LV_index_C2_Bap1_Math1_adult_ctrl_F2_S7)	COMPLETED	0	2026-07-24 15:32:53.389	5m 57s	4m 27s	1284.0%	20.1 GB	139.7 GB	19.2 GB	7.8 GB
16	da/cf4c1b	52479278	alignReads (260629_Emseq_LV_index_C2_Bap1_Math1_adult_ctrl_F2_S7)	COMPLETED	0	2026-07-24 15:33:23.462	5m 27s	4m 33s	1272.7%	20.2 GB	139.8 GB	19.2 GB	7.8 GB
