task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
5	f1/d38cab	52136273	fastp (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-15 23:20:25.164	3h 10m 41s	3h 9m 45s	117.3%	19.4 GB	19.6 GB	439.1 GB	433.4 GB
7	05/5ad1ea	52136296	fastp (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-15 23:29:41.071	3h 58m 55s	3h 57m 45s	116.0%	24.3 GB	24.5 GB	559.2 GB	551.7 GB
2	55/68f526	52136238	fastp (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-15 23:08:25.358	2h 33m 30s	2h 33m 16s	115.7%	17.4 GB	17.6 GB	391.2 GB	387 GB
678	ba/b77562	52136931	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-16 01:47:31.325	6m 5s	5m 29s	1192.1%	20.2 GB	79.7 GB	19.2 GB	7.8 GB
689	fa/e520e8	52136911	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-16 01:47:28.974	5m 26s	4m 37s	1200.1%	20.2 GB	79.7 GB	19.2 GB	7.8 GB
684	c7/ec89ed	52136917	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-16 01:47:29.580	5m 11s	4m 36s	1187.2%	20.2 GB	79.8 GB	19.2 GB	7.8 GB
679	0d/dce21f	52136896	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-16 01:47:26.338	5m 55s	5m 13s	1120.4%	20.1 GB	79.7 GB	19.2 GB	7.8 GB
680	41/37b1b4	52136909	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-16 01:47:28.754	6m 8s	5m 26s	1181.9%	20.1 GB	79.7 GB	19.2 GB	7.8 GB
696	23/952314	52136901	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-16 01:47:27.189	5m 13s	4m 31s	1188.5%	20.1 GB	79.7 GB	19.2 GB	7.8 GB
683	f1/09db33	52136904	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-16 01:47:27.872	5m 42s	4m 56s	1137.1%	20.1 GB	79.7 GB	19.2 GB	7.8 GB
688	47/c33384	52136907	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-16 01:47:28.514	5m 42s	5m 3s	1162.9%	20.2 GB	79.7 GB	19.2 GB	7.8 GB
687	fd/5dc09b	52136921	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-16 01:47:29.965	7m 36s	6m 53s	814.3%	20.1 GB	79.7 GB	19.2 GB	7.8 GB
685	da/13676a	52136930	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-16 01:47:31.234	6m 35s	5m 57s	1184.0%	20.2 GB	79.7 GB	19.2 GB	7.8 GB
682	a9/4cb652	52136920	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-16 01:47:29.866	5m 25s	4m 49s	1168.3%	20.2 GB	79.7 GB	19.2 GB	7.8 GB
700	17/bf7827	52136900	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-16 01:47:26.929	6m 9s	5m 27s	1180.7%	20.1 GB	79.7 GB	19.2 GB	7.8 GB
704	a9/32ca3a	52136922	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-16 01:47:30.050	5m 25s	4m 46s	1187.0%	20.2 GB	79.7 GB	19.2 GB	7.8 GB
708	7f/7829ff	52136928	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-16 01:47:30.915	5m 39s	4m 58s	1166.0%	20.2 GB	79.7 GB	19.2 GB	7.8 GB
698	20/dec3a0	52136902	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-16 01:47:27.458	5m 43s	4m 54s	1156.8%	20.2 GB	79.7 GB	19.2 GB	7.8 GB
699	d8/ed5274	52136905	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-16 01:47:28.107	6m 8s	5m 30s	1151.8%	20.2 GB	79.7 GB	19.2 GB	7.8 GB
715	d4/bacf99	52136924	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-16 01:47:30.249	5m 40s	4m 51s	1156.8%	20.1 GB	79.7 GB	19.2 GB	7.8 GB
690	53/0affaa	52136916	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-16 01:47:29.494	5m 11s	4m 28s	1186.8%	20.2 GB	79.7 GB	19.2 GB	7.8 GB
