task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	55/68f526	52136238	fastp (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-15 23:08:25.358	2h 33m 30s	2h 33m 16s	115.7%	17.4 GB	17.6 GB	391.2 GB	387 GB
5	f1/d38cab	52136273	fastp (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-15 23:20:25.164	3h 10m 41s	3h 9m 45s	117.3%	19.4 GB	19.6 GB	439.1 GB	433.4 GB
36	c9/f337c8	52488551	alignReads (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-24 18:40:57.390	5m 53s	5m 12s	1290.4%	20.1 GB	139.7 GB	19.2 GB	7.8 GB
4	4d/8ab56e	52136274	fastp (260629_Emseq_LV_index_D2_Bap1_Math1_adult_mut_F2_S8)	CACHED	0	2026-07-15 23:20:40.171	3h 19m 11s	3h 18m 37s	115.9%	22.4 GB	22.5 GB	509.8 GB	503.9 GB
7	05/5ad1ea	52136296	fastp (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-15 23:29:41.071	3h 58m 55s	3h 57m 45s	116.0%	24.3 GB	24.5 GB	559.2 GB	551.7 GB
6	72/b67186	52238954	fastp (260629_Emseq_LV_index_C2_Bap1_Math1_adult_ctrl_F2_S7)	CACHED	0	2026-07-18 18:34:18.894	4h 2m 29s	4h 2m 5s	116.7%	26.2 GB	26.4 GB	602.3 GB	595 GB
1	71/c70acd	52136289	fastp (260629_Emseq_LV_index_A2_Bap1_Math1_adult_ctrl_M2_S5)	CACHED	0	2026-07-15 23:26:40.129	3h 48m 56s	3h 48m 4s	115.3%	22.6 GB	22.8 GB	514.9 GB	507.8 GB
1282	49/233ee2	52479529	alignReads (260629_Emseq_LV_index_C2_Bap1_Math1_adult_ctrl_F2_S7)	CACHED	0	2026-07-24 16:02:57.458	5m 53s	4m 58s	1247.1%	20.2 GB	139.7 GB	19.2 GB	7.8 GB
1293	fb/6d250c	52479349	alignReads (260629_Emseq_LV_index_C2_Bap1_Math1_adult_ctrl_F2_S7)	CACHED	0	2026-07-24 15:43:53.384	8m 57s	4m 32s	1228.7%	20.2 GB	139.7 GB	19.2 GB	7.8 GB
1289	32/3478df	52479494	alignReads (260629_Emseq_LV_index_C2_Bap1_Math1_adult_ctrl_F2_S7)	CACHED	0	2026-07-24 15:57:53.386	6m 57s	6m	1268.5%	20.2 GB	139.7 GB	19.2 GB	7.8 GB
1285	2d/502974	52479489	alignReads (260629_Emseq_LV_index_C2_Bap1_Math1_adult_ctrl_F2_S7)	CACHED	0	2026-07-24 15:57:29.467	5m 51s	4m 25s	1260.9%	20.2 GB	139.7 GB	19.2 GB	7.8 GB
1276	cd/9ab271	52479353	alignReads (260629_Emseq_LV_index_C2_Bap1_Math1_adult_ctrl_F2_S7)	CACHED	0	2026-07-24 15:44:24.858	9m 55s	4m 56s	1255.1%	20.2 GB	139.7 GB	19.2 GB	7.8 GB
1283	da/cf4c1b	52479278	alignReads (260629_Emseq_LV_index_C2_Bap1_Math1_adult_ctrl_F2_S7)	CACHED	0	2026-07-24 15:33:23.462	5m 27s	4m 33s	1272.7%	20.2 GB	139.8 GB	19.2 GB	7.8 GB
1291	bb/38ca82	52479324	alignReads (260629_Emseq_LV_index_C2_Bap1_Math1_adult_ctrl_F2_S7)	CACHED	0	2026-07-24 15:39:01.092	9m 19s	5m 42s	1259.4%	20.1 GB	139.8 GB	19.2 GB	7.8 GB
1278	1c/a78a19	52479546	alignReads (260629_Emseq_LV_index_C2_Bap1_Math1_adult_ctrl_F2_S7)	CACHED	0	2026-07-24 16:04:57.559	6m 52s	5m 37s	1252.7%	20.2 GB	139.7 GB	19.2 GB	7.8 GB
