feature_type	enhancer_status	n_intervals	n_genes	total_bases	pooled_mch_ctrl	pooled_mch_mut	mean_delta_mch	median_delta_mch	pooled_delta_mch
5UTR	Active enhancer	437	374	95984	0.0206510036295678	0.0229773889165724	0.00241101455952524	0.00135130219169054	0.00232638528700455
5UTR	No enhancer	44673	20540	7544039	0.0178368490086062	0.018887175890567	0.000906785590179086	0.00122169119797435	0.00105032688196081
Exon	Active enhancer	2598	1729	2654616	0.0232223158699552	0.025643613765641	0.00266504953773878	0.00168365661199438	0.00242129789568584
Exon	No enhancer	221362	21517	94156326	0.0164239740947456	0.0170133608641812	0.000526597593498757	0.000797824014408394	0.000589386769435655
SpliceSite_Donor	Active enhancer	1482	1034	31122	0.0207004791998616	0.0246074278204034	0.00303740060835261	0.00239665280715458	0.00390694862054187
SpliceSite_Donor	No enhancer	200583	20192	4212290	0.0173298038715371	0.0177264422659777	0.000613329691604178	0.00109110747408619	0.000396638394440547
SpliceSite_Acceptor	Active enhancer	1601	1095	33621	0.0196147787879625	0.0230087305934128	0.00287128347226803	0.00219949868030079	0.0033939518054503
SpliceSite_Acceptor	No enhancer	200438	20172	4209282	0.0158632116164997	0.0162314934577484	0.000562518829937282	0.000986119074155886	0.000368281841248722
Intron	Active enhancer	9670	3960	274470432	0.0257101924115848	0.0274862302271802	0.00228928814602889	0.000674988629791183	0.00177603781559539
Intron	No enhancer	193643	20228	703360087	0.0185876039920769	0.0191589349177064	0.000498441337029864	0.000591287835919939	0.000571330925629443
3UTR	Active enhancer	647	561	1224592	0.0240022698806677	0.026218963748842	0.00221496977755479	0.00147335940855574	0.00221669386817435
3UTR	No enhancer	51320	20824	36582575	0.0164496802641002	0.0170382634128869	0.00049954127337408	0.000670905569895771	0.000588583148786726
