feature_type	feature_rank	n_intervals	n_genes	median_interval_length	pooled_mch_ctrl	pooled_mch_mut	mean_delta_mch	median_delta_mch	se_delta_mch	pooled_delta_mch
Exon	1	21374	21374	237	0.018225538403005	0.019435254676666	0.00109932425978446	0.00140630295620678	9.05555155311672e-05	0.00120971627366093
Exon	2	20090	20090	170	0.0164137184251696	0.0174080206871077	0.00086718729342954	0.00101221154078666	8.40035722297273e-05	0.000994302261938047
Exon	3	18254	18254	156	0.0164829895952928	0.017287721533148	0.000735930009745634	0.00103280841014002	7.77215077934545e-05	0.000804731937855182
Exon	4	16562	16562	153	0.0162865939359536	0.0170233396835345	0.000653212926319112	0.000839104945946904	7.83682148227407e-05	0.000736745747580963
Exon	5	14924	14924	149	0.0162901633405406	0.0168730322717726	0.000489457466645953	0.000825085388019505	8.60953923686187e-05	0.000582868931231922
Exon	6	13392	13392	146	0.0159931506818198	0.0165249554009484	0.000285227414149123	0.000631061455458962	9.01048899899461e-05	0.000531804719128594
Exon	7	11968	11968	144	0.0159706830810601	0.0164742021825004	0.000370586921933873	0.000760769129168385	9.37761760713616e-05	0.00050351910144036
Exon	8	10725	10725	144	0.016455392050051	0.0169078514926305	0.000322984250034141	0.000584321410599515	9.14584538075981e-05	0.000452459442579507
Exon	9	9596	9596	143	0.0164029445149041	0.016862243391376	0.000441192988038886	0.000670957697601482	9.7897297153837e-05	0.000459298876471909
Exon	10	8577	8577	143	0.0164797940120473	0.0169498848813997	0.000516074714856072	0.000633948007167366	0.000102585227708711	0.00047009086935234
Exon	11	7699	7699	144	0.016650453598243	0.0171492257320766	0.000442631141351828	0.000652882262564733	0.000111663087312558	0.000498772133833592
Exon	12	6866	6866	144	0.0166825849285436	0.0171966261580484	0.000408313521147056	0.000592270188704521	0.000114538619690359	0.000514041229504849
Exon	13	6114	6114	145	0.0164246156144409	0.0168501891040874	0.000441661323649996	0.000539408283883767	0.000120871176396502	0.000425573489646537
Exon	14	5469	5469	146	0.0169049968653429	0.0170997230096303	0.000126282152499017	0.000389355817512956	0.00012677722852189	0.000194726144287359
Exon	15	4828	4828	145	0.0166363676428356	0.0169100434048668	0.000197817686833163	0.000648831741744089	0.000136116186722948	0.000273675762031248
Exon	16	4354	4354	145	0.0169807897155848	0.0171424670429066	0.000409773760000517	0.00068593698570522	0.000160148112091357	0.000161677327321808
Exon	17	3881	3881	145	0.0170677509832656	0.0174829130439604	0.000115273853375347	0.000633822011694651	0.000154642428469951	0.000415162060694779
Exon	18	3485	3485	144	0.0170215920998286	0.017009895057096	2.84588338871488e-05	0.000439694062427802	0.000161874938539574	-1.16970427326522e-05
Exon	19	3135	3135	144	0.0163832925620961	0.0168938390117414	0.000371378099987112	0.00076489503832931	0.000162605045540613	0.000510546449645363
Exon	20	2853	2853	143	0.0168586613418213	0.0171767381139807	0.000306855658779863	0.000761435741062242	0.000181035857202266	0.000318076772159451
Intron	1	20223	20223	1847	0.020935368594854	0.0220411989739911	0.00102953823738661	0.000913444659527784	7.67371612773722e-05	0.0011058303791371
Intron	2	18399	18399	1604	0.0212797210901444	0.0222805664060699	0.000876939974882357	0.000815734397009731	6.52808504610863e-05	0.00100084531592549
Intron	3	16646	16646	1447.5	0.0213331395830354	0.0223552344102553	0.000768837154637926	0.000629379502100549	8.38456368810557e-05	0.00102209482721992
Intron	4	15018	15018	1368.5	0.0209690723675596	0.0216869368140174	0.000607077256733839	0.000622514879623044	6.39633533649734e-05	0.000717864446457776
Intron	5	13442	13442	1368	0.0207289157246191	0.0215441214141059	0.000531089270292423	0.000601011926888426	6.35346668121345e-05	0.000815205689486762
Intron	6	12047	12047	1350	0.0204543908949505	0.0212375281970299	0.00047572355615609	0.000554483858491422	6.90346260912979e-05	0.00078313730207933
Intron	7	10782	10782	1278	0.0205985897794554	0.0212398211523269	0.000480840715330211	0.000496819484992036	8.75127510233902e-05	0.000641231372871448
Intron	8	9648	9648	1239	0.0200765930438937	0.0208371978361675	0.000359986327623919	0.000522004670674829	7.70730445702576e-05	0.000760604792273814
Intron	9	8592	8592	1209	0.0195385103084113	0.0204877132144756	0.000572912685960233	0.000513058984890398	8.13075067385472e-05	0.000949202906064241
Intron	10	7700	7700	1247	0.020437618002869	0.0213695543803732	0.000449140642776703	0.000523681361044233	8.2882850858445e-05	0.000931936377504224
Intron	11	6870	6870	1206.5	0.0198769131152548	0.0207080084894633	0.000497092564538881	0.000439701706160724	8.69005166917229e-05	0.000831095374208501
Intron	12	6114	6114	1207.5	0.0204399293245492	0.0212713786932955	0.000447462447401867	0.000557745871318651	9.40212639460817e-05	0.000831449368746257
Intron	13	5471	5471	1182	0.0200799734809107	0.0208049696860897	0.000308291643438494	0.000276141778337805	9.76380989011958e-05	0.000724996205178994
Intron	14	4829	4829	1198	0.0202404490562815	0.0208709613561647	0.000266210238331057	0.000336265300208711	0.000104868979358997	0.000630512299883149
Intron	15	4355	4355	1165	0.0199233070383314	0.0203712125681023	0.000182283030307111	0.00040088112723163	0.000105655757819058	0.000447905529770903
Intron	16	3882	3882	1179.5	0.0203656386783263	0.0212285656711231	0.000235052929004173	0.000428782372594569	0.000113658008070733	0.000862926992796751
Intron	17	3487	3487	1113	0.0203679651452559	0.0208447687408885	0.000438904394818086	0.000341842822052898	0.000123648580868619	0.000476803595632555
Intron	18	3136	3136	1089.5	0.019590104395247	0.0200955004200742	0.000270322939171267	0.000336318781549967	0.000131533448001943	0.00050539602482725
Intron	19	2852	2852	1176	0.0198640800044536	0.0204177009230897	0.000373537341975225	0.000337776472212455	0.000132495605392103	0.000553620918636102
Intron	20	2554	2554	1139	0.0191667300406367	0.0202056986752699	0.000450089174587269	0.000413447958038508	0.000144735828569429	0.00103896863463318
