feature_type	n	median	mean	q25	q75	enhancer_status
5UTR	437	0.135130219169054	0.241101455952524	-0.604306320468035	0.926051188338827	Active enhancer
Exon	2598	0.168365661199438	0.266504953773878	-0.389711820899591	0.762715643281999	Active enhancer
SpliceSite_Donor	1482	0.239665280715458	0.303740060835261	-0.618197231362415	1.09610735792092	Active enhancer
SpliceSite_Acceptor	1601	0.219949868030079	0.287128347226803	-0.652157405622631	1.09109480917448	Active enhancer
Intron	9670	0.0674988629791183	0.228928814602889	-0.159032872071541	0.419257062764388	Active enhancer
3UTR	647	0.147335940855574	0.221496977755479	-0.283705342925997	0.612831003080942	Active enhancer
5UTR	44673	0.122169119797435	0.0906785590179086	-0.625684413531371	0.847397478219034	No enhancer
Exon	221362	0.0797824014408394	0.0526597593498756	-0.473240117129791	0.604491904755944	No enhancer
SpliceSite_Donor	200583	0.109110747408619	0.0613329691604178	-0.70266814969397	0.864207935007795	No enhancer
SpliceSite_Acceptor	200438	0.0986119074155886	0.0562518829937282	-0.665805996365885	0.81920276576976	No enhancer
Intron	193643	0.0591287835919939	0.0498441337029864	-0.255111168071218	0.37052640431402	No enhancer
3UTR	51320	0.0670905569895771	0.049954127337408	-0.403480420651281	0.532618711688741	No enhancer
