bin	n_genes	mean_mch_ctrl	se_mch_ctrl	mean_mch_mut	se_mch_mut	mean_delta_mch	median_delta_mch	se_delta_mch	pooled_mch_ctrl	pooled_mch_mut	pooled_delta_mch
1	21505	0.0185638345574703	7.23754863604266e-05	0.0197340704644177	6.70790419821352e-05	0.00117023590694733	0.00109450285934333	6.003295908652e-05	0.0211548593779977	0.0225928585467677	0.00143799916877
2	21500	0.0183805501700674	7.06340488278236e-05	0.0195330822216971	6.69091865352923e-05	0.00115253205162973	0.000911878426396499	5.11851245088616e-05	0.0210904713908997	0.0224428928768966	0.00135242148599682
3	21501	0.0182731781382021	6.81987221702643e-05	0.0193824845932163	6.5540583266906e-05	0.00110930645501418	0.000889314108597425	4.63911182476071e-05	0.0209073562911908	0.0221799404888273	0.00127258419763648
4	21501	0.0182293133504676	6.60424639507705e-05	0.0192423143307217	6.26979443777525e-05	0.00101300098025412	0.000842839697755435	4.42109867394898e-05	0.0208144801435112	0.0219839786914931	0.00116949854798191
5	21496	0.0181345322954483	6.24689508313761e-05	0.0191584029691665	6.06277766189883e-05	0.00102387067371813	0.000838282711224832	4.26389768470711e-05	0.0207406415414461	0.0218576929341229	0.00111705139267672
6	21495	0.0180766206930841	6.1856706965084e-05	0.0190910378938373	6.033328161682e-05	0.00101441720075319	0.000827600175401099	4.15266938859258e-05	0.0207147340988347	0.0217736503845165	0.00105891628568171
7	21491	0.0180526149423928	6.16837571169983e-05	0.0190106000059082	6.01200741701739e-05	0.000957985063515458	0.000802160253394734	4.08089628962968e-05	0.0206978985751901	0.0217496350784401	0.00105173650324997
8	21486	0.0179812797521225	6.11766842963071e-05	0.0189527758883	5.96418469824946e-05	0.000971496136177548	0.000800972275779962	4.00360309720367e-05	0.0206113724307033	0.0216994194209059	0.00108804699020258
9	21483	0.0179357185429074	6.12504115565137e-05	0.0188941401151719	5.95461374992002e-05	0.000958421572264468	0.000797379697536847	3.93452073172054e-05	0.0205663856708783	0.0216046744718952	0.0010382888010169
10	21485	0.0179138023637118	6.07685193090611e-05	0.0188499269151301	5.90758800729989e-05	0.000936124551418362	0.000771808185789716	3.88671884304508e-05	0.0206369404811741	0.021627333782602	0.000990393301427864
11	21482	0.0178783266752591	6.07668127639277e-05	0.0188035191799377	5.94305183305887e-05	0.000925192504678592	0.000749312421733645	3.90327959799585e-05	0.0206653204867058	0.0216625958683186	0.000997275381612775
12	21484	0.0178462472857157	6.10804215900568e-05	0.0187682549817339	6.09081803113829e-05	0.000922007696018256	0.000757115970441753	4.17439450186913e-05	0.0206735089302556	0.0216235652401568	0.000950056309901144
13	21486	0.017806821799364	6.08646742803526e-05	0.0186866907836532	5.99616152371714e-05	0.000879868984289179	0.000756392881832477	3.99687643695549e-05	0.0206648318815693	0.0215848548429513	0.000920022961382008
14	21479	0.0177570138255215	5.9389756748322e-05	0.0186457197847863	5.84355052868913e-05	0.000888705959264758	0.000740411857573507	3.8002113605923e-05	0.0206502570064337	0.0215902044624415	0.000939947456007808
15	21482	0.0177441418419514	6.08479742130004e-05	0.0186228075001762	5.83695615100927e-05	0.000878665658224776	0.000727483344702563	4.01654996457519e-05	0.0206418772084692	0.0215749368758121	0.000933059667342927
16	21479	0.0176769487683179	5.91171829259516e-05	0.0185371314148241	5.79798233400078e-05	0.00086018264650621	0.000699527543367259	3.70652749966672e-05	0.0205784887650905	0.0214566099556548	0.000878121190564275
