gene_name	chr	mch_hyper	atac_gained
Auts2	chr5	FALSE	TRUE
Csmd2	chr4	FALSE	TRUE
Lrrc49	chr9	TRUE	FALSE
Dpys	chr15	TRUE	FALSE
Fgf1	chr18	TRUE	FALSE
Runx1t1	chr4	TRUE	FALSE
Zbbx	chr3	TRUE	TRUE
Col9a1	chr1	TRUE	FALSE
Gprin3	chr6	TRUE	FALSE
Csrnp3	chr2	FALSE	FALSE
Nrxn1	chr17	FALSE	FALSE
Pcgf5	chr19	FALSE	TRUE
Patj	chr4	TRUE	FALSE
Abr	chr11	FALSE	TRUE
Plekha6	chr1	FALSE	TRUE
Cerkl	chr2	TRUE	FALSE
Tafa5	chr15	FALSE	TRUE
Gsg1l	chr7	FALSE	TRUE
Cacna1e	chr1	FALSE	TRUE
Hgd	chr16	TRUE	FALSE
Zbtb20	chr16	TRUE	FALSE
Nos1	chr5	FALSE	TRUE
Fstl4	chr11	FALSE	TRUE
Opcml	chr9	TRUE	TRUE
Heg1	chr16	TRUE	FALSE
Phactr3	chr2	FALSE	TRUE
Atxn1	chr13	FALSE	TRUE
Ttr	chr18	TRUE	FALSE
Sez6	chr11	FALSE	TRUE
Nav3	chr10	TRUE	TRUE
Anks1b	chr10	FALSE	TRUE
Angpt1	chr15	FALSE	FALSE
Pcdh7	chr5	TRUE	TRUE
Ssh2	chr11	FALSE	TRUE
Cnpy1	chr5	TRUE	FALSE
Plcb4	chr2	FALSE	TRUE
Ppp2r2b	chr18	FALSE	TRUE
Kbtbd12	chr6	TRUE	FALSE
Shank2	chr7	FALSE	TRUE
Pde4b	chr4	FALSE	TRUE
Grxcr1	chr5	TRUE	FALSE
Prune2	chr19	TRUE	FALSE
Pde10a	chr17	FALSE	TRUE
Klhl29	chr12	FALSE	TRUE
Elp4	chr2	TRUE	FALSE
Nkain3	chr4	TRUE	TRUE
Ebf2	chr14	FALSE	TRUE
Celf4	chr18	FALSE	TRUE
Epha5	chr5	TRUE	TRUE
Psd3	chr8	TRUE	TRUE
Pcsk5	chr19	FALSE	TRUE
Npvf	chr6	TRUE	FALSE
Alk	chr17	FALSE	TRUE
Prkcb	chr7	FALSE	TRUE
Itgb5	chr16	TRUE	FALSE
Spag17	chr3	TRUE	TRUE
Runx1	chr16	FALSE	TRUE
Astn2	chr4	FALSE	TRUE
Grip1	chr10	FALSE	TRUE
Dsc2	chr18	TRUE	FALSE
Ptprk	chr10	TRUE	TRUE
Slc24a3	chr2	TRUE	TRUE
Dapk1	chr13	FALSE	TRUE
Isx	chr8	TRUE	TRUE
Fam72a	chr1	TRUE	FALSE
Wipf3	chr6	TRUE	TRUE
Rap1gap2	chr11	FALSE	TRUE
Rora	chr9	FALSE	FALSE
Rbfox1	chr16	FALSE	TRUE
Trp73	chr4	FALSE	FALSE
Dnah11	chr12	TRUE	FALSE
Tbc1d1	chr5	FALSE	TRUE
Syt1	chr10	TRUE	FALSE
Dst	chr1	FALSE	TRUE
Zfp423	chr8	FALSE	TRUE
Robo2	chr16	TRUE	TRUE
Sh3gl3	chr7	FALSE	TRUE
Rgl1	chr1	FALSE	TRUE
Aff3	chr1	FALSE	TRUE
Tcf20	chr15	FALSE	TRUE
Hlf	chr11	FALSE	TRUE
Rapgef2	chr3	FALSE	TRUE
Frmd4a	chr2	FALSE	TRUE
Nsmaf	chr4	TRUE	FALSE
Anks1	chr17	FALSE	TRUE
Cux1	chr5	FALSE	TRUE
Marchf4	chr1	FALSE	TRUE
Cadps2	chr6	FALSE	TRUE
Atxn7l1	chr12	FALSE	FALSE
Dennd1a	chr2	FALSE	TRUE
Clvs1	chr4	FALSE	TRUE
Prr16	chr18	TRUE	TRUE
Nav1	chr1	FALSE	TRUE
Myt1l	chr12	TRUE	FALSE
B3gnt2	chr11	FALSE	TRUE
Megf6	chr4	FALSE	TRUE
Cntnap5a	chr1	TRUE	TRUE
Tbxas1	chr6	FALSE	TRUE
Camk1d	chr2	FALSE	FALSE
Tmem132c	chr5	TRUE	FALSE
Myo5b	chr18	FALSE	TRUE
Cdh20	chr1	TRUE	TRUE
Arap2	chr5	TRUE	TRUE
Ptgs1	chr2	FALSE	FALSE
Pax5	chr4	FALSE	TRUE
Kcnab1	chr3	TRUE	FALSE
Abl1	chr2	FALSE	TRUE
Msrb3	chr10	FALSE	TRUE
1700019D03Rik	chr1	TRUE	TRUE
Osbpl5	chr7	FALSE	TRUE
Adamtsl3	chr7	FALSE	TRUE
Ntrk2	chr13	FALSE	TRUE
Mtss1	chr15	FALSE	TRUE
Atp2b2	chr6	FALSE	FALSE
Fbrsl1	chr5	FALSE	TRUE
Rag1	chr2	TRUE	FALSE
Stom	chr2	TRUE	FALSE
Nrros	chr16	TRUE	FALSE
Lipc	chr9	TRUE	FALSE
Slc24a2	chr4	FALSE	TRUE
Unc13b	chr4	FALSE	FALSE
Shisal1	chr15	FALSE	TRUE
Zfp462	chr4	FALSE	TRUE
Tshz2	chr2	FALSE	TRUE
Fibcd1	chr2	FALSE	TRUE
Slc24a4	chr12	FALSE	TRUE
Atrnl1	chr19	FALSE	TRUE
Zfp385b	chr2	FALSE	TRUE
Sdk2	chr11	FALSE	TRUE
Zfp516	chr18	FALSE	FALSE
Cobl	chr11	TRUE	TRUE
Ston2	chr12	FALSE	TRUE
Slc8a3	chr12	FALSE	TRUE
Pde4dip	chr3	FALSE	TRUE
Efcab6	chr15	FALSE	TRUE
Rgs3	chr4	TRUE	TRUE
Col19a1	chr1	TRUE	FALSE
5031439G07Rik	chr15	FALSE	TRUE
Abcc4	chr14	FALSE	TRUE
Zbtb7c	chr18	FALSE	TRUE
Tln2	chr9	FALSE	TRUE
Krt24	chr11	TRUE	FALSE
Rsrc1	chr3	FALSE	TRUE
Nsmf	chr2	FALSE	TRUE
Lrrtm4	chr6	TRUE	TRUE
Lmx1b	chr2	FALSE	TRUE
Aopep	chr13	FALSE	TRUE
Pde4d	chr13	TRUE	TRUE
Kalrn	chr16	FALSE	TRUE
Arhgef3	chr14	TRUE	FALSE
Scn1a	chr2	FALSE	TRUE
Jakmip1	chr5	FALSE	TRUE
Nedd4l	chr18	FALSE	TRUE
Pde9a	chr17	FALSE	TRUE
Sipa1l1	chr12	FALSE	TRUE
Rims1	chr1	FALSE	FALSE
Osbpl1a	chr18	TRUE	FALSE
Tmem156	chr5	TRUE	TRUE
Ptgis	chr2	FALSE	TRUE
Lrp1b	chr2	TRUE	TRUE
Limch1	chr5	FALSE	TRUE
Gabra2	chr5	TRUE	TRUE
