gene_name	mean_ctrl	mean_mut	mean_diff	pooled_ctrl	pooled_mut	pooled_diff	ctrl_delta	mut_delta	diff_delta	edger_logFC	edger_fdr	sig_fdr005
Auts2	0.0585930354568514	0.0405551707375849	-0.0180378647192666	0.0585505152485031	0.0408057686646892	-0.0177447465838139	-4.25202083482942e-05	0.00025059792710426	0.000293118135452651	-0.589453234068138	6.49315772936704e-20	TRUE
Csmd2	0.0495954803208768	0.0322662483584066	-0.0173292319624701	0.0495551797834338	0.0327092217146561	-0.0168459580687777	-4.03005374430068e-05	0.000442973356249536	0.000483273893692442	-0.702488424646554	2.05229451875872e-19	TRUE
Arhgap26	0.0240667114846402	0.0411655718277919	0.0170988603431517	0.0288846712165601	0.0446815932957385	0.0157969220791783	0.00481795973191994	0.00351602146794657	-0.00130193826397337	0.704215640764072	4.81031639917514e-18	TRUE
Rasgef1b	0.0543948964773618	0.0369045314632584	-0.0174903650141034	0.0544280173574477	0.0372767079579932	-0.0171513093994544	3.3120880085849e-05	0.000372176494734817	0.000339055614648968	-0.626358182933927	1.91183600778509e-17	TRUE
Lrrc49	0.0232240221033662	0.0457047237189033	0.0224807016155371	0.0231808440555132	0.0458947163551269	0.0227138722996137	-4.3178047853025e-05	0.000189992636223588	0.000233170684076613	0.925662885715961	4.32716162207456e-17	TRUE
Emcn	0.0341953858377244	0.0712838669062373	0.0370884810685128	0.0339649290452117	0.0719410104958061	0.0379760814505944	-0.000230456792512747	0.000657143589568768	0.000887600382081612	0.994570493076339	4.85131254429339e-17	TRUE
Slc13a1	0.0279154504799454	0.0600276489322722	0.0321121984523268	0.0277074160232102	0.0604992914588586	0.0327918754356484	-0.000208034456735194	0.000471642526586408	0.000679676983321602	1.03501814773005	1.47348298932098e-16	TRUE
Arhgap26	0.0289702968715419	0.0443358143886387	0.0153655175170967	0.0288846712165601	0.0446815932957385	0.0157969220791783	-8.56256549817552e-05	0.000345778907099775	0.000431404562081629	0.560363885358525	2.20012254087888e-16	TRUE
Dpys	0.0313516764771984	0.0561886074277392	0.0248369309505408	0.0313525720569021	0.0564393795059064	0.0250868074490044	8.95579703660832e-07	0.000250772078167226	0.000249876498463565	0.803923333716464	7.46437336237682e-16	TRUE
Fgf1	0.0287311295506861	0.0518081884842646	0.0230770589335785	0.0287011428897024	0.0522538914109122	0.0235527485212099	-2.99866609837392e-05	0.000445702926647619	0.000475689587631358	0.811254567920538	1.39178947360121e-15	TRUE
