ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0016358	dendrite development	42/846	323/18124	1.8430699201441e-09	9.03472874854639e-06	8.31321537664997e-06	Actr2/App/Arid1b/Asap1/Bmp5/Cacna1a/Camk1d/Camk2a/Caprin2/Chrna7/Ctnnd2/D130043K22Rik/Dgkg/Dnm3/Dpysl5/Farp1/Fyn/Hecw1/Hecw2/Klf7/Map2/Mapk8/Mark1/Mef2a/Myo6/Ngef/Nlgn1/Ntrk2/Pak3/Ppfia2/Ppp1r9a/Prickle1/Prkg1/Pten/Ptprz1/Rapgef2/Reln/Rock2/Spire1/Srgap2/Strn/Tiam1	42
GO:0106027	neuron projection organization	20/846	118/18124	5.17793182599979e-07	0.0010161882260089	0.00093503544169901	Abcd2/Actr2/Adcy10/App/Caprin2/Chrna7/Ctnnd2/Dnm3/Fyn/Insr/Ngef/Nlgn1/Pak3/Pls1/Ppfia2/Ppp1r9a/Pten/Reln/Tanc1/Tiam1	20
GO:0099173	postsynapse organization	31/846	251/18124	7.68937308462106e-07	0.0010161882260089	0.00093503544169901	Actr2/App/Arhgef7/Asap1/Caprin2/Cdh2/Chrna7/Ctnnd2/Dnm3/Dock7/Farp1/Fyn/Glrb/Gphn/Grid2/Il1rap/Insr/Iqsec3/Ngef/Nlgn1/Pak3/Ppfia2/Ppp1r9a/Pten/Reln/Rock2/Sh3gl2/Sorbs1/Sorbs2/Tanc1/Tiam1	31
GO:0048813	dendrite morphogenesis	26/846	190/18124	8.47940090380337e-07	0.0010161882260089	0.00093503544169901	Actr2/Cacna1a/Camk2a/Caprin2/Chrna7/Ctnnd2/Dnm3/Dpysl5/Farp1/Fyn/Hecw1/Hecw2/Klf7/Mapk8/Mef2a/Ngef/Nlgn1/Pak3/Ppfia2/Ppp1r9a/Pten/Ptprz1/Rapgef2/Reln/Rock2/Tiam1	26
GO:0006470	protein dephosphorylation	29/846	229/18124	1.03650369849949e-06	0.0010161882260089	0.00093503544169901	Btrc/Cdc14a/Cry2/Cttnbp2nl/Epm2a/Fbxw11/Mgat5/Phlpp1/Ppm1h/Ppp1r12a/Ppp2r2a/Ppp2r5a/Ppp2r5c/Ppp2r5e/Ppp3cc/Ppp4r4/Pten/Ptpn2/Ptpn3/Ptpn4/Ptprc/Ptprh/Ptprn2/Ptprz1/Rcan1/Rngtt/Rock1/Rock2/Slc39a10	29
GO:0043087	regulation of GTPase activity	37/846	340/18124	1.58110400121157e-06	0.00129176196898985	0.00118860186757747	Agap3/Arhgap12/Arhgef26/Arhgef7/Asap1/Chn1/Dennd1a/Dennd1b/Dock7/Fermt2/Iqsec3/Map4k4/Ngef/Ntrk2/Plxnb3/Plxnc1/Prkg1/Ptprn2/Rab3gap2/Ralgps2/Rapgef2/Rapgef5/Rgl1/Rgma/Rgs7/Rictor/Ripor1/Ripor2/Rsu1/Srgap2/Tbc1d14/Tbc1d15/Tbc1d2/Tbc1d2b/Tbck/Tiam1/Wdr41	37
GO:0099504	synaptic vesicle cycle	28/846	227/18124	2.67548231630673e-06	0.00187360204493365	0.00172397619930441	Ap3b2/Atp6v0d1/Cacna1a/Cacnb4/Camk2a/Cdh2/Dennd1a/Dnm2/Dnm3/Erc2/Fcho2/Nlgn1/Pclo/Pld1/Ppfia2/Ppp3cc/Pten/Rims1/Rock1/Sh3gl2/Stxbp5/Stxbp5l/Sv2b/Sv2c/Syn3/Trim9/Unc13a/Unc13c	28
GO:0007269	neurotransmitter secretion	23/846	173/18124	5.88894250786815e-06	0.00320751068595218	0.00295135890599006	Cacna1a/Cacnb4/Camk2a/Erc2/Gpr158/Ica1/Lin7a/Mctp1/Nlgn1/Ntrk2/Pclo/Ppfia2/Ppp1r9a/Ptprn2/Rims1/Stxbp5/Stxbp5l/Sv2b/Sv2c/Syn3/Trim9/Unc13a/Unc13c	23
GO:0099643	signal release from synapse	23/846	173/18124	5.88894250786815e-06	0.00320751068595218	0.00295135890599006	Cacna1a/Cacnb4/Camk2a/Erc2/Gpr158/Ica1/Lin7a/Mctp1/Nlgn1/Ntrk2/Pclo/Ppfia2/Ppp1r9a/Ptprn2/Rims1/Stxbp5/Stxbp5l/Sv2b/Sv2c/Syn3/Trim9/Unc13a/Unc13c	23
GO:0050807	regulation of synapse organization	33/846	308/18124	7.995294751752e-06	0.00391929348730883	0.00360629873802709	Actr2/App/Asap1/Caprin2/Cdh2/Chrna7/Cntnap4/Dnm3/Farp1/Fyn/Gpm6a/Gpr158/Grid2/Il1rap/Lrrn3/Mycbp2/Ngef/Nlgn1/Nrg2/Ntrk2/Pak3/Pik3r1/Plxnc1/Ppfia2/Ppp1r9a/Pten/Ptk2/Reln/Rock1/Rock2/Septin11/Tanc1/Tiam1	33
GO:0097061	dendritic spine organization	17/846	108/18124	1.02298147430035e-05	0.00455877744274574	0.00419471350945168	Actr2/App/Caprin2/Chrna7/Ctnnd2/Dnm3/Fyn/Insr/Ngef/Nlgn1/Pak3/Ppfia2/Ppp1r9a/Pten/Reln/Tanc1/Tiam1	17
