state_kind	gene_set	state	count	n_set	percentage
Promoter state	All tested genes	Active_Promoter	6190	21097	29.340664549462
Promoter state	All tested genes	Bivalent_Promoter	286	21097	1.35564298241456
Promoter state	All tested genes	Repressed_Promoter	2775	21097	13.1535289377637
Promoter state	All tested genes	Unmarked_Promoter	11846	21097	56.1501635303598
Promoter state	Significant mCH	Active_Promoter	2245	5557	40.3994961310059
Promoter state	Significant mCH	Bivalent_Promoter	122	5557	2.19542918841101
Promoter state	Significant mCH	Repressed_Promoter	906	5557	16.3037610221342
Promoter state	Significant mCH	Unmarked_Promoter	2284	5557	41.1013136584488
Promoter state	Hypermethylated	Active_Promoter	234	642	36.4485981308411
Promoter state	Hypermethylated	Bivalent_Promoter	31	642	4.82866043613707
Promoter state	Hypermethylated	Repressed_Promoter	90	642	14.018691588785
Promoter state	Hypermethylated	Unmarked_Promoter	287	642	44.7040498442368
Promoter state	Hypomethylated	Active_Promoter	2011	4915	40.9155645981689
Promoter state	Hypomethylated	Bivalent_Promoter	91	4915	1.85147507629705
Promoter state	Hypomethylated	Repressed_Promoter	816	4915	16.6022380467955
Promoter state	Hypomethylated	Unmarked_Promoter	1997	4915	40.6307222787386
Gene-body state	All tested genes	Active	6566	21097	31.1229084703986
Gene-body state	All tested genes	Mixed	520	21097	2.46480542257193
Gene-body state	All tested genes	Polycomb	3324	21097	15.7557946627483
Gene-body state	All tested genes	Enhancer_Marked	5477	21097	25.9610371142817
Gene-body state	All tested genes	Unmarked	5210	21097	24.6954543299995
Gene-body state	Significant mCH	Active	2378	5557	42.7928738527983
Gene-body state	Significant mCH	Mixed	291	5557	5.23663847399676
Gene-body state	Significant mCH	Polycomb	1130	5557	20.3347129746266
Gene-body state	Significant mCH	Enhancer_Marked	1338	5557	24.0777397876552
Gene-body state	Significant mCH	Unmarked	420	5557	7.55803491092316
Gene-body state	Hypermethylated	Active	367	642	57.1651090342679
Gene-body state	Hypermethylated	Mixed	65	642	10.1246105919003
Gene-body state	Hypermethylated	Polycomb	84	642	13.0841121495327
Gene-body state	Hypermethylated	Enhancer_Marked	108	642	16.8224299065421
Gene-body state	Hypermethylated	Unmarked	18	642	2.80373831775701
Gene-body state	Hypomethylated	Active	2011	4915	40.9155645981689
Gene-body state	Hypomethylated	Mixed	226	4915	4.59816887080366
Gene-body state	Hypomethylated	Polycomb	1046	4915	21.2817904374364
Gene-body state	Hypomethylated	Enhancer_Marked	1230	4915	25.0254323499491
Gene-body state	Hypomethylated	Unmarked	402	4915	8.17904374364191
