set_a	set_b	n_compared	n_a	n_b	n_intersection	n_union	jaccard
Polycomb body state	Polycomb or Mixed body	21072	3322	3841	3322	3841	0.864878937776621
Polycomb body state	Repressed/Bivalent promoter	21072	3322	3060	2703	3679	0.734710519162816
Polycomb body state	H3K27me3 body overlap	21072	3322	3841	3322	3841	0.864878937776621
Polycomb body state	K119ub top 10%	18543	3179	1855	1013	4021	0.251927381248446
Polycomb or Mixed body	Repressed/Bivalent promoter	21072	3841	3060	3000	3901	0.769033581133043
Polycomb or Mixed body	H3K27me3 body overlap	21072	3841	3841	3841	3841	1
Polycomb or Mixed body	K119ub top 10%	18543	3672	1855	1120	4407	0.254141139096891
Repressed/Bivalent promoter	H3K27me3 body overlap	21072	3060	3841	3000	3901	0.769033581133043
Repressed/Bivalent promoter	K119ub top 10%	18543	2944	1855	1018	3781	0.269240941549855
H3K27me3 body overlap	K119ub top 10%	18543	3672	1855	1120	4407	0.254141139096891
