measure	group_1	group_2	n_group_1	n_group_2	median_group_1	median_group_2	median_difference	p_adjusted
mch_ctrl	A.2	A.1	3083	10933	0.0165658818233111	0.0167521197367864	-0.000186237913475298	0.08726963513542
mch_ctrl	B.1	A.1	1926	10933	0.0164512292854313	0.0167521197367864	-0.000300890451355097	0.0104195468015315
mch_ctrl	B.2	A.1	4163	10933	0.0130510677062052	0.0167521197367864	-0.0037010520305812	0
mch_ctrl	B.1	A.2	1926	3083	0.0164512292854313	0.0165658818233111	-0.0001146525378798	0.307513420293134
mch_ctrl	B.2	A.2	4163	3083	0.0130510677062052	0.0165658818233111	-0.0035148141171059	6.2570076984686e-280
mch_ctrl	B.2	B.1	4163	1926	0.0130510677062052	0.0164512292854313	-0.0034001615792261	4.95571075286165e-200
mch_diff	A.2	A.1	3083	10933	0.000113188065399283	7.49810378042337e-05	3.82070275950493e-05	0.157914557117617
mch_diff	B.1	A.1	1926	10933	0.000249383477816675	7.49810378042337e-05	0.000174402440012442	0.00156405371103669
mch_diff	B.2	A.1	4163	10933	0.000789848046901227	7.49810378042337e-05	0.000714867009096993	2.30060406434164e-71
mch_diff	B.1	A.2	1926	3083	0.000249383477816675	0.000113188065399283	0.000136195412417392	0.000179964159077923
mch_diff	B.2	A.2	4163	3083	0.000789848046901227	0.000113188065399283	0.000676659981501944	4.85926414293144e-56
mch_diff	B.2	B.1	4163	1926	0.000789848046901227	0.000249383477816675	0.000540464569084552	1.27836325279457e-20
