gene_set	group	n_genes	n_hyper	n_hypo	n_sig	pct_hyper	pct_hypo	pct_sig
Polycomb body state	Non-Polycomb	17750	557	3866	4423	3.13802816901408	21.7802816901408	24.9183098591549
Polycomb body state	Polycomb	3322	84	1044	1128	2.52859723058399	31.426851294401	33.955448524985
Polycomb or Mixed body	Non-Polycomb	17231	492	3640	4132	2.85531890197899	21.124717079682	23.980035981661
Polycomb or Mixed body	Polycomb	3841	149	1270	1419	3.87919812548815	33.0643061702682	36.9435042957563
Repressed/Bivalent promoter	Non-Polycomb	18012	520	4004	4524	2.88696424605818	22.229624694648	25.1165889407062
Repressed/Bivalent promoter	Polycomb	3060	121	906	1027	3.95424836601307	29.6078431372549	33.562091503268
H3K27me3 body overlap	Non-Polycomb	17231	492	3640	4132	2.85531890197899	21.124717079682	23.980035981661
H3K27me3 body overlap	Polycomb	3841	149	1270	1419	3.87919812548815	33.0643061702682	36.9435042957563
K119ub top 10%	Non-Polycomb	16688	533	4271	4804	3.19391179290508	25.5932406519655	28.7871524448706
K119ub top 10%	Polycomb	1855	70	415	485	3.77358490566038	22.3719676549865	26.1455525606469
