promoter_state	body_state	n_genes	n_sig	n_hyper	n_hypo	median_mch_diff	pct_of_tested	pct_sig
Active_Promoter	Active	4647	1778	209	1569	0.000240663981364474	22.0268284590226	38.2612438132128
Active_Promoter	Mixed	110	75	9	66	-0.000344748870411457	0.521401147082524	68.1818181818182
Active_Promoter	Polycomb	51	33	2	31	-0.000559524187962741	0.24174053182917	64.7058823529412
Active_Promoter	Enhancer_Marked	1323	351	14	337	0.000287739686424197	6.27103379627435	26.530612244898
Active_Promoter	Unmarked	59	8	0	8	0.000436966983693868	0.279660615253354	13.5593220338983
Bivalent_Promoter	Active	12	2	0	2	0.000997956867936164	0.0568801251362753	16.6666666666667
Bivalent_Promoter	Mixed	122	49	18	31	0.00026828117082814	0.578281272218799	40.1639344262295
Bivalent_Promoter	Polycomb	149	69	13	56	-0.000170793893427244	0.706261553775418	46.3087248322148
Bivalent_Promoter	Enhancer_Marked	3	2	0	2	-0.000734675791249546	0.0142200312840688	66.6666666666667
Bivalent_Promoter	Unmarked	0	0	0	0	NA	0	NA
Repressed_Promoter	Active	6	3	0	3	-0.00100346893996848	0.0284400625681377	50
Repressed_Promoter	Mixed	175	104	27	77	7.86153441738081e-05	0.829501824904015	59.4285714285714
Repressed_Promoter	Polycomb	2555	795	63	732	-0.00013513286187548	12.1107266435986	31.1154598825832
Repressed_Promoter	Enhancer_Marked	22	2	0	2	0.000259516900301496	0.104280229416505	9.09090909090909
Repressed_Promoter	Unmarked	17	2	0	2	-0.000681452380795752	0.08058017727639	11.7647058823529
Unmarked_Promoter	Active	1901	595	158	437	0.000537046388440697	9.01075982367161	31.2993161493951
Unmarked_Promoter	Mixed	113	63	11	52	0.000182146928410586	0.535621178366592	55.7522123893805
Unmarked_Promoter	Polycomb	569	233	6	227	-0.000368365340098561	2.69706593354505	40.9490333919156
Unmarked_Promoter	Enhancer_Marked	4129	983	94	889	0.000191149106473819	19.5715030573067	23.8072172438847
Unmarked_Promoter	Unmarked	5134	410	18	392	0.000601305465133904	24.3352135374698	7.98597584729256
