gene_set	gene_subset	polycomb_n	polycomb_median	polycomb_mean	polycomb_iqr	non_polycomb_n	non_polycomb_median	non_polycomb_mean	non_polycomb_iqr	wilcox_W	wilcox_p	wilcox_q
Polycomb body state	All tested genes	3322	0.00144629244160478	0.00227196990108946	0.0023367431415925	17750	0.0012658719609298	0.00202634875452036	0.00193597590514278	31491307	4.32458465204738e-10	5.89716088915552e-10
Polycomb body state	Hypermethylated (significant)	271	0.000563939596089733	0.00194408179061279	0.00337820559019838	1128	0.00110066969007753	0.0048480867609281	0.00737623023317153	119272	1.89222230385394e-08	2.36527787981743e-08
Polycomb body state	Hypomethylated (significant)	857	0.0022096359026936	0.00334106507488221	0.00343780305244635	3295	0.00120603684045139	0.00187589373244947	0.00169192591238231	1804601	3.4335215335729e-36	8.58380383393226e-36
Polycomb or Mixed body	All tested genes	3841	0.00148095353489718	0.0023638242113338	0.0024126458022267	17231	0.00125430975698261	0.00199847516733924	0.00190501638529889	35937950	6.97215734032047e-17	1.04582360104807e-16
Polycomb or Mixed body	Hypermethylated (significant)	370	0.000719272835048655	0.00265749372935916	0.00385132834422668	1029	0.000895340234321	0.00487095758184653	0.00759058138388444	167031	0.000463434074970415	0.000496536508896874
Polycomb or Mixed body	Hypomethylated (significant)	1049	0.00224565477320379	0.00339827470134482	0.00349203031107925	3103	0.00116934919591189	0.00176589508729757	0.00161738962163685	2123121	2.43083915571198e-49	9.11564683391991e-49
Repressed/Bivalent promoter	All tested genes	3060	0.00153296583508347	0.00241328981325182	0.00249423215116152	18012	0.00125366616615253	0.00200591314543665	0.00191285840694059	30453970	1.31069244709349e-20	2.4575483383003e-20
Repressed/Bivalent promoter	Hypermethylated (significant)	279	0.000756660876923089	0.00276944138892692	0.00417082544294178	1120	0.000795562864853205	0.00466322668220746	0.00721396057736005	142915	0.0273268140319655	0.0273268140319655
Repressed/Bivalent promoter	Hypomethylated (significant)	748	0.00231818383717968	0.00347049773828545	0.00359089240572832	3404	0.00120944373308811	0.00189436848100986	0.00171047338211865	1661533	3.99511131631288e-39	1.19853339489386e-38
H3K27me3 body overlap	All tested genes	3841	0.00148095353489718	0.0023638242113338	0.0024126458022267	17231	0.00125430975698261	0.00199847516733924	0.00190501638529889	35937950	6.97215734032047e-17	1.04582360104807e-16
H3K27me3 body overlap	Hypermethylated (significant)	370	0.000719272835048655	0.00265749372935916	0.00385132834422668	1029	0.000895340234321	0.00487095758184653	0.00759058138388444	167031	0.000463434074970415	0.000496536508896874
H3K27me3 body overlap	Hypomethylated (significant)	1049	0.00224565477320379	0.00339827470134482	0.00349203031107925	3103	0.00116934919591189	0.00176589508729757	0.00161738962163685	2123121	2.43083915571198e-49	9.11564683391991e-49
K119ub top 10%	All tested genes	1855	0.00292156202076374	0.00401387855567973	0.00423997811263385	16688	0.00116653341779775	0.00181010671403907	0.00172504557645888	22233110	1.93364926917509e-209	2.90047390376264e-208
K119ub top 10%	Hypermethylated (significant)	74	0.00918868220633259	0.0109448169238484	0.00884030595482191	1254	0.000665150086513534	0.00378361721968598	0.0058834911265411	77557	2.49213450113804e-22	5.34028821672437e-22
K119ub top 10%	Hypomethylated (significant)	411	0.00523076828396885	0.0061968063742753	0.00482016376414022	3550	0.00116889608156608	0.0016960036220771	0.00163306219908743	1296836	2.59346304244359e-147	1.94509728183269e-146
