method	method_key	group1	group2	n1	n2	median1	median2	median_difference	W	p_value	p_adjusted
GREAT domain	great	Gained anchor	Lost anchor	1589	1079	0.000134882206867833	0.000306760096328467	-0.000171877889460634	787190	0.000332651117771257	0.00199590670662754
GREAT domain	great	Gained anchor	Both anchors	1589	249	0.000134882206867833	0.000574492815498758	-0.000439610608630925	177618	0.00944100573677723	0.0188820114735545
GREAT domain	great	Gained anchor	No anchor	1589	15731	0.000134882206867833	0.000226429927955005	-9.1547721087172e-05	12233323	0.163051119172679	0.195661343007215
GREAT domain	great	Lost anchor	Both anchors	1079	249	0.000306760096328467	0.000574492815498758	-0.000267732719170291	131940	0.660618514784078	0.660618514784078
GREAT domain	great	Lost anchor	No anchor	1079	15731	0.000306760096328467	0.000226429927955005	8.0330168373462e-05	9009468	0.000701540386881182	0.00210462116064355
GREAT domain	great	Both anchors	No anchor	249	15731	0.000574492815498758	0.000226429927955005	0.000348062887543753	2117475	0.0277387937028766	0.041608190554315
Direct overlap	direct	Gained anchor	Lost anchor	1025	765	0.000205781935452952	0.000468205813936855	-0.000262423878483903	348774	6.29547487241708e-05	0.000188864246172513
Direct overlap	direct	Gained anchor	Both anchors	1025	145	0.000205781935452952	0.000720878922093571	-0.000515096986640619	63467	0.00440349967431892	0.00734364400551008
Direct overlap	direct	Gained anchor	No anchor	1025	19137	0.000205781935452952	0.000264278728566249	-5.8496793113297e-05	9676030	0.468244524273715	0.468244524273715
Direct overlap	direct	Lost anchor	Both anchors	765	145	0.000468205813936855	0.000720878922093571	-0.000252673108156716	53348	0.466315633836037	0.468244524273715
Direct overlap	direct	Lost anchor	No anchor	765	19137	0.000468205813936855	0.000264278728566249	0.000203927085370606	8022926	6.43320818168968e-06	3.85992490901381e-05
Direct overlap	direct	Both anchors	No anchor	145	19137	0.000720878922093571	0.000264278728566249	0.000456600193527322	1575327	0.00489576267034005	0.00734364400551008
