region_class	peak_set	n_regions	n_merged_regions	covered_mb	n_peaks	peaks_per_mb
Gained anchor	All MeCP2 peaks	2908	2279	34.905	1353	38.7623549634723
Gained anchor	MeCP2 gained	2908	2279	34.905	200	5.72983813207277
Gained anchor	MeCP2 lost	2908	2279	34.905	26	0.74487895716946
Lost anchor	All MeCP2 peaks	1859	1469	25.125	1291	51.3830845771144
Lost anchor	MeCP2 gained	1859	1469	25.125	555	22.089552238806
Lost anchor	MeCP2 lost	1859	1469	25.125	17	0.676616915422886
Mixed anchor	All MeCP2 peaks	86	81	1.375	82	59.6363636363636
Mixed anchor	MeCP2 gained	86	81	1.375	13	9.45454545454546
Mixed anchor	MeCP2 lost	86	81	1.375	1	0.727272727272727
Matched background	All MeCP2 peaks	4637	3546	57.28	952	16.6201117318436
Matched background	MeCP2 gained	4637	3546	57.28	157	2.7409217877095
Matched background	MeCP2 lost	4637	3546	57.28	27	0.471368715083799
