loop_class	category	resolution_kb	n_loops	median_logFC	median_loop_distance
Gained	moderate_differential	5	51	0.549519963760996	220000
Gained	moderate_differential	10	187	0.57968924723187	320000
Gained	moderate_differential	25	82	0.587007303701716	7e+05
Gained	strong_differential	5	1	1.07931142740985	225000
Gained	strong_differential	10	8	1.12560226804369	775000
Gained	strong_differential	25	1	1.06714096839237	775000
Gained	weak_differential	5	273	0.366957801985663	135000
Gained	weak_differential	10	627	0.368229241039281	270000
Gained	weak_differential	25	493	0.356235907226696	475000
Lost	moderate_differential	5	26	-0.578458801760867	332500
Lost	moderate_differential	10	90	-0.60944914302869	885000
Lost	moderate_differential	25	107	-0.61593548355768	3e+06
Lost	strong_differential	10	5	-1.08587365750228	2950000
Lost	strong_differential	25	12	-1.14088623060467	34150000
Lost	weak_differential	5	158	-0.369018392775806	122500
Lost	weak_differential	10	418	-0.365852260438389	4e+05
Lost	weak_differential	25	371	-0.354948705328309	1100000
