anchor_id	chr	start	end	width	anchor_class	n_loops	n_gained_loops	n_lost_loops	mean_loop_logfc	n_mecp2_peaks	n_mecp2_gained	n_mecp2_lost
chr10:100620001-100630000	chr10	100620001	100630000	10000	Lost anchor	1	0	1	-0.386921155820101	0	0	0
chr10:102440001-102450000	chr10	102440001	102450000	10000	Lost anchor	1	0	1	-0.386921155820101	0	0	0
chr10:103025001-103050000	chr10	103025001	103050000	25000	Lost anchor	1	0	1	-0.713538358974658	0	0	0
chr10:104960001-104970000	chr10	104960001	104970000	10000	Gained anchor	1	1	0	0.503813035789609	0	0	0
chr10:105300001-105310000	chr10	105300001	105310000	10000	Lost anchor	1	0	1	-0.325476237329315	0	0	0
chr10:105570001-105580000	chr10	105570001	105580000	10000	Mixed anchor	2	1	1	0.089168399230147	2	2	0
chr10:106600001-106625000	chr10	106600001	106625000	25000	Lost anchor	1	0	1	-0.37989497976594	0	0	0
chr10:107440001-107450000	chr10	107440001	107450000	10000	Gained anchor	1	1	0	0.534651627628684	0	0	0
chr10:107700001-107725000	chr10	107700001	107725000	25000	Lost anchor	1	0	1	-0.37989497976594	0	0	0
chr10:107740001-107750000	chr10	107740001	107750000	10000	Gained anchor	1	1	0	0.534651627628684	0	0	0
chr10:107775001-107800000	chr10	107775001	107800000	25000	Gained anchor	1	1	0	0.328299236278342	0	0	0
chr10:107790001-107800000	chr10	107790001	107800000	10000	Gained anchor	1	1	0	0.334490170582395	0	0	0
chr10:107800001-107825000	chr10	107800001	107825000	25000	Gained anchor	1	1	0	0.372761883786238	0	0	0
chr10:107850001-107875000	chr10	107850001	107875000	25000	Gained anchor	1	1	0	0.412855474238405	0	0	0
chr10:108275001-108300000	chr10	108275001	108300000	25000	Lost anchor	1	0	1	-0.803029541121367	0	0	0
chr10:108300001-108325000	chr10	108300001	108325000	25000	Lost anchor	1	0	1	-0.844265986118768	0	0	0
chr10:108425001-108450000	chr10	108425001	108450000	25000	Gained anchor	3	3	0	0.371305531434328	0	0	0
chr10:108440001-108450000	chr10	108440001	108450000	10000	Gained anchor	1	1	0	0.334490170582395	0	0	0
chr10:108450001-108475000	chr10	108450001	108475000	25000	Lost anchor	2	0	2	-0.704838088994047	1	0	1
chr10:108725001-108750000	chr10	108725001	108750000	25000	Gained anchor	2	2	0	0.503988301466688	2	1	0
chr10:108730001-108740000	chr10	108730001	108740000	10000	Mixed anchor	2	1	1	-0.043185849238602	1	0	0
chr10:109000001-109010000	chr10	109000001	109010000	10000	Lost anchor	3	0	3	-0.367659618607552	1	1	0
chr10:109010001-109020000	chr10	109010001	109020000	10000	Lost anchor	1	0	1	-0.304971175567785	1	0	0
chr10:109475001-109500000	chr10	109475001	109500000	25000	Mixed anchor	2	1	1	-0.16887067784543	1	0	0
chr10:109490001-109500000	chr10	109490001	109500000	10000	Gained anchor	1	1	0	0.349876600410826	1	0	0
chr10:109680001-109690000	chr10	109680001	109690000	10000	Lost anchor	1	0	1	-0.304971175567785	4	4	0
chr10:109710001-109720000	chr10	109710001	109720000	10000	Lost anchor	1	0	1	-0.301580848502978	4	3	0
chr10:109740001-109750000	chr10	109740001	109750000	10000	Lost anchor	1	0	1	-0.365149708431649	4	2	0
chr10:109850001-109875000	chr10	109850001	109875000	25000	Mixed anchor	4	1	3	-0.427813436650998	0	0	0
chr10:113020001-113030000	chr10	113020001	113030000	10000	Lost anchor	1	0	1	-0.346228997302566	0	0	0
chr10:11450001-11475000	chr10	11450001	11475000	25000	Gained anchor	1	1	0	0.314830025938271	0	0	0
chr10:115140001-115150000	chr10	115140001	115150000	10000	Lost anchor	1	0	1	-0.346228997302566	1	0	0
chr10:115520001-115530000	chr10	115520001	115530000	10000	Gained anchor	1	1	0	0.314063395294494	0	0	0
chr10:115610001-115620000	chr10	115610001	115620000	10000	Gained anchor	1	1	0	0.314063395294494	0	0	0
chr10:11825001-11850000	chr10	11825001	11850000	25000	Gained anchor	1	1	0	0.381283509487173	0	0	0
chr10:118575001-118600000	chr10	118575001	118600000	25000	Gained anchor	2	2	0	0.332763790607401	2	0	0
chr10:118590001-118600000	chr10	118590001	118600000	10000	Gained anchor	1	1	0	0.400972912828945	2	0	0
chr10:118850001-118875000	chr10	118850001	118875000	25000	Gained anchor	1	1	0	0.34610467816187	2	0	0
chr10:119070001-119080000	chr10	119070001	119080000	10000	Gained anchor	1	1	0	0.400972912828945	0	0	0
chr10:119075001-119100000	chr10	119075001	119100000	25000	Gained anchor	1	1	0	0.319422903052932	0	0	0
chr10:12000001-12010000	chr10	12000001	12010000	10000	Gained anchor	1	1	0	0.308469150801044	0	0	0
chr10:120930001-120940000	chr10	120930001	120940000	10000	Gained anchor	1	1	0	0.548072021401656	0	0	0
chr10:120975001-120980000	chr10	120975001	120980000	5000	Gained anchor	1	1	0	0.327452158113513	0	0	0
chr10:121025001-121050000	chr10	121025001	121050000	25000	Gained anchor	1	1	0	0.305528204466229	1	0	0
chr10:121030001-121035000	chr10	121030001	121035000	5000	Gained anchor	1	1	0	0.327452158113513	0	0	0
chr10:121250001-121260000	chr10	121250001	121260000	10000	Gained anchor	1	1	0	0.548072021401656	0	0	0
chr10:121250001-121275000	chr10	121250001	121275000	25000	Gained anchor	1	1	0	0.305528204466229	1	0	0
chr10:121630001-121640000	chr10	121630001	121640000	10000	Gained anchor	1	1	0	0.342057897032853	0	0	0
