anchor_id	loop_id	anchor_number	chr	start	end	anchor_type	anchor_distance_to_tss	loop_class	loop_direction	loop_logFC	loop_fdr	loop_category	loop_resolution_kb	loop_distance	loop_type	H3K27ac_overlap	H3K27me3_overlap	H3K4me1_overlap	H3K4me3_overlap	Bivalent_Promoter_overlap
loop_32_A1	loop_32	1	chr8	11635000	11640000	Active_Promoter	0	Gained	up_in_mutant	0.507964758182221	0.0010800226715267	moderate_differential	5	60000	Active_Promoter-Other	TRUE	FALSE	TRUE	TRUE	FALSE
loop_8162_A1	loop_8162	1	chr14	105660000	105670000	Active_Enhancer	36229	Lost	down_in_mutant	-0.399584538766962	0.0006576630843075	weak_differential	10	230000	Active_Promoter-Active_Enhancer	TRUE	FALSE	TRUE	FALSE	FALSE
loop_1329_A1	loop_1329	1	chr9	60590000	60600000	Active_Enhancer	44117	Lost	down_in_mutant	-0.385575955751452	1.86261900083425e-05	weak_differential	10	90000	Active_Enhancer-Other	TRUE	FALSE	TRUE	FALSE	FALSE
loop_122_A1	loop_122	1	chr9	66735000	66740000	Poised_Enhancer	21313	Lost	down_in_mutant	-0.309987134535429	0.0170995086700478	weak_differential	5	55000	Active_Promoter-Poised_Enhancer	FALSE	FALSE	TRUE	FALSE	FALSE
loop_139_A1	loop_139	1	chr9	59720000	59725000	Poised_Enhancer	25709	Lost	down_in_mutant	-0.530963634931943	0.0037576297724676	moderate_differential	5	265000	Poised_Enhancer-Other	FALSE	FALSE	TRUE	FALSE	FALSE
loop_9622_A1	loop_9622	1	chr11	71750000	71760000	Active_Promoter	79	Lost	down_in_mutant	-0.327231693131887	0.0017252091709439	weak_differential	10	180000	Active_Promoter-Other	TRUE	FALSE	TRUE	TRUE	FALSE
loop_216_A1	loop_216	1	chr11	17765000	17770000	Poised_Enhancer	183874	Lost	down_in_mutant	-0.585277781779022	0.0205871830132063	moderate_differential	5	985000	Active_Enhancer-Poised_Enhancer	FALSE	FALSE	TRUE	FALSE	FALSE
loop_291_A1	loop_291	1	chr13	84400000	84425000	Active_Enhancer	177703	Lost	down_in_mutant	-0.309596343189563	0.0004684422489338	weak_differential	25	350000	Active_Enhancer-Active_Enhancer	TRUE	FALSE	TRUE	FALSE	FALSE
loop_251_A1	loop_251	1	chr13	21775000	21780000	Active_Promoter	624	Lost	down_in_mutant	-0.438108404388366	0.0187774306217553	weak_differential	5	265000	Active_Promoter-Active_Promoter	TRUE	FALSE	TRUE	TRUE	FALSE
loop_10275_A1	loop_10275	1	chr13	38990000	3.9e+07	CTCF_Site	29124	Lost	down_in_mutant	-0.431575816057458	0.0034116165698337	weak_differential	10	1760000	Other-Other	FALSE	FALSE	FALSE	FALSE	FALSE
loop_294_A1	loop_294	1	chr12	56055000	56060000	Polycomb	193242	Gained	up_in_mutant	0.390539107725139	0.0116861621635594	weak_differential	5	485000	Polycomb-Polycomb	FALSE	TRUE	FALSE	FALSE	FALSE
loop_10883_A1	loop_10883	1	chr15	53340000	53350000	Active_Promoter	0	Lost	down_in_mutant	-0.315993423612167	0.0031180078591711	weak_differential	10	420000	Active_Promoter-Poised_Enhancer	TRUE	FALSE	TRUE	TRUE	FALSE
loop_318_A1	loop_318	1	chr15	29050000	29055000	Active_Enhancer	658403	Lost	down_in_mutant	-0.545875935910879	0.003581033848225	moderate_differential	5	170000	Active_Enhancer-Active_Enhancer	TRUE	FALSE	TRUE	FALSE	FALSE
loop_323_A1	loop_323	1	chr15	81520000	81525000	Active_Enhancer	53703	Gained	up_in_mutant	0.323950110606268	0.0130009109326563	weak_differential	5	60000	Active_Promoter-Active_Enhancer	TRUE	FALSE	FALSE	TRUE	FALSE
loop_1539_A1	loop_1539	1	chr15	42060000	42070000	Poised_Enhancer	190279	Lost	down_in_mutant	-0.824911416210738	3.02875082049036e-06	moderate_differential	10	610000	Active_Promoter-Poised_Enhancer	FALSE	FALSE	TRUE	FALSE	FALSE
loop_467_A1	loop_467	1	chr16	42900000	42925000	Active_Promoter	0	Lost	down_in_mutant	-0.389209429688525	5.68864062262666e-05	weak_differential	25	6e+05	Active_Promoter-Active_Enhancer	TRUE	FALSE	TRUE	TRUE	FALSE
loop_413_A1	loop_413	1	chr17	48415000	48420000	Poised_Enhancer	4985	Lost	down_in_mutant	-0.393885611332712	0.0099136550477718	weak_differential	5	50000	Poised_Enhancer-Poised_Enhancer	FALSE	FALSE	TRUE	FALSE	FALSE
loop_467_A1	loop_467	1	chr1	91345000	91350000	Repressed_Promoter	1015	Gained	up_in_mutant	0.472685798771331	0.0034223313618301	weak_differential	5	135000	Repressed_Promoter-Other	FALSE	TRUE	TRUE	FALSE	FALSE
loop_13236_A1	loop_13236	1	chr18	49750000	49760000	CTCF_Site	0	Lost	down_in_mutant	-0.341616610525246	0.0112145055738813	weak_differential	10	360000	Other-Other	TRUE	FALSE	TRUE	FALSE	FALSE
loop_13365_A1	loop_13365	1	chr19	17150000	17160000	Active_Enhancer	193881	Lost	down_in_mutant	-0.380561952610522	6.71156898012222e-05	weak_differential	10	60000	Active_Enhancer-Active_Enhancer	TRUE	FALSE	TRUE	FALSE	FALSE
loop_564_A1	loop_564	1	chr19	22450000	22455000	Active_Enhancer	295604	Lost	down_in_mutant	-0.608304515067549	0.0056090876456255	moderate_differential	5	185000	Active_Enhancer-Active_Enhancer	TRUE	FALSE	TRUE	TRUE	FALSE
loop_570_A1	loop_570	1	chr19	59740000	59745000	CTCF_Site	198653	Lost	down_in_mutant	-0.507246378783241	0.0124541925204314	moderate_differential	5	4e+05	Repressed_Promoter-Other	FALSE	FALSE	FALSE	FALSE	FALSE
loop_749_A1	loop_749	1	chr2	6870000	6880000	Active_Enhancer	547332	Lost	down_in_mutant	-0.394578570668128	0.0015326090365922	weak_differential	10	210000	Active_Enhancer-Active_Enhancer	TRUE	FALSE	TRUE	TRUE	FALSE
loop_15040_A1	loop_15040	1	chr3	123690000	123700000	Active_Promoter	0	Lost	down_in_mutant	-0.43863070613811	3.14224082486974e-05	weak_differential	10	140000	Active_Promoter-Active_Enhancer	TRUE	FALSE	TRUE	TRUE	FALSE
loop_720_A1	loop_720	1	chr3	86545000	86550000	Bivalent_Promoter	0	Lost	down_in_mutant	-0.483819620901568	0.0230187873892694	weak_differential	5	210000	Bivalent_Promoter-Poised_Enhancer	TRUE	TRUE	TRUE	TRUE	TRUE
loop_17841_A1	loop_17841	1	chr3	86325000	86350000	CTCF_Site	100319	Lost	down_in_mutant	-0.348629608286288	0.0009143091278898	weak_differential	25	650000	Repressed_Promoter-Other	FALSE	FALSE	FALSE	FALSE	FALSE
