method	method_key	term	estimate	std_error	z_value	p_value	odds_ratio	or_lower	or_upper
GREAT domain	great	(Intercept)	-4.94873477371611	0.0917426085750669	-53.9415093006309	0	0.00709237671615235	0.00592516358907871	0.00848952214189267
GREAT domain	great	anchor_classGained anchor	0.929803689703791	0.146019957245844	6.36764800676078	1.91948794694493e-10	2.53401167620437	1.90333922887568	3.37365776826507
GREAT domain	great	anchor_classLost anchor	0.902983431570808	0.14109673873411	6.39974700813205	1.55634611792966e-10	2.46695212592071	1.87093612145327	3.25283836353401
GREAT domain	great	anchor_classBoth anchors	1.07667406564615	0.299129718624901	3.59935505771751	0.000319007380100134	2.93490200893034	1.63295391158903	5.27488849556163
GREAT domain	great	k119ub_gb_log2fc	5.02498902937282	0.146606082554043	34.275447115371	1.82241290838204e-257	152.168586718679	114.1651846352	202.822593051901
Direct overlap	direct	(Intercept)	-5.05485805707864	0.0943296042797718	-53.5871860766685	0	0.00637827204864896	0.00530163145473715	0.00767355382468652
Direct overlap	direct	anchor_classGained anchor	1.54584563388225	0.150724257676483	10.256117082363	1.11084054931774e-24	4.69193761131788	3.49184942563096	6.30447532671642
Direct overlap	direct	anchor_classLost anchor	1.29919607206771	0.149675540897672	8.68008269270879	3.95481178151823e-18	3.66634800295204	2.73419593705281	4.9162927559755
Direct overlap	direct	anchor_classBoth anchors	1.93580672143331	0.292675577516745	6.61417238109851	3.73636149516954e-11	6.92963208381102	3.90466944423881	12.2980450721212
Direct overlap	direct	k119ub_gb_log2fc	5.09432890152221	0.149201128890235	34.1440372429757	1.63938936315209e-255	163.094355515787	121.7415143794	218.49382223235
