section	test_id	description	alist_set	blist_set	universe	row_var	col_var	n_genes	n_row_true	n_col_true	n_both_true	pct_overlap_in_row	pct_overlap_out_row	odds_ratio	ci_lower	ci_upper	p_value	q_value	sig_label
40_01	hyper_x_atac_up	Do mCH hypermethylated gene bodies overlap ATAC Up peaks more than other tested genes?	mCH Hyper gene bodies	ATAC Up	All tested genes	mch_hyper	ov_atac_up	21072	641	2713	190	29.6411856474259	12.3488816014879	2.99003202800773	2.49749791624915	3.56920480004089	5.99196786283917e-30	1.10620945160108e-29	***
40_01	hypo_x_atac_up	Do mCH hypomethylated gene bodies overlap ATAC Up peaks more than other tested genes?	mCH Hypo gene bodies	ATAC Up	All tested genes	mch_hypo	ov_atac_up	21072	4910	2713	1250	25.4582484725051	9.05209751268407	3.43115956952182	3.15264749084005	3.7340770155445	1.42308581072574e-174	4.87915135105967e-174	***
40_01	hyper_vs_hypo_x_atac_up	Among mCH-significant genes, do hypermethylated bodies overlap ATAC Up peaks more than hypomethylated bodies?	Significant genes	ATAC Up	mCH-significant genes	mch_hyper	ov_atac_up	5551	641	1440	190	29.6411856474259	25.4582484725051	1.23351833831062	1.02322485415667	1.48296842304345	0.024358162115481	0.0265725404896157	*
40_01	hyper_x_atac_down	Do mCH hypermethylated gene bodies overlap ATAC Down peaks more than other tested genes?	mCH Hyper gene bodies	ATAC Down	All tested genes	mch_hyper	ov_atac_down	21072	641	1288	243	37.9095163806552	5.11477656502374	11.323241686294	9.49754588751197	13.4802984392151	2.2969762425011e-131	5.0115845290933e-131	***
40_01	hypo_x_atac_down	Do mCH hypomethylated gene bodies overlap ATAC Down peaks more than other tested genes?	mCH Hypo gene bodies	ATAC Down	All tested genes	mch_hypo	ov_atac_down	21072	4910	1288	460	9.36863543788187	5.12312832570226	1.91438258661118	1.69611923480787	2.15870244896095	2.75890821208839e-25	4.13836231813258e-25	***
40_01	hyper_vs_hypo_x_atac_down	Among mCH-significant genes, do hypermethylated bodies overlap ATAC Down peaks more than hypomethylated bodies?	Significant genes	ATAC Down	mCH-significant genes	mch_hyper	ov_atac_down	5551	641	703	243	37.9095163806552	9.36863543788187	5.90344147579934	4.87703796304824	7.13954375228624	3.69480226821191e-70	7.38960453642382e-70	***
40_01	hyper_x_k119ub_gained	Do mCH hypermethylated gene bodies overlap K119ub Gained peaks more than other tested genes?	mCH Hyper gene bodies	K119ub Gained	All tested genes	mch_hyper	ov_k119ub_gained	21072	641	3816	508	79.2511700468019	16.1910821790417	19.7585898114767	16.2453798464033	24.1886453699743	8.47408002345542e-260	6.77926401876434e-259	***
40_01	hypo_x_k119ub_gained	Do mCH hypomethylated gene bodies overlap K119ub Gained peaks more than other tested genes?	mCH Hypo gene bodies	K119ub Gained	All tested genes	mch_hypo	ov_k119ub_gained	21072	4910	3816	1158	23.5845213849287	16.4459844078703	1.56798928760264	1.44906238591077	1.6961178843728	1.27660549523968e-28	2.18846656326802e-28	***
40_01	hyper_vs_hypo_x_k119ub_gained	Among mCH-significant genes, do hypermethylated bodies overlap K119ub Gained peaks more than hypomethylated bodies?	Significant genes	K119ub Gained	mCH-significant genes	mch_hyper	ov_k119ub_gained	5551	641	1666	508	79.2511700468019	23.5845213849287	12.3640718013979	10.0783400206081	15.2558886645795	5.27213947864951e-168	1.58164184359485e-167	***
40_01	hyper_x_k119ub_lost	Do mCH hypermethylated gene bodies overlap K119ub Lost peaks more than other tested genes?	mCH Hyper gene bodies	K119ub Lost	All tested genes	mch_hyper	ov_k119ub_lost	21072	641	2367	45	7.02028081123245	11.365082472713	0.588854674559252	0.423595825961194	0.800729049120251	0.000359253390758906	0.000410575303724464	***
40_01	hypo_x_k119ub_lost	Do mCH hypomethylated gene bodies overlap K119ub Lost peaks more than other tested genes?	mCH Hypo gene bodies	K119ub Lost	All tested genes	mch_hypo	ov_k119ub_lost	21072	4910	2367	1194	24.3177189409369	7.25776512807821	4.10550228236815	3.7550827484542	4.48895150728108	4.62052436675003e-208	2.21785169604001e-207	***
