sub_analysis	RS1	RS2	n_region_a	n_region_b	observed_overlaps	expected_overlaps	sd_permuted	z_score	norm_zscore	perm_p_value	perm_adj_p_value	observed_over_expected	contrast_against	n_query	n_query_with_target	pct_query_with_target	n_contrast	n_contrast_with_target	pct_contrast_with_target	fisher_or	fisher_ci_low	fisher_ci_high	fisher_p	concordance	test_id	perm_stars	fisher_stars
40_02a  ATAC x marks	ATAC Down	H3K4me1	3744	113652	3538	230.597	14.9132515574037	221.7761	3.62448929983495	0.0001999600079984	2e-04	15.3427841645815	ATAC Up	3744	3538	94.4978632478633	7618	5973	78.4064058808086	4.7294089344801	4.06406193203114	5.52634777439739	1.43146413577836e-122	Confirmed	ATAC Down x H3K4me1	***	***
40_02a  ATAC x marks	ATAC Down	H3K27ac	3744	15100	1506	69.3804	8.2393005197414	174.3618	2.84959686097808	0.0001999600079984	2e-04	21.7064185274227	ATAC Up	3744	1506	40.224358974359	7618	937	12.2998162247309	4.79729454439047	4.3599440105293	5.28004222107746	2.90473343087173e-241	Confirmed	ATAC Down x H3K27ac	***	***
40_02a  ATAC x marks	ATAC Down	CTCF	3744	32474	227	27.7852	5.22835806975968	38.1027	0.62271285519414	0.0001999600079984	2e-04	8.16981702489095	ATAC Up	3744	226	6.03632478632479	7618	1319	17.3142557101601	0.306822908279824	0.263643058292927	0.355791994693184	1.64441091260772e-68	Confirmed	ATAC Down x CTCF	***	***
40_02a  ATAC x marks	ATAC Down	H3K4me3	3744	6580	158	30.729	5.49294033088798	23.1699	0.378665936628184	0.0001999600079984	2e-04	5.14172280256435	ATAC Up	3744	158	4.22008547008547	7618	561	7.36413756891573	0.554274398882141	0.459464408379225	0.665608639683353	2.58639242049153e-11	Confirmed	ATAC Down x H3K4me3	***	***
40_02a  ATAC x marks	ATAC Down	Bivalent	3744	318	15	1.7092	1.29605991924095	10.2548	0.167594311884587	0.0001999600079984	2e-04	8.77603557219752	ATAC Up	3744	15	0.400641025641026	7618	192	2.5203465476503	0.15558436535239	0.0852828550945818	0.263619920959032	6.56098834503158e-19	Confirmed	ATAC Down x Bivalent	***	***
40_02a  ATAC x marks	ATAC Down	H3K27me3	3744	15794	39	87.2258	9.36196259492238	-5.1512	-0.0841861196103178	0.0001999600079984	2e-04	0.447115417686052	ATAC Up	3744	39	1.04166666666667	7618	1801	23.6413756891573	0.0340031531959841	0.0240394866842846	0.0467977380237976	1.43858069302919e-283	Confirmed	ATAC Down x H3K27me3	***	***
40_02a  ATAC x marks	ATAC Up	H3K4me1	7618	113652	5973	469.1492	21.17531152365	259.9183	2.9779429512517	0.0001999600079984	2e-04	12.7315574661536	ATAC Down	7618	5973	78.4064058808086	3744	3538	94.4978632478633	0.211442912603608	0.180951333651641	0.246059242384683	1.43146413577836e-122	Confirmed	ATAC Up x H3K4me1	***	***
40_02a  ATAC x marks	ATAC Up	CTCF	7618	32474	1326	56.6336	7.4393023654061	170.6298	1.95494434283191	0.0001999600079984	2e-04	23.4136625607413	ATAC Down	7618	1319	17.3142557101601	3744	226	6.03632478632479	3.25920905191341	2.81063097235323	3.79300713045487	1.64441091260772e-68	Confirmed	ATAC Up x CTCF	***	***
40_02a  ATAC x marks	ATAC Up	H3K27me3	7618	15794	1801	177.1668	13.1279490541849	123.6928	1.41717648153511	0.0001999600079984	2e-04	10.1655614934627	ATAC Down	7618	1801	23.6413756891573	3744	39	1.04166666666667	29.4090372806396	21.3685541701075	41.5982259992977	1.43858069302919e-283	Confirmed	ATAC Up x H3K27me3	***	***
40_02a  ATAC x marks	ATAC Up	Bivalent	7618	318	192	3.5102	1.86981154104894	100.8068	1.15496638558439	0.0001999600079984	2e-04	54.6977380206256	ATAC Down	7618	192	2.5203465476503	3744	15	0.400641025641026	6.42738104008752	3.79334003425107	11.7256862342491	6.56098834503158e-19	Confirmed	ATAC Up x Bivalent	***	***
40_02a  ATAC x marks	ATAC Up	H3K27ac	7618	15100	937	141.0666	11.7533736773132	67.7196	0.775878826083368	0.0001999600079984	2e-04	6.64225266647101	ATAC Down	7618	937	12.2998162247309	3744	1506	40.224358974359	0.208450823843892	0.189392424933287	0.229360743529044	2.90473343087173e-241	Confirmed	ATAC Up x H3K27ac	***	***
40_02a  ATAC x marks	ATAC Up	H3K4me3	7618	6580	561	62.567	7.92803139097893	62.8697	0.720312421104282	0.0001999600079984	2e-04	8.96638803202966	ATAC Down	7618	561	7.36413756891573	3744	158	4.22008547008547	1.80416054217333	1.5023843447641	2.176447145335	2.58639242049153e-11	Confirmed	ATAC Up x H3K4me3	***	***
40_02b  ATAC x body states	ATAC Down	Active	3744	6566	1662	645.259	25.4501446159387	39.9503	0.652908202800916	0.0001999600079984	2e-04	2.57570990873432	ATAC Up	3744	1608	42.9487179487179	7618	1684	22.1055395116829	2.65242200573467	2.43578784917177	2.88889214240576	8.63159256341543e-114	Confirmed	ATAC Down x Active	***	***
40_02b  ATAC x body states	ATAC Down	Mixed	3744	520	378	166.192	13.1256844666685	16.1369	0.263725538425947	0.0001999600079984	2e-04	2.27447771252527	ATAC Up	3744	376	10.042735042735	7618	704	9.24127067471777	1.0963967270361	0.958310397454443	1.25297832315898	0.173564944929373	Strengthened	ATAC Down x Mixed	***	ns
40_02b  ATAC x body states	ATAC Down	Polycomb	3744	3324	107	353.3866	17.9879808186129	-13.6973	-0.223855128152354	0.0001999600079984	2e-04	0.302784542481237	ATAC Up	3744	105	2.80448717948718	7618	1923	25.2428458913101	0.0854342579940135	0.0692198777036049	0.104560961961625	1.89828613666284e-239	Confirmed	ATAC Down x Polycomb	***	***
40_02b  ATAC x body states	ATAC Down	Unmarked	3744	5210	2	116.596	10.762227887841	-10.648	-0.174020383912615	0.0001999600079984	2e-04	0.0171532471096779	ATAC Up	3744	2	0.0534188034188034	7618	41	0.538199002362825	0.0987826294053123	0.0115569066744482	0.380683222552282	1.17343887042534e-05	Confirmed	ATAC Down x Unmarked	***	***
40_02b  ATAC x body states	ATAC Down	Enhancer_Marked	3744	5477	185	255.302	15.6578871462908	-4.4899	-0.0733784862630777	0.0001999600079984	2e-04	0.724632004449632	ATAC Up	3744	183	4.88782051282051	7618	461	6.05145707534786	0.797817448862556	0.665381471836446	0.953565873616371	0.0122485473338493	Confirmed	ATAC Down x Enhancer_Marked	***	*
40_02b  ATAC x body states	ATAC Up	Polycomb	7618	3324	1953	718.2108	25.8222640607721	47.8188	0.547870844020274	0.0001999600079984	2e-04	2.719257354526	ATAC Down	7618	1923	25.2428458913101	3744	105	2.80448717948718	11.7049064799049	9.56379877575157	14.4467172317458	1.89828613666284e-239	Confirmed	ATAC Up x Polycomb	***	***
40_02b  ATAC x body states	ATAC Up	Mixed	7618	520	722	338.4084	18.2101161749787	21.0648	0.241344194231521	0.0001999600079984	2e-04	2.13351678031633	ATAC Down	7618	704	9.24127067471777	3744	376	10.042735042735	0.912078607442864	0.7980984040321	1.04350323512747	0.173564944929373	Strengthened	ATAC Up x Mixed	***	ns
40_02b  ATAC x body states	ATAC Up	Unmarked	7618	5210	41	237.256	15.1937037527637	-12.9169	-0.147991854775224	0.0001999600079984	2e-04	0.172809117577638	ATAC Down	7618	41	0.538199002362825	3744	2	0.0534188034188034	10.1232373142947	2.62685598092693	86.5283443199341	1.17343887042534e-05	Confirmed	ATAC Up x Unmarked	***	***
40_02b  ATAC x body states	ATAC Up	Active	7618	6566	1728	1312.9708	37.0000884954311	11.217	0.128515714684923	0.0001999600079984	2e-04	1.31609933747194	ATAC Down	7618	1684	22.1055395116829	3744	1608	42.9487179487179	0.37701391326039	0.346153456309808	0.410544785474656	8.63159256341543e-114	Confirmed	ATAC Up x Active	***	***
40_02b  ATAC x body states	ATAC Up	Enhancer_Marked	7618	5477	470	520.5354	22.6324190514055	-2.2329	-0.0255828420540221	0.0167966406718656	0.0168	0.902916497129686	ATAC Down	7618	461	6.05145707534786	3744	183	4.88782051282051	1.25341956537262	1.04869524766813	1.50289727370979	0.0122485473338493	Confirmed	ATAC Up x Enhancer_Marked	*	*
40_02m  ATAC x promoter states	ATAC Down	Active_Promoter	3744	6190	1193	621.6896	23.3643153138716	24.4523	0.399624214269951	0.0001999600079984	3e-04	1.91896406180834	ATAC Up	3744	1167	31.1698717948718	7618	1700	22.3155683906537	1.5764479362865	1.44252726054365	1.72249191934808	6.40818021949292e-24	Confirmed	ATAC Down x Active_Promoter	***	***
40_02m  ATAC x promoter states	ATAC Down	Unmarked_Promoter	3744	11846	863	560.0696	24.9765634462453	12.1286	0.198217846386415	0.0001999600079984	3e-04	1.54087991921004	ATAC Up	3744	835	22.3023504273504	7618	1181	15.5027566290365	1.56448069833262	1.41526960730196	1.72895207347279	1.72854174010137e-18	Confirmed	ATAC Down x Unmarked_Promoter	***	***
40_02m  ATAC x promoter states	ATAC Down	Repressed_Promoter	3744	2775	202	297.7244	16.7552556637752	-5.7131	-0.0933692576381633	0.0001999600079984	3e-04	0.678479828996213	ATAC Up	3744	201	5.36858974358974	7618	1594	20.9241270674718	0.214425952858402	0.183158092226632	0.249964121906574	1.4248738914669e-117	Confirmed	ATAC Down x Repressed_Promoter	***	***
40_02m  ATAC x promoter states	ATAC Down	Bivalent_Promoter	3744	286	76	57.1948	7.38889518902677	2.5451	0.0415945979616827	0.00819836032793441	0.0082	1.32879212795569	ATAC Up	3744	76	2.02991452991453	7618	364	4.77815699658703	0.412942332385772	0.317127691085094	0.531888189176556	7.60694228030731e-14	Confirmed	ATAC Down x Bivalent_Promoter	**	***
40_02m  ATAC x promoter states	ATAC Up	Repressed_Promoter	7618	2775	1607	606.417	24.2283658908881	41.298	0.473160558532403	0.0001999600079984	3e-04	2.64999167239705	ATAC Down	7618	1594	20.9241270674718	3744	201	5.36858974358974	4.663614579623	4.00057413188984	5.45976422795802	1.4248738914669e-117	Confirmed	ATAC Up x Repressed_Promoter	***	***
40_02m  ATAC x promoter states	ATAC Up	Bivalent_Promoter	7618	286	365	116.191	10.8233427345525	22.9882	0.263381024544883	0.0001999600079984	3e-04	3.14137928066718	ATAC Down	7618	364	4.77815699658703	3744	76	2.02991452991453	2.42164564292187	1.88009438891312	3.15330394699488	7.60694228030731e-14	Confirmed	ATAC Up x Bivalent_Promoter	***	***
40_02m  ATAC x promoter states	ATAC Up	Active_Promoter	7618	6190	1719	1264.1402	33.0895682635113	13.7463	0.157494478806576	0.0001999600079984	3e-04	1.35981752656865	ATAC Down	7618	1700	22.3155683906537	3744	1167	31.1698717948718	0.634337472860418	0.580554247464033	0.693227800508344	6.40818021949292e-24	Confirmed	ATAC Up x Active_Promoter	***	***
40_02m  ATAC x promoter states	ATAC Up	Unmarked_Promoter	7618	11846	1223	1139.7926	36.3643789834471	2.2882	0.0262164267042918	0.0157968406318736	0.0158	1.07300222865107	ATAC Down	7618	1181	15.5027566290365	3744	835	22.3023504273504	0.639189733095313	0.578385031802176	0.706579152721566	1.72854174010137e-18	Confirmed	ATAC Up x Unmarked_Promoter	*	***
40_02c  Loop anchors x features	Gained loop anchors	CTCF	2327	32474	2343	450.0248	25.7540839388223	73.5019	1.52370318008787	0.0001999600079984	3e-04	5.20637973729448	Lost loop anchors	2327	1743	74.9033089815213	1520	917	60.3289473684211	1.96226837953064	1.70344502084212	2.26094882235078	2.20867799308646e-21	Confirmed	Gained loop anchors x CTCF	***	***
40_02c  Loop anchors x features	Gained loop anchors	ATAC Up	2327	7618	794	107.1282	11.4658997959875	59.9056	1.24185025455222	0.0001999600079984	3e-04	7.41168058457064	Lost loop anchors	2327	612	26.299957026214	1520	133	8.75	3.72030699973458	3.03695663638683	4.58249261845854	9.3778709992158e-45	Confirmed	Gained loop anchors x ATAC Up	***	***
40_02c  Loop anchors x features	Gained loop anchors	H3K27me3	2327	15794	1293	264.5486	23.5482938334923	43.6741	0.905369317765603	0.0001999600079984	3e-04	4.88757075259517	Lost loop anchors	2327	733	31.49978513107	1520	203	13.3552631578947	2.98256252868954	2.50628367760016	3.56021120111273	9.65663911483884e-40	Confirmed	Gained loop anchors x H3K27me3	***	***
40_02c  Loop anchors x features	Gained loop anchors	Bivalent	2327	318	41	5.3382	2.31319928631055	15.4167	0.319590035311477	0.0001999600079984	3e-04	7.68049155145929	Lost loop anchors	2327	41	1.76192522561238	1520	20	1.31578947368421	1.34504363692706	0.766675887018891	2.43338773650883	0.294356458356976	Strengthened	Gained loop anchors x Bivalent	***	ns
40_02c  Loop anchors x features	Gained loop anchors	MeCP2 Up	2327	7686	248	108.2586	15.7605267957951	8.8665	0.183803605706099	0.0001999600079984	3e-04	2.29081107644104	Lost loop anchors	2327	144	6.18822518263859	1520	327	21.5131578947368	0.240775852824312	0.194026107920716	0.297640995243972	1.49875821531938e-44	Confirmed	Gained loop anchors x MeCP2 Up	***	***
