name	p_value	z_score	mean_perm_test	sd_perm_test	n_overlaps	norm_zscore	adj.p_value	anchor_set
CTCF	0.0001999600079984	85.792	337.2384	16.3856908189042	1743	1.77847842336182	2e-04	Gained loop anchors
H3K27ac	0.0661867626474705	1.5336	189.55	12.6824630483907	209	0.0317917114657275	0.0662	Gained loop anchors
H3K27me3	0.0001999600079984	43.7323	176.86	12.7169156633516	733	0.906575810728113	2e-04	Gained loop anchors
H3K4me1	0.0001999600079984	20.5154	785.4238	21.8653472929759	1234	0.425286696272813	2e-04	Gained loop anchors
H3K4me3	0.0001999600079984	9.0057	104.9714	9.77480902208752	193	0.1866892383587	2e-04	Gained loop anchors
Bivalent	0.0001999600079984	15.3563	5.273	2.32653251658131	41	0.318337936085779	2e-04	Gained loop anchors
ATAC Up	0.0001999600079984	53.3285	97.6488	9.64496052935016	612	1.10550618472877	2e-04	Gained loop anchors
ATAC Down	0.000999800039992002	-2.9432	45.4868	6.62086043642242	26	-0.0610128880972412	0.0011	Gained loop anchors
MeCP2 Up	0.0001999600079984	9.0716	68.7918	8.29051260657964	144	0.188055353242367	2e-04	Gained loop anchors
MeCP2 Down	0.0001999600079984	4.6046	13.8922	3.71533846479451	31	0.0954539088517793	2e-04	Gained loop anchors
mCH Hyper genes	0.0001999600079984	6.2179	111.799	10.3251305398108	176	0.128897810852078	2e-04	Gained loop anchors
mCH Hypo genes	0.0001999600079984	3.743	525.853	20.0764938204066	601	0.0775928377779199	2e-04	Gained loop anchors
