sub_analysis	RS1	RS2	n_region_a	n_region_b	observed_overlaps	expected_overlaps	sd_permuted	z_score	norm_zscore	perm_p_value	perm_adj_p_value	observed_over_expected	contrast_against	n_query	n_query_with_target	pct_query_with_target	n_contrast	n_contrast_with_target	pct_contrast_with_target	fisher_or	fisher_ci_low	fisher_ci_high	fisher_p	concordance	test_id	perm_stars	fisher_stars
40_02c  Loop anchors x features	Gained loop anchors	CTCF	2327	32474	2343	450.0248	25.7540839388223	73.5019	1.52370318008787	0.0001999600079984	3e-04	5.20637973729448	Lost loop anchors	2327	1743	74.9033089815213	1520	917	60.3289473684211	1.96226837953064	1.70344502084212	2.26094882235078	2.20867799308646e-21	Confirmed	Gained loop anchors x CTCF	***	***
40_02c  Loop anchors x features	Gained loop anchors	ATAC Up	2327	7618	794	107.1282	11.4658997959875	59.9056	1.24185025455222	0.0001999600079984	3e-04	7.41168058457064	Lost loop anchors	2327	612	26.299957026214	1520	133	8.75	3.72030699973458	3.03695663638683	4.58249261845854	9.3778709992158e-45	Confirmed	Gained loop anchors x ATAC Up	***	***
40_02c  Loop anchors x features	Gained loop anchors	H3K27me3	2327	15794	1293	264.5486	23.5482938334923	43.6741	0.905369317765603	0.0001999600079984	3e-04	4.88757075259517	Lost loop anchors	2327	733	31.49978513107	1520	203	13.3552631578947	2.98256252868954	2.50628367760016	3.56021120111273	9.65663911483884e-40	Confirmed	Gained loop anchors x H3K27me3	***	***
40_02c  Loop anchors x features	Gained loop anchors	Bivalent	2327	318	41	5.3382	2.31319928631055	15.4167	0.319590035311477	0.0001999600079984	3e-04	7.68049155145929	Lost loop anchors	2327	41	1.76192522561238	1520	20	1.31578947368421	1.34504363692706	0.766675887018891	2.43338773650883	0.294356458356976	Strengthened	Gained loop anchors x Bivalent	***	ns
40_02c  Loop anchors x features	Gained loop anchors	MeCP2 Up	2327	7686	248	108.2586	15.7605267957951	8.8665	0.183803605706099	0.0001999600079984	3e-04	2.29081107644104	Lost loop anchors	2327	144	6.18822518263859	1520	327	21.5131578947368	0.240775852824312	0.194026107920716	0.297640995243972	1.49875821531938e-44	Confirmed	Gained loop anchors x MeCP2 Up	***	***
40_02c  Loop anchors x features	Gained loop anchors	H3K4me3	2327	6580	198	106.9374	10.3659332312316	8.7848	0.182109954932266	0.0001999600079984	3e-04	1.85155053330266	Lost loop anchors	2327	193	8.29394069617533	1520	324	21.3157894736842	0.333948815535327	0.274089833128101	0.406061187364309	3.66256676779112e-30	Confirmed	Gained loop anchors x H3K4me3	***	***
40_02c  Loop anchors x features	Gained loop anchors	H3K4me1	2327	113652	2167	1658.6546	65.0564813680666	7.8139	0.161983081782765	0.0001999600079984	3e-04	1.30648056563434	Lost loop anchors	2327	1234	53.0296519123335	1520	1132	74.4736842105263	0.387067712794335	0.335040727963536	0.446637292849801	1.09027275468682e-41	Confirmed	Gained loop anchors x H3K4me1	***	***
40_02c  Loop anchors x features	Gained loop anchors	mCH Hyper genes	2327	642	178	108.2712	10.3619652877688	6.7293	0.139499194031247	0.0001999600079984	3e-04	1.64401983168192	Lost loop anchors	2327	176	7.56338633433606	1520	203	13.3552631578947	0.530915744712981	0.426309484787786	0.660728505583028	7.03754458367669e-09	Confirmed	Gained loop anchors x mCH Hyper genes	***	***
40_02c  Loop anchors x features	Gained loop anchors	MeCP2 Down	2327	1200	40	16.8718	5.45935212869925	4.2364	0.087821078803735	0.000599880023995201	7e-04	2.37081994807904	Lost loop anchors	2327	31	1.33218736570692	1520	15	0.986842105263158	1.35457111009114	0.70674737383771	2.7100000199062	0.366204598588271	Strengthened	Gained loop anchors x MeCP2 Down	***	ns
40_02c  Loop anchors x features	Gained loop anchors	mCH Hypo genes	2327	4915	622	528.8772	22.1076789838737	4.2122	0.0873194099086707	0.0001999600079984	3e-04	1.17607641244508	Lost loop anchors	2327	601	25.827245380318	1520	336	22.1052631578947	1.22693797066233	1.05059678466024	1.43420328670545	0.00897855095189995	Confirmed	Gained loop anchors x mCH Hypo genes	***	**
