role	region_set	n_regions	total_bp	median_width_bp	mean_width_bp	n_chromosomes
Alist	mCH Hyper gene bodies	642	112896864	69923.5	175851.813084112	20
Alist	mCH Hypo gene bodies	4915	522859171	63546	106380.299287894	20
Blist	ATAC Up	7618	3065841	400	402.44696770806	20
Blist	ATAC Down	3744	1507807	400	402.726228632479	20
Blist	K119ub Gained	17078	6848278	401	401	20
Blist	K119ub Lost	6304	2527904	401	401	20
Blist	K27ac Gained	5076	2035476	401	401	20
Blist	K27ac Lost	6706	2689106	401	401	20
Blist	MeCP2 Up	7686	3075260	400	400.111891751236	20
Blist	MeCP2 Down	1200	480726	400	400.605	20
