"peak_id","h2a_Fold","h2a_FDR","SYMBOL"
"h2a_peak_1",-0.315090156,0.264642417,"Slc26a9"
"h2a_peak_4",-0.235463646,0.379320541,"Syt2"
"h2a_peak_6",-0.068489048,0.807452464,"Cd247"
"h2a_peak_10",-0.278219713,0.271727689,"Lad1"
"h2a_peak_11",-0.219530639,0.355551073,"Plxna2"
"h2a_peak_12",-0.776907186,0.001191146,"Cryzl2"
"h2a_peak_13",0.397487121,0.071817842,"Kcnb2"
"h2a_peak_14",0.623428498,0.003814761,"Thsd7b"
"h2a_peak_15",-0.412485662,0.077630047,"Tfap2d"
"h2a_peak_16",-0.414712492,0.044769206,"Rdh10"
"h2a_peak_17",0.469220328,0.033131784,"Gal3st2b"
"h2a_peak_20",-0.427660234,0.042313381,"Myo1b"
"h2a_peak_21",0.626749756,0.001491135,"Des"
"h2a_peak_24",-0.363102533,0.08137846,"Ptpn14"
"h2a_peak_25",-0.565739447,0.007209396,"Rassf5"
"h2a_peak_26",-0.337731424,0.07379768,"Arid5a"
"h2a_peak_28",0.483336419,0.017670251,"Brinp3"
"h2a_peak_30",-0.091157104,0.691658096,"Klf7"
"h2a_peak_31",-0.435600633,0.015478968,"Tnr"
"h2a_peak_33",1.665327114,3.33e-16,"Dpp10"
"h2a_peak_34",-0.767823411,4.55e-05,"Ahctf1"
"h2a_peak_35",1.349268208,7.09e-13,"Mybl1"
"h2a_peak_36",-0.482966347,0.012884861,"Cryzl2"
"h2a_peak_37",0.468776476,0.01724065,"Nck2"
"h2a_peak_39",1.763086925,1.73e-17,"Cntnap5a"
"h2a_peak_40",0.256292115,0.204894502,"Brinp3"
"h2a_peak_42",-0.821147003,8.54e-05,"Tfap2d"
"h2a_peak_43",0.675925618,0.000406146,"Khdrbs2"
"h2a_peak_44",0.634667527,0.001532374,"Aff3"
"h2a_peak_46",0.976386888,4.35e-06,"Erbb4"
"h2a_peak_47",0.095928918,0.666571732,"Ncoa2"
"h2a_peak_48",-0.142438157,0.493020986,"Fam178b"
"h2a_peak_49",-0.899944053,3.32e-06,"Zdbf2"
"h2a_peak_52",-0.586753241,0.001494127,"Pax3"
"h2a_peak_53",-0.407862542,0.042269869,"Col6a3"
"h2a_peak_54",-0.496131334,0.09015127,"Tfap2b"
"h2a_peak_55",-0.717403232,7.55e-05,"Lrrn2"
"h2a_peak_57",1.13879656,1.43e-08,"Exo1"
"h2a_peak_59",-0.369455823,0.055629611,"Nfasc"
"h2a_peak_61",-0.459826686,0.025720556,"Stat4"
"h2a_peak_62",-0.250691437,0.18569451,"Speg"
"h2a_peak_65",-0.605819007,0.001673467,"Rgl1"
"h2a_peak_66",-0.221968258,0.288804464,"Espnl"
"h2a_peak_67",1.446226051,8.33e-12,"Erbb4"
"h2a_peak_68",0.011474007,0.956107873,"Cryge"
"h2a_peak_72",1.598963308,1.94e-17,"Tmeff2"
"h2a_peak_73",-0.076583235,0.725998923,"Esrrg"
"h2a_peak_74",1.773233053,5.82e-19,"Vwc2l"
"h2a_peak_75",1.188584939,2.17e-10,"Tmeff2"
"h2a_peak_77",-0.58946086,0.000499754,"Cd247"
"h2a_peak_78",0.008806444,0.966419899,"Plxna2"
"h2a_peak_81",-0.427237983,0.027224681,"Tnr"
"h2a_peak_83",0.560923977,0.002346094,"Erbb4"
"h2a_peak_84",-0.342095835,0.063731017,"Plekhm3"
"h2a_peak_85",-0.172727719,0.349243884,"Npas2"
"h2a_peak_86",-0.566783509,0.002304938,"Gpr35"
"h2a_peak_87",0.999604108,3.6e-09,"Thsd7b"
"h2a_peak_88",-0.709758031,0.000274529,"Nek7"
"h2a_peak_90",-0.504427791,0.006144436,"Syt2"
"h2a_peak_93",0.704595828,0.000150357,"Rnf2"
"h2a_peak_94",0.018392856,0.931081813,"Satb2"
"h2a_peak_97",-0.027157318,0.906599718,"Lamc1"
"h2a_peak_98",0.228813025,0.217696665,"Gpa33"
"h2a_peak_100",0.591736557,0.001186089,"4930523C07Rik"
"h2a_peak_101",-0.301149004,0.078900053,"Tns1"
"h2a_peak_106",-0.296364751,0.120496594,"Sh3bp4"
"h2a_peak_107",0.918142371,8.13e-07,"Col19a1"
"h2a_peak_113",-0.292842621,0.095197265,"Crocc2"
"h2a_peak_116",-0.507807717,0.009366085,"Plekhm3"
"h2a_peak_118",0.942999714,6.35e-08,"Pappa2"
"h2a_peak_119",-0.236860363,0.176691883,"Plxna2"
"h2a_peak_120",0.637875783,0.000376214,"Rd3"
"h2a_peak_121",-0.443976088,0.010438935,"Lgr6"
"h2a_peak_122",-0.357272761,0.036818706,"Nav1"
"h2a_peak_123",-0.661067147,8.58e-05,"Rgl1"
"h2a_peak_124",-0.086307683,0.661410734,"Bcl2"
"h2a_peak_125",0.08031023,0.699995664,"Pbx1"
"h2a_peak_128",0.924151775,5.1e-06,"Slc39a10"
"h2a_peak_131",1.334901436,7.52e-13,"Kctd18"
"h2a_peak_131",1.334901436,7.52e-13,"Sgo2a"
"h2a_peak_133",-0.210358504,0.221749279,"Tns1"
"h2a_peak_137",1.687915002,7.66e-20,"Serpinb8"
"h2a_peak_139",-0.127568131,0.537017775,"Gpa33"
"h2a_peak_140",-0.007736069,0.980127561,"Kcnk2"
"h2a_peak_141",0.491171028,0.01329241,"Ush2a"
"h2a_peak_143",-0.296807654,0.070498923,"Ncoa2"
"h2a_peak_144",1.093052913,3.86e-10,"Rabgap1l"
"h2a_peak_145",-0.244192762,0.145566945,"Pbx1"
"h2a_peak_146",1.959936286,7.16e-21,"Cntnap5a"
"h2a_peak_147",-0.089848389,0.639220635,"Gm973"
"h2a_peak_151",0.966541809,9.02e-09,"Brinp3"
"h2a_peak_152",0.112042115,0.550918561,"Brinp2"
"h2a_peak_154",-0.575056672,0.000938956,"Bcl2"
"h2a_peak_156",1.182241348,1.63e-10,"Lamb3"
"h2a_peak_157",1.168161809,2.79e-10,"Aox1"
"h2a_peak_158",-0.781402761,1.26e-05,"Spats2l"
"h2a_peak_159",0.481433801,0.003370422,"Pbx1"
"h2a_peak_161",0.817886023,5.42e-06,"Aim2"
"h2a_peak_162",0.228193305,0.192596448,"Erbb4"
"h2a_peak_163",0.051505456,0.801525264,"Mfsd6"
"h2a_peak_166",-0.519860123,0.002467617,"Ikbke"
"h2a_peak_171",0.910307355,7.69e-06,"Col9a1"
"h2a_peak_172",0.371651908,0.030080268,"Kcnt2"
"h2a_peak_173",0.072047955,0.717084211,"Pam"
