gene_name	chr	exon_hypo	intron_hypo
0610009B22Rik	chr11	TRUE	FALSE
0610010F05Rik	chr11	FALSE	FALSE
0610010K14Rik	chr11	FALSE	TRUE
0610040J01Rik	chr5	TRUE	TRUE
1110002E22Rik	chr3	FALSE	FALSE
1110004F10Rik	chr7	TRUE	FALSE
1110008P14Rik	chr2	TRUE	TRUE
1110012L19Rik	chrX	TRUE	FALSE
1110017D15Rik	chr4	TRUE	FALSE
1110032A03Rik	chr9	FALSE	FALSE
1110038F14Rik	chr15	FALSE	FALSE
1110051M20Rik	chr2	FALSE	TRUE
1110059E24Rik	chr19	TRUE	TRUE
1110059G10Rik	chr9	TRUE	FALSE
1110065P20Rik	chr4	TRUE	FALSE
1190005I06Rik	chr8	TRUE	TRUE
1190007I07Rik	chr10	FALSE	TRUE
1300017J02Rik	chr9	TRUE	TRUE
1500009C09Rik	chr15	TRUE	FALSE
1500009L16Rik	chr10	FALSE	FALSE
1500011B03Rik	chr5	TRUE	FALSE
1520401A03Rik	chr17	FALSE	TRUE
1600012H06Rik	chr17	FALSE	FALSE
1600014C10Rik	chr7	TRUE	FALSE
1600014C23Rik	chr17	FALSE	FALSE
1700001C19Rik	chr17	FALSE	FALSE
1700001F09Rik	chr14	FALSE	TRUE
1700001J03Rik	chr5	TRUE	TRUE
1700001K19Rik	chr12	FALSE	FALSE
1700001L19Rik	chr13	FALSE	TRUE
1700001O22Rik	chr2	TRUE	TRUE
1700001P01Rik	chr11	TRUE	TRUE
1700003E16Rik	chr6	TRUE	FALSE
1700003F12Rik	chr2	FALSE	FALSE
1700003H04Rik	chr3	FALSE	FALSE
1700006A11Rik	chr3	TRUE	TRUE
1700007K13Rik	chr2	TRUE	TRUE
1700008O03Rik	chr7	TRUE	FALSE
1700008P02Rik	chr3	FALSE	FALSE
1700009N14Rik	chr4	FALSE	FALSE
1700010B08Rik	chr2	FALSE	TRUE
1700010I14Rik	chr17	TRUE	TRUE
1700011L22Rik	chr8	FALSE	FALSE
1700011M02Rik	chrX	TRUE	TRUE
1700012A03Rik	chr6	FALSE	FALSE
1700012B07Rik	chr11	FALSE	TRUE
1700012B09Rik	chr9	FALSE	TRUE
1700012P22Rik	chr4	FALSE	FALSE
1700013F07Rik	chr3	FALSE	TRUE
1700013G24Rik	chr4	FALSE	TRUE
1700013H16Rik	chrX	TRUE	FALSE
1700014D04Rik	chr13	TRUE	FALSE
1700015F17Rik	chr5	FALSE	FALSE
1700015G11Rik	chr7	TRUE	TRUE
1700016C15Rik	chr1	FALSE	TRUE
1700016D06Rik	chr8	TRUE	FALSE
1700016H13Rik	chr5	TRUE	TRUE
1700016K19Rik	chr11	FALSE	TRUE
1700017B05Rik	chr9	FALSE	TRUE
1700017N19Rik	chr10	FALSE	FALSE
1700018B08Rik	chr8	TRUE	TRUE
1700018F24Rik	chr5	TRUE	TRUE
1700018G05Rik	chrX	TRUE	TRUE
1700019A02Rik	chr1	FALSE	FALSE
1700019D03Rik	chr1	FALSE	FALSE
1700019N19Rik	chr19	TRUE	FALSE
1700020A23Rik	chr2	TRUE	TRUE
1700020L24Rik	chr11	FALSE	FALSE
1700020N01Rik	chr10	FALSE	TRUE
1700020N15Rik	chrX	FALSE	FALSE
1700021F07Rik	chr2	FALSE	TRUE
1700022I11Rik	chr4	TRUE	TRUE
1700024B05Rik	chr14	TRUE	FALSE
1700024G13Rik	chr14	TRUE	FALSE
1700025B11Rik	chr15	FALSE	TRUE
1700025C18Rik	chr2	TRUE	TRUE
