"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","over_represented_padj"
"GO:0043121",0.00140161227744386,0.999979746173868,2,11,"neurotrophin binding","MF",1
"GO:2001014",0.00361639768908968,0.999910798921904,2,16,"regulation of skeletal muscle cell differentiation","BP",1
"GO:1905056",0.00461669308531337,1,1,1,"P-type calcium transporter activity involved in regulation of presynaptic cytosolic calcium ion concentration","MF",1
"GO:1990760",0.00465264943554624,1,1,1,"osmolarity-sensing monoatomic cation channel activity","MF",1
"GO:0005034",0.00734910911915735,0.999986990030455,1,2,"osmosensor activity","MF",1
"GO:0032902",0.00871666093357119,0.999981684535795,1,2,"nerve growth factor production","BP",1
"GO:0140115",0.00918691527974508,0.999611109523665,2,38,"export across plasma membrane","BP",1
"GO:0030307",0.0103516835372619,0.99898865989076,3,93,"positive regulation of cell growth","BP",1
"GO:1902435",0.010912198357845,0.999971262983795,1,2,"regulation of male mating behavior","BP",1
"GO:1902437",0.010912198357845,0.999971262983795,1,2,"positive regulation of male mating behavior","BP",1
"GO:0045773",0.0111756682126852,0.999483644539369,2,28,"positive regulation of axon extension","BP",1
"GO:0007354",0.0117206803599785,0.999955807360519,1,3,"zygotic determination of anterior/posterior axis, embryo","BP",1
"GO:1990032",0.0117923621831839,0.999966424747878,1,2,"parallel fiber","CC",1
"GO:0016342",0.012884789364819,0.99936462710212,2,24,"catenin complex","CC",1
"GO:0140552",0.0129948364352852,0.99995920251142,1,2,"TEAD-YAP complex","CC",1
"GO:0032898",0.0131371369773019,0.999933373247915,1,5,"neurotrophin production","BP",1
"GO:0004869",0.0132271163863807,0.999957725826376,1,2,"cysteine-type endopeptidase inhibitor activity","MF",1
"GO:0033235",0.0137896070902619,0.99992657059821,1,5,"positive regulation of protein sumoylation","BP",1
"GO:1901626",0.013846407024017,0.999938262472738,1,3,"regulation of postsynaptic membrane organization","BP",1
"GO:1901628",0.013846407024017,0.999938262472738,1,3,"positive regulation of postsynaptic membrane organization","BP",1
"GO:1904719",0.013846407024017,0.999938262472738,1,3,"positive regulation of AMPA glutamate receptor clustering","BP",1
"GO:0016339",0.0142425245654672,0.999259722014005,2,24,"calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules","BP",1
"GO:0005509",0.014507567300796,0.997098921458316,5,289,"calcium ion binding","MF",1
"GO:0044331",0.0147723929774008,0.999204427061827,2,32,"cell-cell adhesion mediated by cadherin","BP",1
"GO:0016461",0.0151153801020106,0.999926384266014,1,3,"unconventional myosin complex","CC",1
"GO:0008343",0.0159584296324885,0.999901566589306,1,5,"adult feeding behavior","BP",1
"GO:0090161",0.0161491788537343,0.999899191308858,1,5,"Golgi ribbon formation","BP",1
"GO:0031032",0.0173367146883393,0.997938510620873,3,122,"actomyosin structure organization","BP",1
"GO:1905606",0.0173780326074549,0.998987399812964,2,28,"regulation of presynapse assembly","BP",1
"GO:0061614",0.0179944011170337,0.998904284417358,2,53,"miRNA transcription","BP",1
"GO:1902893",0.0179944011170337,0.998904284417358,2,53,"regulation of miRNA transcription","BP",1
"GO:0035914",0.0184863024934134,0.998853969338972,2,61,"skeletal muscle cell differentiation","BP",1
"GO:0071196",0.0185513034167116,0.999916610641822,1,2,"Kv4.3-KChIP1 channel complex","CC",1
"GO:0030955",0.0185869079275579,0.999856827604045,1,7,"potassium ion binding","MF",1
"GO:0048687",0.0186438786719613,0.999915772188889,1,2,"positive regulation of sprouting of injured axon","BP",1
"GO:0048691",0.0186438786719613,0.999915772188889,1,2,"positive regulation of axon extension involved in regeneration","BP",1
"GO:0014042",0.0187610910212459,0.999872266510364,1,4,"positive regulation of neuron maturation","BP",1
"GO:0010454",0.0195181025459705,0.999838792775792,1,8,"negative regulation of cell fate commitment","BP",1
"GO:0140937",0.0199014923299543,0.999840308028516,1,6,"histone H4K12 deacetylase activity, hydrolytic mechanism","MF",1
"GO:0180032",0.0199014923299543,0.999840308028516,1,6,"histone H4K5 deacetylase activity, hydrolytic mechanism","MF",1
"GO:0180033",0.0199014923299543,0.999840308028516,1,6,"histone H4K8 deacetylase activity, hydrolytic mechanism","MF",1
"GO:1990162",0.0199014923299543,0.999840308028516,1,6,"histone H3K4 deacetylase activity, hydrolytic mechanism","MF",1
"GO:0034332",0.0208874982345141,0.998640275451101,2,37,"adherens junction organization","BP",1
"GO:0099174",0.0212060639223033,0.998621684777884,2,30,"regulation of presynapse organization","BP",1
"GO:0048406",0.0214612810038698,0.999808901227803,1,7,"nerve growth factor binding","MF",1
"GO:2000628",0.02178624601827,0.998527078582688,2,60,"regulation of miRNA metabolic process","BP",1
"GO:0098698",0.0225971783802857,0.998475872700963,2,32,"postsynaptic specialization assembly","BP",1
"GO:0033233",0.0226394548606054,0.999779418323909,1,9,"regulation of protein sumoylation","BP",1
"GO:0003012",0.0231893242736471,0.995713611730563,4,241,"muscle system process","BP",1
"GO:0007351",0.0236995889570265,0.999761927064511,1,8,"tripartite regional subdivision","BP",1
"GO:0008595",0.0236995889570265,0.999761927064511,1,8,"anterior/posterior axis specification, embryo","BP",1
