"SYMBOL","mecp2_Fold","mecp2_minFDR","mecp2_sig_peaks","n_mecp2_peaks","mecp2_sig","h2a_Fold","h2a_minFDR","h2a_sig_peaks","n_h2a_peaks","h2a_sig","sig","quadrant","label_strength"
"Slc13a1",3.2649289034888,1.26e-38,6,6,TRUE,1.68086820197218,1.67e-81,7,7,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",4.94579710546098
"Ercc8",3.29631571834569,1.82e-25,2,3,TRUE,1.63024523740338,3.51e-44,3,3,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",4.92656095574907
"Orc5",3.03684766346779,9.13e-24,1,3,TRUE,1.72688352559914,9.98e-70,2,2,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",4.76373118906693
"Dpys",2.89874664044949,6.08e-25,7,10,TRUE,1.52251640946144,1.24e-44,13,13,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",4.42126304991093
"Csmd3",3.00219285778102,2.14e-14,1,2,TRUE,1.41454696353663,4.97e-27,7,7,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",4.41673982131766
"Emcn",2.93778999208012,7.02e-24,9,11,TRUE,1.4134647152351,8.97e-35,9,9,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",4.35125470731522
"Hmcn1",2.92809236513757,3.66e-22,4,6,TRUE,1.37046041075049,9.72e-74,4,4,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",4.29855277588806
"Patj",2.64393273712682,2.05e-37,8,12,TRUE,1.52555166704833,1.31e-48,12,12,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",4.16948440417515
"Mllt10",2.8457803901489,9.2e-17,2,2,TRUE,1.299054219,5.95e-48,1,1,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",4.1448346091489
"Cdh7",2.89527151005592,2.7e-19,1,2,TRUE,1.12866762266676,6.7e-26,2,2,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",4.02393913272268
"Tmprss11d",2.38619117409296,3.49e-16,1,2,TRUE,1.554799319,8.71e-43,1,1,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",3.94099049309296
"Prune2",2.49096586872742,8.98e-24,5,8,TRUE,1.39788045630245,1.18e-24,8,9,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",3.88884632502988
"Clybl",2.79198320578735,2.45e-37,11,19,TRUE,1.07510772920107,2.06e-34,7,8,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",3.86709093498842
"Cadm2",2.49296559879273,4.11e-26,5,8,TRUE,1.36024553017545,5.19e-53,17,19,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",3.85321112896818
"Cog5",2.14973799391511,6.71e-15,10,13,TRUE,1.6893547347559,8.11e-80,10,10,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",3.83909272867101
"Nkain3",2.22152109739678,1.13e-15,2,4,TRUE,1.60533310569658,9.21e-37,16,17,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",3.82685420309336
"Cep128",2.45511448618696,8.94e-22,7,10,TRUE,1.36915782581298,7.25e-66,7,8,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",3.82427231199994
"Col9a1",2.4182039674713,1.55e-20,11,13,TRUE,1.40087560407724,8.65e-54,12,12,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",3.81907957154854
"Ttr",2.207875892,1.81e-14,1,1,TRUE,1.58292401791974,1.28e-25,2,2,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",3.79079990991974
"1700028P14Rik",2.29472104882088,7.97e-20,5,5,TRUE,1.47076426299296,6.64e-59,3,3,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",3.76548531181385
"Brpf3",-1.17078758240308,1.29e-05,4,8,TRUE,-0.879053041044852,2.05e-16,3,3,TRUE,"Significant","Q3 (MeCP2 down / H2A down)",2.04984062344793
"Csmd2",-1.15409160617556,1.35e-08,32,60,TRUE,-0.816650653179985,4.37e-16,26,31,TRUE,"Significant","Q3 (MeCP2 down / H2A down)",1.97074225935555
"Plekha6",-1.15483129932731,4.67e-08,6,15,TRUE,-0.772766183982802,4.62e-37,13,14,TRUE,"Significant","Q3 (MeCP2 down / H2A down)",1.92759748331011
"Auts2",-1.28145241192071,1e-09,25,93,TRUE,-0.538583635156593,2.07e-11,22,31,TRUE,"Significant","Q3 (MeCP2 down / H2A down)",1.8200360470773
"Nos1",-1.34850705599114,2.22e-09,3,9,TRUE,-0.468848998560341,1.89e-06,4,5,TRUE,"Significant","Q3 (MeCP2 down / H2A down)",1.81735605455149
"Cmip",-1.20634114683861,2.23e-08,12,20,TRUE,-0.588529435005211,6.96e-09,17,23,TRUE,"Significant","Q3 (MeCP2 down / H2A down)",1.79487058184382
"Islr",-1.37016143746782,9.13e-07,2,7,TRUE,-0.400177504425352,6.95e-05,2,3,TRUE,"Significant","Q3 (MeCP2 down / H2A down)",1.77033894189317
"Cux2",-1.03009000668792,3.21e-05,4,10,TRUE,-0.722931647365635,8.87e-14,6,8,TRUE,"Significant","Q3 (MeCP2 down / H2A down)",1.75302165405355
"Slc6a12",-1.00212706687481,1.6e-05,1,3,TRUE,-0.746959655213482,2.97e-12,4,4,TRUE,"Significant","Q3 (MeCP2 down / H2A down)",1.74908672208829
"Islr2",-1.43994889856504,9.13e-07,2,3,TRUE,-0.301428457,0.004145604,1,1,TRUE,"Significant","Q3 (MeCP2 down / H2A down)",1.74137735556504
