"SYMBOL","mecp2_Fold","mecp2_minFDR","mecp2_sig_peaks","n_mecp2_peaks","mecp2_sig","h2a_Fold","h2a_minFDR","h2a_sig_peaks","n_h2a_peaks","h2a_sig","sig","quadrant"
"0610040J01Rik",-0.058364766,0.811852365,0,1,FALSE,-0.306658613,0.006250169,1,1,TRUE,"Not significant","Q3 (MeCP2 down / H2A down)"
"1110002E22Rik",1.81043954584761,4.72e-10,1,3,TRUE,1.01165202846383,1.04e-34,2,2,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"1110004F10Rik",-0.024932455,0.932489266,0,1,FALSE,-0.290007635,0.00256583,1,1,TRUE,"Not significant","Q3 (MeCP2 down / H2A down)"
"1110017D15Rik",-0.046727688,0.852778558,0,1,FALSE,0.346753937,0.002512998,1,1,TRUE,"Not significant","Q2 (MeCP2 down / H2A up)"
"1110032F04Rik",-0.200654244,0.368911059,0,1,FALSE,0.094485154,0.322348997,0,1,FALSE,"Not significant","Q2 (MeCP2 down / H2A up)"
"1110059E24Rik",0.004314313,0.991416681,0,1,FALSE,0.781668341,0.004904951,1,1,TRUE,"Not significant","Q1 (MeCP2 up / H2A up)"
"1500009L16Rik",0.123780847362441,0.450312591,0,2,FALSE,0.139517807812433,0.242696141,0,2,FALSE,"Not significant","Q1 (MeCP2 up / H2A up)"
"1600014C10Rik",0.038819184,0.886270827,0,1,FALSE,0.631493529,5.09e-05,1,1,TRUE,"Not significant","Q1 (MeCP2 up / H2A up)"
"1700003E16Rik",-0.040602089,0.879781784,0,1,FALSE,0.603339749,2.39e-07,1,1,TRUE,"Not significant","Q2 (MeCP2 down / H2A up)"
"1700003F12Rik",0.052794805,0.835675728,0,1,FALSE,0.214017575565488,0.038034896,1,2,TRUE,"Not significant","Q1 (MeCP2 up / H2A up)"
"1700007K13Rik",0.003258614,0.993595657,0,1,FALSE,0.470536659,0.000145719,1,1,TRUE,"Not significant","Q1 (MeCP2 up / H2A up)"
"1700010I14Rik",-0.105622067,0.62600857,0,1,FALSE,-0.128214599,0.476246987,0,1,FALSE,"Not significant","Q3 (MeCP2 down / H2A down)"
"1700011L22Rik",2.02766337019658,1.53e-17,2,3,TRUE,0.95866737791575,7.14e-30,2,2,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
