"SYMBOL","mecp2_Fold","mecp2_FDR","mecp2_sig","n_mecp2_peaks","n_mecp2_sig_peaks","h2a_Fold","h2a_FDR","h2a_sig","n_h2a_peaks","n_h2a_sig_peaks","sig","quadrant"
"0610009E02Rik",0.023639555,0.937779745,FALSE,1,0,0.156909241,0.545670537,FALSE,1,0,"Not significant","Q1 (MeCP2 up / H2A up)"
"0610038B21Rik",-0.0990822726731855,0.591762613,FALSE,3,0,0.338668813007213,0.000717987,TRUE,5,1,"Not significant","Q2 (MeCP2 down / H2A up)"
"0610040F04Rik",1.28371963501558,8.22e-06,TRUE,4,1,1.18714292207206,2.62e-18,TRUE,6,1,"Significant","Q1 (MeCP2 up / H2A up)"
"0610040J01Rik",-0.058364766,0.811852365,FALSE,1,0,-0.306658613,0.006250169,TRUE,1,1,"Not significant","Q3 (MeCP2 down / H2A down)"
"1110002E22Rik",1.76371178492331,4.6e-10,TRUE,5,1,0.910815671051743,1.04e-34,TRUE,9,1,"Significant","Q1 (MeCP2 up / H2A up)"
"1110002J07Rik",2.75909822630632,4.95e-25,TRUE,15,1,1.15976530578286,3.49e-23,TRUE,10,1,"Significant","Q1 (MeCP2 up / H2A up)"
"1110019D14Rik",1.68310042223455,5.43e-09,TRUE,5,1,0.963667744031387,6.81e-15,TRUE,5,1,"Significant","Q1 (MeCP2 up / H2A up)"
"1110032F04Rik",-0.216979399132186,0.294315949,FALSE,2,0,0.129075684281427,0.267232309,FALSE,2,0,"Not significant","Q2 (MeCP2 down / H2A up)"
"1190028D05Rik",2.076281084,1.04e-06,TRUE,1,1,1.69621885079037,1.48e-29,TRUE,4,1,"Significant","Q1 (MeCP2 up / H2A up)"
"1500009L16Rik",0.121078482886968,0.450312591,FALSE,3,0,-0.0188913040304902,0.242696141,FALSE,3,0,"Not significant","Q4 (MeCP2 up / H2A down)"
"1500015L24Rik",1.66549035910556,8.42e-06,TRUE,3,1,0.860041893,2.56e-16,TRUE,1,1,"Significant","Q1 (MeCP2 up / H2A up)"
"1600002D24Rik",0.459835065060016,0.048394831,TRUE,14,1,0.216119610155829,0.045808161,TRUE,8,1,"Significant","Q1 (MeCP2 up / H2A up)"
"1600014C10Rik",-0.125059056788366,0.497187851,FALSE,3,0,0.626492540184942,5.09e-05,TRUE,2,1,"Not significant","Q2 (MeCP2 down / H2A up)"
