## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE /dev/null --MINIMUM_PCT 0.0 --INCLUDE_DUPLICATES true --INPUT 260629_Emseq_LV_index_C2_Bap1_Math1_adult_ctrl_F2_S7.good_mapq --OUTPUT 260629_Emseq_LV_index_C2_Bap1_Math1_adult_ctrl_F2_S7.good_mapq.insert_size_metrics.txt --VALIDATION_STRINGENCY SILENT --DEVIATIONS 10.0 --METRIC_ACCUMULATION_LEVEL ALL_READS --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Jul 30 08:25:38 PDT 2026

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
216	186	49	2	175796743	228.167454	76.669531	685600679	FR	19	39	59	79	99	123	149	183	245	319	467			
9343453	16077	9341164.5	2	190508651	22079616.791886	27920854.776448	8374	RF	10859873	18364243	18654751	18654907	18682315	25621533	55555705	89871933	140166791	181611671	256743337			
39429149.5	44467456	26265296	114152	128886980	45065094.45679	34047018.922767	162	TANDEM	14193895	26946081	35344135	43437643	52048715	61672339	71614677	83814965	110043211	124850429	175764949			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count	All_Reads.rf_count	All_Reads.tandem_count
2	4635	1	0
3	4882	2	0
4	5368	1	0
5	5760	1	0
6	6083	0	0
7	5933	2	0
8	6510	0	0
9	7031	2	0
10	7648	0	0
11	7843	0	0
12	8408	0	0
13	9000	3	0
14	9613	2	0
15	10069	0	0
16	10769	0	0
17	11235	0	0
18	11671	2	0
19	12447	0	0
20	13013	0	0
21	13428	1	0
22	14171	1	0
23	14443	1	0
24	15310	2	0
25	15691	0	0
26	16323	0	0
27	16769	0	0
28	17452	0	0
29	17927	0	0
30	18641	1	0
31	18654	4	0
32	19297	1	0
33	20030	3	0
34	20219	2	0
35	21119	2	0
36	21072	4	0
37	21608	0	0
38	8248	0	0
39	7006	2	0
40	6916	0	0
41	7402	5	0
42	8243	0	0
43	8908	0	0
44	9417	0	0
45	10318	0	0
46	11016	3	0
47	11800	0	0
48	12192	0	0
49	13145	1	0
50	13998	0	0
51	14465	8	0
52	15396	5	0
53	16494	1	0
54	17462	0	0
55	17845	0	0
56	18046	1	0
57	18278	0	0
58	20447	3	0
59	20949	0	0
60	21430	0	0
61	21715	1	0
62	22551	0	0
63	23720	0	0
64	24574	0	0
65	25771	0	0
66	27124	3	0
67	28240	4	0
68	30079	2	0
69	32076	0	0
70	34748	0	0
71	35943	1	0
72	38218	2	0
73	40435	0	0
74	44187	0	0
75	50202	1	0
76	52926	0	0
77	57176	10	0
78	61372	0	0
79	66731	0	0
80	74600	0	0
81	79590	0	0
82	87334	0	0
83	94450	1	0
84	103808	1	0
85	114085	1	0
86	124693	0	0
87	137524	1	0
88	152744	1	0
89	167578	1	0
90	186360	0	0
91	206506	1	0
92	227953	0	0
93	249397	1	0
94	273435	0	0
95	298878	1	0
96	323163	0	0
97	350205	0	0
98	380154	1	0
99	411848	0	0
100	445323	0	0
101	480946	0	0
102	518090	0	0
103	555572	0	0
104	597057	1	0
105	637223	0	0
106	683984	0	0
107	725517	1	0
108	774131	0	0
109	821539	0	0
110	868402	0	0
111	922306	0	0
112	971856	0	0
113	1024146	1	0
114	1079433	1	0
115	1136210	0	0
116	1189830	0	0
117	1248740	0	0
118	1306355	0	0
119	1365987	2	0
120	1425325	0	0
121	1481661	1	0
122	1549227	0	0
