## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE /dev/null --MINIMUM_PCT 0.0 --INCLUDE_DUPLICATES true --INPUT 260629_Emseq_LV_index_H1_Bap1_Math1_adult_mut_F1_S4.good_mapq --OUTPUT 260629_Emseq_LV_index_H1_Bap1_Math1_adult_mut_F1_S4.good_mapq.insert_size_metrics.txt --VALIDATION_STRINGENCY SILENT --DEVIATIONS 10.0 --METRIC_ACCUMULATION_LEVEL ALL_READS --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Jul 30 08:13:45 PDT 2026

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
228	198	52	2	180857436	243.118889	84.721806	1260107517	FR	21	41	61	83	105	129	159	197	269	359	541			
19225277	16015	19209267	2	182629116	32015297.616807	36359531.573348	27049	RF	11892785	22844757	33017531	38418275	38418535	38444075	51649493	86600847	134632913	175156641	241159051			
46552572.5	47822856	29599003.5	35	160457971	50592353.098291	36514989.629503	234	TANDEM	10525283	23816449	35801167	48267595	59086485	69508289	75330091	86208705	106630449	145314669	200731641			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count	All_Reads.rf_count	All_Reads.tandem_count
2	8063	3	0
3	8596	2	0
4	9011	10	0
5	9862	8	0
6	10298	2	0
7	10824	0	0
8	11354	2	0
9	12390	4	0
10	13478	3	0
11	13815	1	0
12	15193	0	0
13	15522	2	0
14	16930	0	0
15	18349	1	0
16	19569	1	0
17	20023	1	0
18	20686	0	0
19	21424	0	0
20	22577	4	0
21	23662	0	0
22	25026	3	0
23	25392	2	0
24	26782	2	0
25	26833	0	0
26	28144	5	0
27	28532	2	0
28	29733	1	0
29	30651	0	0
30	32067	1	0
31	32935	5	0
32	33161	2	0
33	33974	1	0
34	34638	5	0
35	35357	2	1
36	36339	0	0
37	36555	1	0
38	14550	1	0
39	12449	3	0
40	12196	4	0
41	12867	4	0
42	14071	0	0
43	15543	1	0
44	16323	5	0
45	18239	3	0
46	19055	0	0
47	20475	8	0
48	22213	1	0
49	23684	2	0
50	24776	3	0
51	25826	0	0
52	26586	3	0
53	28697	0	0
54	29354	0	0
55	30647	0	0
56	31460	2	0
57	31532	1	0
58	35251	0	0
59	35281	3	0
60	36472	2	0
61	37533	1	0
62	38202	4	0
63	40223	3	0
64	40996	2	0
65	42883	1	0
66	44254	1	0
67	47071	4	0
68	48980	1	0
69	51405	0	0
70	54410	0	0
71	57039	0	0
72	60757	0	0
73	64051	0	0
74	67754	1	0
75	76030	0	0
76	80794	0	0
77	85903	1	0
78	92687	1	0
79	99892	0	0
80	111307	2	0
81	115527	4	0
82	125025	0	0
83	134870	1	0
84	145600	0	0
85	157769	0	0
86	171959	1	0
87	186884	1	0
88	204350	3	0
89	222848	1	0
90	244364	1	0
91	269196	4	0
92	294493	0	0
93	322885	0	0
94	350353	1	0
95	382253	0	0
96	417123	2	0
97	452884	1	0
98	489335	0	0
99	530538	2	0
100	571198	1	0
101	613113	0	0
102	659648	0	0
103	708185	0	0
104	756284	0	0
105	808420	0	0
106	868246	0	0
107	921378	3	0
108	980278	0	0
109	1041772	0	0
110	1108345	0	0
111	1170945	2	0
112	1238666	0	0
113	1311933	1	0
114	1379141	1	0
115	1451778	0	0
116	1529032	0	0
117	1602982	0	0
118	1680773	0	0
119	1765748	2	0
120	1848251	0	0
121	1929813	0	0
122	2015847	0	0
123	2104335	0	0
124	2190624	0	0
125	2281265	0	0
126	2376142	0	0
127	2469337	1	0
128	2554749	0	0
129	2650976	0	0
130	2744051	0	0
131	2840771	0	0
132	2939704	1	0
133	3037041	1	0
134	3130969	0	0
135	3231656	0	0
136	3329695	2	0
137	3426167	2	0
138	3531344	1	0
139	3631349	1	0
140	3727157	1	0
141	3828041	0	0
142	3937592	0	0
143	4032877	5	0
144	4129376	0	0
145	4233953	0	0
146	4332112	0	0
147	4436022	3	0
148	4537200	2	0
149	4631594	1	0
150	4741809	0	0
151	4839256	0	0
152	4929189	1	0
153	5028222	0	0
154	5106566	0	0
155	5187586	0	0
156	5265687	0	0
157	5350790	1	0
158	5427325	0	0
159	5503565	1	0
160	5583601	1	0
161	5659404	3	0
162	5729126	0	0
163	5801807	1	0
164	5872946	0	0
165	5935652	0	0
166	6000887	2	0
167	6061307	0	0
168	6121398	2	0
169	6177374	0	0
170	6234736	1	0
171	6293972	0	0
172	6344116	0	0
173	6390416	0	0
174	6440239	2	0
175	6490492	1	0
176	6532054	4	0
177	6568463	1	0
178	6610364	1	0
179	6648242	0	0
180	6677952	2	0
181	6711922	2	0
182	6739669	4	0
183	6767535	2	0
184	6792484	0	0
185	6814686	2	0
