gene_name	chr	mch_hypo	in_target
0610009B22Rik	chr11	FALSE	TRUE
0610010F05Rik	chr11	FALSE	TRUE
0610010K14Rik	chr11	FALSE	TRUE
0610012G03Rik	chr16	FALSE	TRUE
0610030E20Rik	chr6	FALSE	TRUE
0610040J01Rik	chr5	TRUE	FALSE
1110002E22Rik	chr3	FALSE	TRUE
1110004F10Rik	chr7	FALSE	TRUE
1110008P14Rik	chr2	FALSE	TRUE
1110012L19Rik	chrX	FALSE	TRUE
1110017D15Rik	chr4	FALSE	TRUE
1110025L11Rik	chr16	FALSE	FALSE
1110032A03Rik	chr9	FALSE	TRUE
1110032F04Rik	chr3	FALSE	FALSE
1110038F14Rik	chr15	FALSE	TRUE
1110051M20Rik	chr2	TRUE	TRUE
1110057P08Rik	chr16	FALSE	FALSE
1110059E24Rik	chr19	TRUE	TRUE
1110059G10Rik	chr9	FALSE	TRUE
1110065P20Rik	chr4	FALSE	TRUE
1190005I06Rik	chr8	TRUE	TRUE
1190007I07Rik	chr10	FALSE	TRUE
1300017J02Rik	chr9	TRUE	TRUE
1500009C09Rik	chr15	FALSE	TRUE
1500009L16Rik	chr10	FALSE	TRUE
1500011B03Rik	chr5	FALSE	TRUE
1520401A03Rik	chr17	FALSE	TRUE
1600012H06Rik	chr17	FALSE	TRUE
1600014C10Rik	chr7	FALSE	TRUE
1600014C23Rik	chr17	FALSE	TRUE
1700001C19Rik	chr17	FALSE	TRUE
1700001F09Rik	chr14	FALSE	FALSE
1700001J03Rik	chr5	FALSE	TRUE
1700001K19Rik	chr12	FALSE	TRUE
1700001L19Rik	chr13	FALSE	TRUE
1700001O22Rik	chr2	FALSE	TRUE
1700001P01Rik	chr11	FALSE	TRUE
1700003E16Rik	chr6	FALSE	TRUE
1700003F12Rik	chr2	FALSE	TRUE
1700003H04Rik	chr3	FALSE	FALSE
1700006A11Rik	chr3	TRUE	FALSE
1700007K13Rik	chr2	FALSE	TRUE
1700008O03Rik	chr7	FALSE	TRUE
1700008P02Rik	chr3	FALSE	FALSE
1700009N14Rik	chr4	FALSE	FALSE
1700010B08Rik	chr2	FALSE	TRUE
1700010I14Rik	chr17	TRUE	TRUE
1700011L22Rik	chr8	FALSE	TRUE
1700012A03Rik	chr6	FALSE	TRUE
1700012B07Rik	chr11	TRUE	FALSE
1700012B09Rik	chr9	TRUE	FALSE
1700012P22Rik	chr4	FALSE	FALSE
1700013F07Rik	chr3	FALSE	TRUE
1700013G24Rik	chr4	FALSE	TRUE
1700013H16Rik	chrX	FALSE	TRUE
1700014D04Rik	chr13	FALSE	TRUE
1700015F17Rik	chr5	FALSE	FALSE
1700015G11Rik	chr7	FALSE	TRUE
1700016C15Rik	chr1	TRUE	TRUE
1700016D06Rik	chr8	FALSE	TRUE
1700016H13Rik	chr5	FALSE	TRUE
1700016K19Rik	chr11	FALSE	TRUE
1700017B05Rik	chr9	FALSE	TRUE
1700017N19Rik	chr10	FALSE	TRUE
1700018B08Rik	chr8	FALSE	TRUE
1700018F24Rik	chr5	FALSE	TRUE
