gene_name	chr	promoter_state_Unmarked_Promoter	mch_hyper
Speer1	chr5	TRUE	FALSE
Hbb-bs	chr7	TRUE	FALSE
Gm13283	chr4	TRUE	FALSE
H1f6	chr13	TRUE	FALSE
Tdpoz6	chr3	TRUE	FALSE
Ackr1	chr1	TRUE	FALSE
Taar8b	chr10	TRUE	FALSE
Gm19935	chr8	TRUE	FALSE
Vmn1r48	chr6	TRUE	FALSE
2310039H08Rik	chr17	TRUE	FALSE
4930402K13Rik	chrX	TRUE	FALSE
2310057N15Rik	chr16	TRUE	FALSE
Olfr885	chr9	TRUE	FALSE
Eif1	chr11	TRUE	FALSE
Apcs	chr1	TRUE	TRUE
H2-M1	chr17	TRUE	FALSE
Gm5965	chr16	TRUE	TRUE
Lyrm2	chr4	FALSE	FALSE
Pf4	chr5	TRUE	FALSE
Tas2r106	chr6	TRUE	FALSE
Calm4	chr13	FALSE	FALSE
Defa29	chr8	TRUE	FALSE
H3c15	chr3	FALSE	TRUE
Imp3	chr9	FALSE	FALSE
Olfr1008	chr2	TRUE	FALSE
Tas2r137	chr6	TRUE	FALSE
Olfr1248	chr2	TRUE	FALSE
Olfr761	chr17	TRUE	FALSE
Rpl9-ps1	chr11	TRUE	FALSE
Erich4	chr7	TRUE	FALSE
Nppa	chr4	TRUE	FALSE
Fam47c	chrX	TRUE	FALSE
Tas2r115	chr6	TRUE	FALSE
Mettl26	chr17	TRUE	FALSE
Olfr993	chr2	TRUE	FALSE
Npvf	chr6	TRUE	TRUE
Mageh1	chrX	FALSE	FALSE
Neurog1	chr13	FALSE	FALSE
Scgb1b7	chr7	TRUE	FALSE
Fam181b	chr7	FALSE	FALSE
Krtap1-4	chr11	TRUE	FALSE
Gm5773	chr3	TRUE	FALSE
Gm3755	chr14	TRUE	FALSE
Vmn1r113	chr7	TRUE	FALSE
Rnf208	chr2	FALSE	FALSE
Olfr345	chr2	TRUE	FALSE
Defb11	chr8	TRUE	FALSE
Tas2r121	chr6	TRUE	FALSE
Olfr437	chr6	TRUE	TRUE
Scgb2b26	chr7	TRUE	FALSE
7420426K07Rik	chr9	TRUE	FALSE
Gm21958	chr3	TRUE	FALSE
H2bc14	chr13	TRUE	FALSE
Rfpl4b	chr10	TRUE	FALSE
H2bc1	chr13	TRUE	FALSE
Scgb1b19	chr7	TRUE	TRUE
Gm9507	chr10	TRUE	FALSE
Msmp	chr4	TRUE	FALSE
Krtap5-2	chr7	TRUE	FALSE
1110025L11Rik	chr16	TRUE	FALSE
Gm7876	chr14	TRUE	FALSE
Vmn1r158	chr7	TRUE	FALSE
Ifnab	chr4	FALSE	FALSE
H3c6	chr13	FALSE	FALSE
Ctag2l2	chrX	TRUE	FALSE
Krtap24-1	chr16	TRUE	FALSE
Lce6a	chr3	TRUE	FALSE
Hspb1	chr5	FALSE	FALSE
Mrpl43	chr19	TRUE	FALSE
Olfr583	chr7	TRUE	FALSE
H1f1	chr13	FALSE	FALSE
Tmem190	chr7	TRUE	TRUE
Vmn1r115	chr7	TRUE	FALSE
Gm19402	chr10	FALSE	FALSE
Gsc2	chr16	FALSE	FALSE
Igll1	chr16	TRUE	FALSE
Olfr1164	chr2	TRUE	FALSE
Tas2r102	chr6	TRUE	FALSE
Psme2b	chr11	TRUE	FALSE
Nccrp1	chr7	FALSE	FALSE
Tas2r107	chr6	TRUE	FALSE
Olfr519	chr7	TRUE	FALSE
Rnase2a	chr14	TRUE	FALSE
Pth2	chr7	TRUE	FALSE
Tceal9	chrX	TRUE	FALSE
Gjd3	chr11	TRUE	FALSE
Tas2r139	chr6	TRUE	FALSE
Mup13	chr4	TRUE	FALSE
Gm17490	chr2	TRUE	FALSE
Ucn	chr5	FALSE	FALSE
Cypt1	chrX	TRUE	FALSE
Fam122a	chr19	FALSE	FALSE
Gm7970	chr14	TRUE	FALSE
Gm17662	chr4	TRUE	FALSE
Tstd1	chr1	TRUE	FALSE
Ifnb1	chr4	TRUE	FALSE
Cldn5	chr16	FALSE	FALSE
Dppa5a	chr9	TRUE	FALSE
Gm17651	chr3	TRUE	FALSE
Tceal8	chrX	FALSE	FALSE
Gm18336	chrX	TRUE	FALSE
Prr32	chrX	TRUE	FALSE
D17H6S53E	chr17	TRUE	TRUE
Psmb4	chr3	FALSE	FALSE
Ttr	chr18	TRUE	TRUE
Gm21731	chr13	TRUE	FALSE
Phpt1	chr2	FALSE	FALSE
Olfr248	chr1	TRUE	FALSE
Olfr1133	chr2	TRUE	FALSE
Ciao2b	chr8	FALSE	FALSE
Gm5698	chr1	TRUE	FALSE
Hp	chr8	TRUE	FALSE
Gsx2	chr5	FALSE	FALSE
Hcfc1r1	chr17	FALSE	FALSE
Phxr2	chr10	TRUE	FALSE
Vmn1r19	chr6	TRUE	FALSE
Amd2	chr10	TRUE	FALSE
Llcfc1	chr6	TRUE	FALSE
Olfr930	chr9	TRUE	FALSE
Gm5901	chr7	TRUE	FALSE
Vmn1r216	chr13	TRUE	FALSE
Krtap4-6	chr11	TRUE	FALSE
Ucn2	chr9	TRUE	FALSE
Gpr82	chrX	TRUE	FALSE
Ubb	chr11	FALSE	FALSE
Krtap19-3	chr16	TRUE	FALSE
H4c1	chr13	FALSE	FALSE
Samt1	chrX	TRUE	FALSE
Mrgprb5	chr7	TRUE	FALSE
Olfr574	chr7	TRUE	FALSE
Gm3047	chr14	TRUE	FALSE
Scgb1b29	chr7	TRUE	FALSE
Ifna6	chr4	TRUE	FALSE
Olfr1475	chr19	TRUE	FALSE
Higd2a	chr13	FALSE	FALSE
Rhbdl1	chr17	FALSE	TRUE
Pate10	chr9	TRUE	FALSE
Gm20075	chr13	TRUE	FALSE
Krtap16-3	chr16	TRUE	FALSE
Olfr1230	chr2	TRUE	FALSE
4930415L06Rik	chrX	TRUE	FALSE
Gm15085	chrX	TRUE	FALSE
Rnase2b	chr14	TRUE	FALSE
Mdp1	chr14	TRUE	FALSE
Olfr153	chr2	TRUE	FALSE
Tmem89	chr9	TRUE	FALSE
Prss34	chr17	FALSE	FALSE
4930449I24Rik	chr5	TRUE	FALSE
Etv2	chr7	FALSE	FALSE
Nap1l2	chrX	FALSE	FALSE
Tacstd2	chr6	FALSE	FALSE
Tas2r140	chr6	TRUE	FALSE
Olfr1329	chr4	TRUE	FALSE
Hoxb13	chr11	FALSE	FALSE
