gene_name	chr	promoter_state_Bivalent_Promoter	mch_hypo
Speer1	chr5	FALSE	TRUE
Hbb-bs	chr7	FALSE	TRUE
Gm13283	chr4	FALSE	TRUE
H1f6	chr13	FALSE	TRUE
Tdpoz6	chr3	FALSE	TRUE
Ackr1	chr1	FALSE	TRUE
Taar8b	chr10	FALSE	FALSE
Gm19935	chr8	FALSE	TRUE
Vmn1r48	chr6	FALSE	FALSE
2310039H08Rik	chr17	FALSE	FALSE
4930402K13Rik	chrX	FALSE	TRUE
2310057N15Rik	chr16	FALSE	TRUE
Olfr885	chr9	FALSE	FALSE
Eif1	chr11	FALSE	TRUE
Apcs	chr1	FALSE	FALSE
H2-M1	chr17	FALSE	TRUE
Gm5965	chr16	FALSE	FALSE
Lyrm2	chr4	FALSE	TRUE
Pf4	chr5	FALSE	TRUE
Tas2r106	chr6	FALSE	FALSE
Calm4	chr13	FALSE	FALSE
Defa29	chr8	FALSE	TRUE
H3c15	chr3	FALSE	FALSE
Imp3	chr9	FALSE	FALSE
Olfr1008	chr2	FALSE	FALSE
Tas2r137	chr6	FALSE	FALSE
Olfr1248	chr2	FALSE	FALSE
Olfr761	chr17	FALSE	FALSE
Rpl9-ps1	chr11	FALSE	FALSE
Erich4	chr7	FALSE	FALSE
Nppa	chr4	FALSE	TRUE
Fam47c	chrX	FALSE	FALSE
Tas2r115	chr6	FALSE	FALSE
Mettl26	chr17	FALSE	TRUE
Olfr993	chr2	FALSE	TRUE
Npvf	chr6	FALSE	FALSE
Mageh1	chrX	FALSE	FALSE
Neurog1	chr13	FALSE	TRUE
Scgb1b7	chr7	FALSE	FALSE
Fam181b	chr7	FALSE	TRUE
Krtap1-4	chr11	FALSE	FALSE
Gm5773	chr3	FALSE	FALSE
Gm3755	chr14	FALSE	TRUE
Vmn1r113	chr7	FALSE	FALSE
Rnf208	chr2	FALSE	TRUE
Olfr345	chr2	FALSE	FALSE
Defb11	chr8	FALSE	FALSE
Tas2r121	chr6	FALSE	FALSE
Olfr437	chr6	FALSE	FALSE
Scgb2b26	chr7	FALSE	TRUE
7420426K07Rik	chr9	FALSE	TRUE
Gm21958	chr3	FALSE	FALSE
H2bc14	chr13	FALSE	FALSE
Rfpl4b	chr10	FALSE	FALSE
H2bc1	chr13	FALSE	FALSE
Scgb1b19	chr7	FALSE	FALSE
Gm9507	chr10	FALSE	FALSE
Msmp	chr4	FALSE	TRUE
Krtap5-2	chr7	FALSE	TRUE
1110025L11Rik	chr16	FALSE	FALSE
Gm7876	chr14	FALSE	FALSE
Vmn1r158	chr7	FALSE	FALSE
Ifnab	chr4	FALSE	FALSE
H3c6	chr13	FALSE	FALSE
Ctag2l2	chrX	FALSE	FALSE
Krtap24-1	chr16	FALSE	FALSE
Lce6a	chr3	FALSE	FALSE
Hspb1	chr5	FALSE	FALSE
Mrpl43	chr19	FALSE	FALSE
Olfr583	chr7	FALSE	FALSE
H1f1	chr13	FALSE	FALSE
Tmem190	chr7	FALSE	FALSE
Vmn1r115	chr7	FALSE	FALSE
Gm19402	chr10	FALSE	FALSE
Gsc2	chr16	FALSE	TRUE
Igll1	chr16	FALSE	TRUE
Olfr1164	chr2	FALSE	FALSE
Tas2r102	chr6	FALSE	FALSE
Psme2b	chr11	FALSE	FALSE
Nccrp1	chr7	FALSE	TRUE
Tas2r107	chr6	FALSE	FALSE
Olfr519	chr7	FALSE	FALSE
Rnase2a	chr14	FALSE	FALSE
Pth2	chr7	FALSE	FALSE
Tceal9	chrX	FALSE	FALSE
Gjd3	chr11	FALSE	FALSE
Tas2r139	chr6	FALSE	FALSE
Mup13	chr4	FALSE	FALSE
Gm17490	chr2	FALSE	FALSE
Ucn	chr5	FALSE	FALSE
Cypt1	chrX	FALSE	FALSE
Fam122a	chr19	FALSE	FALSE
Gm7970	chr14	FALSE	FALSE
Gm17662	chr4	FALSE	FALSE
Tstd1	chr1	FALSE	FALSE
Ifnb1	chr4	FALSE	FALSE
Cldn5	chr16	FALSE	FALSE
Dppa5a	chr9	FALSE	FALSE
Gm17651	chr3	FALSE	FALSE
Tceal8	chrX	FALSE	FALSE
Gm18336	chrX	FALSE	FALSE
Prr32	chrX	FALSE	FALSE
D17H6S53E	chr17	FALSE	FALSE
Psmb4	chr3	FALSE	TRUE
Ttr	chr18	FALSE	FALSE
Gm21731	chr13	FALSE	FALSE
Phpt1	chr2	FALSE	FALSE
