gene_name	gene_id	chr	start	end	gene_length	mch_ctrl	mch_mut	mch_diff	edger_logFC	edger_fdr	mch_sig	mch_hyper	mch_hypo	mch_diff_pct	log10_gene_length	mch_category	mecp2_fold	mecp2_fdr	mecp2_min_fdr	mecp2_n_peaks	mecp2_n_sig	mecp2_has_sig	has_mecp2	mecp2_sig	mecp2_direction
Auts2	ENSMUSG00000029673.17	chr5	131437332	132543344	1106012	0.0585930354568514	0.0405551707375849	-0.0180378647192666	-0.589453234068138	6.49315772936704e-20	TRUE	FALSE	TRUE	-1.80378647192666	6.04375983899898	Hypomethylated	-0.0345662388129427	0.864925536822995	1.39715867136175e-08	281	34	TRUE	TRUE	FALSE	Unchanged
Csmd2	ENSMUSG00000028804.20	chr4	127987856	128567656	579800	0.0495954803208768	0.0322662483584066	-0.0173292319624701	-0.702488424646554	2.05229451875872e-19	TRUE	FALSE	TRUE	-1.73292319624701	5.76327821101898	Hypomethylated	-0.020871607560004	0.931851057315759	8.44107001031249e-07	74	8	TRUE	TRUE	FALSE	Unchanged
Arhgap26	ENSMUSG00000036452.18	chr18	38993144	39376284	383140	0.0240667114846402	0.0411655718277919	0.0170988603431517	0.704215640764072	4.81031639917514e-18	TRUE	TRUE	FALSE	1.70988603431517	5.58335749490251	Hypermethylated	0.100801214206284	0.566080782755094	2.01100038979942e-22	108	32	TRUE	TRUE	FALSE	Unchanged
Rasgef1b	ENSMUSG00000089809.9	chr5	99217425	99729065	511640	0.0543948964773618	0.0369045314632584	-0.0174903650141034	-0.626358182933927	1.91183600778509e-17	TRUE	FALSE	TRUE	-1.74903650141034	5.70896449026361	Hypomethylated	-0.178396740313038	0.425850230126047	9.55646993903605e-09	127	32	TRUE	TRUE	FALSE	Unchanged
Lrrc49	ENSMUSG00000047766.15	chr9	60568858	60688158	119300	0.0232240221033662	0.0457047237189033	0.0224807016155371	0.925662885715961	4.32716162207456e-17	TRUE	TRUE	FALSE	2.24807016155371	5.07664044367034	Hypermethylated	0.0181046446482055	0.938348885055357	4.53907037265807e-10	16	6	TRUE	TRUE	FALSE	Unchanged
Emcn	ENSMUSG00000054690.17	chr3	137341066	137432185	91119	0.0341953858377244	0.0712838669062373	0.0370884810685128	0.994570493076339	4.85131254429339e-17	TRUE	TRUE	FALSE	3.70884810685128	4.95960894486313	Hypermethylated	1.60613771118023	0.00127278147483562	1.32095870031758e-20	27	18	TRUE	TRUE	TRUE	Gained
Slc13a1	ENSMUSG00000029700.11	chr6	24088282	24168092	79810	0.0279154504799454	0.0600276489322722	0.0321121984523268	1.03501814773005	1.47348298932098e-16	TRUE	TRUE	FALSE	3.21121984523268	4.90205731080847	Hypermethylated	1.21958533052125	0.0101304954413751	2.06805321330482e-26	41	27	TRUE	TRUE	TRUE	Gained
Dpys	ENSMUSG00000022304.13	chr15	39768486	39857470	88984	0.0313516764771984	0.0561886074277392	0.0248369309505408	0.803923333716464	7.46437336237682e-16	TRUE	TRUE	FALSE	2.48369309505408	4.94931192421358	Hypermethylated	-0.0419082502059995	0.834742308571652	7.70627593740215e-06	17	1	TRUE	TRUE	FALSE	Unchanged
Fgf1	ENSMUSG00000036585.16	chr18	38838672	38929472	90800	0.0287311295506861	0.0518081884842646	0.0230770589335785	0.811254567920538	1.39178947360121e-15	TRUE	TRUE	FALSE	2.30770589335785	4.95808584852109	Hypermethylated	1.07901659999695	0.00716848450584093	8.54828388890296e-19	32	16	TRUE	TRUE	TRUE	Gained
Runx1t1	ENSMUSG00000006586.15	chr4	13743435	13893649	150214	0.0388851256335426	0.062282111174255	0.0233969855407124	0.629816196957794	1.39178947360121e-15	TRUE	TRUE	FALSE	2.33969855407124	5.17671041095978	Hypermethylated	0.113273493139048	0.621376557214025	7.5451567639104e-14	101	20	TRUE	TRUE	FALSE	Unchanged
