metric	metric_display	metric_short	comparison	background	background_meaning	n_focal	n_background	median_focal	median_background	median_difference	mean_focal	mean_background	U	p_value	cliffs_delta	delta_ci_low	delta_ci_high	delta_magnitude	fdr	stars
k119ub_fold	H2AK119ub (peak log2FC)	H2AK119ub peak	MeCP2_only vs MeCP2_and_mCH	MeCP2_and_mCH	genes where MeCP2 binding and mCH both change	49	89	0.186698461	0.605637599	-0.418939138	0.360255961285714	0.472737443651685	2019	0.473784637892167	-0.0740655812886953	-0.257757946222086	0.114794108693978	negligible	0.568541565470601	ns
k119ub_fold	H2AK119ub (peak log2FC)	H2AK119ub peak	MeCP2_only vs Neither	Neither	genes where neither MeCP2 binding nor mCH changes	49	5307	0.186698461	0.119412249	0.067286212	0.360255961285714	0.157969026982853	157389	0.0110851186878317	0.210484419884404	0.0473737781194176	0.362661501715527	small	0.0332553560634951	*
k119ub_gb_log2fc	H2AK119ub (gene-body signal log2FC)	H2AK119ub signal	MeCP2_only vs MeCP2_and_mCH	MeCP2_and_mCH	genes where MeCP2 binding and mCH both change	59	96	0.222978	0.4370875	-0.2141095	0.212639644067797	0.468405708333333	2050	0.0039764843776973	-0.276129943502825	-0.427059060416953	-0.110231459564396	small	0.0159059375107892	*
k119ub_gb_log2fc	H2AK119ub (gene-body signal log2FC)	H2AK119ub signal	MeCP2_only vs Neither	Neither	genes where neither MeCP2 binding nor mCH changes	59	11608	0.222978	0.003386	0.219592	0.212639644067797	0.0191507788594073	457629	8.04909722709083e-06	0.336392785805231	0.198534799348561	0.461198180993783	medium	9.658916672509e-05	***
k27me3_fold	H3K27me3 (peak log2FC)	H3K27me3	MeCP2_only vs MeCP2_and_mCH	MeCP2_and_mCH	genes where MeCP2 binding and mCH both change	21	43	-0.0962468676392361	-0.0773205950450313	-0.0189262725942048	0.150044322927101	0.183372786869003	469	0.807947862763763	0.0387596899224806	-0.242764912037453	0.314262773127536	negligible	0.88139766846956	ns
k27me3_fold	H3K27me3 (peak log2FC)	H3K27me3	MeCP2_only vs Neither	Neither	genes where neither MeCP2 binding nor mCH changes	21	2555	-0.0962468676392361	-0.0727033745067559	-0.0235434931324802	0.150044322927101	0.0327618898990722	27236	0.904328223479586	0.0152269126828814	-0.251131590902098	0.279441705177879	negligible	0.904328223479586	ns
k27ac_fold	H3K27ac (peak log2FC)	H3K27ac	MeCP2_only vs MeCP2_and_mCH	MeCP2_and_mCH	genes where MeCP2 binding and mCH both change	36	69	-0.102433474266549	-0.49883289869822	0.396399424431671	-0.306008509371923	-0.53659886488231	1479	0.110357428835455	0.190821256038647	-0.0346885363192203	0.397840811376696	small	0.189184163717922	ns
k27ac_fold	H3K27ac (peak log2FC)	H3K27ac	MeCP2_only vs Neither	Neither	genes where neither MeCP2 binding nor mCH changes	36	5267	-0.102433474266549	0.0327150241386956	-0.135148498405244	-0.306008509371923	-0.0301557934864382	73323	0.0189451118273377	-0.226599582304917	-0.438047714016988	0.00860804028791657	small	0.0454682683856105	*
atac_fold	ATAC (peak log2FC)	ATAC	MeCP2_only vs MeCP2_and_mCH	MeCP2_and_mCH	genes where MeCP2 binding and mCH both change	57	92	0.120869650741934	0.0552813332623814	0.0655883174795526	0.179311929039886	0.0111766426542533	3060	0.0874876571588963	0.167048054919908	-0.0219151885581803	0.344487634884211	small	0.174975314317793	ns
atac_fold	ATAC (peak log2FC)	ATAC	MeCP2_only vs Neither	Neither	genes where neither MeCP2 binding nor mCH changes	57	9534	0.120869650741934	0.0904812314391972	0.0303884193027368	0.179311929039886	0.139335523685234	291522	0.342048393982306	0.0728804389829198	-0.104423366252093	0.245694203380054	negligible	0.456064525309741	ns
k119ub_gb_ctrl_signal	H2AK119ub (control gene-body signal)	H2AK119ub level	MeCP2_only vs MeCP2_and_mCH	MeCP2_and_mCH	genes where MeCP2 binding and mCH both change	59	96	1.399432	1.6525715	-0.2531395	1.98728377966102	2.33979061458333	2476	0.190160110643018	-0.125706214689266	-0.310018927388299	0.067713167444289	negligible	0.285240165964527	ns
k119ub_gb_ctrl_signal	H2AK119ub (control gene-body signal)	H2AK119ub level	MeCP2_only vs Neither	Neither	genes where neither MeCP2 binding nor mCH changes	59	11876	1.399432	0.966291	0.433141	1.98728377966102	1.39039412967329	451911	0.000119413299715195	0.289913855603953	0.143317294507458	0.424061434588264	small	0.00071647979829117	***
