gene_name	ctrl_aging_fold	ctrl_aging_fdr	ctrl_aging_min_fdr	ctrl_aging_n_peaks	ctrl_aging_n_sig	ctrl_aging_has_sig	ctrl_aging_n_sig_up	ctrl_aging_n_sig_down	ctrl_aging_max_fold	ctrl_aging_min_fold	ctrl_aging_mean_fold	mut_aging_fold	mut_aging_fdr	mut_aging_min_fdr	mut_aging_n_peaks	mut_aging_n_sig	mut_aging_has_sig	mut_aging_n_sig_up	mut_aging_n_sig_down	mut_aging_max_fold	mut_aging_min_fold	mut_aging_mean_fold	has_ctrl_peak	has_mut_peak	in_universe	ctrl_aging_up	mut_aging_up	ctrl_aging_down	mut_aging_down	ctrl_aging_sig	mut_aging_sig	mut_specific_aging_up	shared_aging_up	ctrl_specific_aging_up
1190028D05Rik	-0.116643018930015	0.116862859871548	0.116862859871548	59	0	FALSE	0	0	0.251098319113817	-0.542010165866921	-0.126211945586141	-0.944014592709518	0.000238966677273958	0.000238966677273958	61	10	TRUE	4	6	1.98939385614247	-1.97701919641339	-0.267778251656996	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1500009L16Rik	-0.111639385564008	0.220593168891146	0.220593168891146	46	0	FALSE	0	0	0.229241774454781	-0.43276819375363	-0.111244786037321	0.398641240958355	8.68776500489182e-05	8.68776500489182e-05	43	2	TRUE	1	1	1.90333641300111	-1.1060539310844	-0.200716007383257	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1500015L24Rik	-0.103460916747593	0.109168514817963	0.109168514817963	48	0	FALSE	0	0	0.616164224412012	-0.597590903048886	-0.113819120542589	-0.972208177752828	4.62670496615107e-16	4.62670496615107e-16	56	7	TRUE	2	5	3.41118338005436	-1.37735723261648	-0.223939071731941	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1700003F12Rik	0.611450594528963	0.0602235891996772	0.0602235891996772	1	0	FALSE	0	0	0.611450594528963	0.611450594528963	0.611450594528963	1.25162879836783	0.000309536322259652	0.000309536322259652	1	1	TRUE	1	0	1.25162879836783	1.25162879836783	1.25162879836783	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
1700009N14Rik	-0.112592453411432	0.153389118742193	0.153389118742193	53	0	FALSE	0	0	0.215428175285292	-0.568130691936375	-0.117372229646638	1.93351871730731	2.20986084343702e-15	2.20986084343702e-15	57	11	TRUE	6	5	3.61498095646666	-1.2042207831209	-0.0136192807356174	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1700010K23Rik	-0.15270408248334	0.0654424996913734	0.0654424996913734	35	0	FALSE	0	0	0.662465240015622	-0.388722512986521	-0.108900202726945	0.857357154889684	0.00699326106193059	0.00699326106193059	52	3	TRUE	3	0	1.20429682190215	-0.738426714271617	-0.226181660954154	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
1700012A03Rik	-0.0586208937401822	0.115578907354002	0.115578907354002	105	0	FALSE	0	0	0.461678229575165	-0.519930299470227	-0.0537015897215259	0.932937334809046	6.19530216102268e-06	6.19530216102268e-06	103	8	TRUE	7	1	1.78632805451272	-1.04254494931333	-0.0618407762124623	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1700012C14Rik	-0.160764309589715	0.0686182958347115	0.0686182958347115	10	0	FALSE	0	0	0.12843134159414	-0.536051442937581	-0.203376715930696	1.4383503383631	2.72112513556213e-07	2.72112513556213e-07	10	3	TRUE	3	0	1.55278538118454	-0.260841463121489	0.340557907755885	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
1700017N19Rik	-0.100624737349361	0.173241224199627	0.173241224199627	13	0	FALSE	0	0	0.262494263507946	-0.486581138894729	-0.115688733186839	2.36093343764648	1.23916010395167e-07	1.23916010395167e-07	13	1	TRUE	1	0	2.36093343764648	-0.559345387378558	-0.0337429862690724	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
1700019A02Rik	-0.112358016394136	0.575522446912716	0.575522446912716	9	0	FALSE	0	0	0.0769674597741345	-0.206728267259156	-0.078200634504887	2.32966248798611	4.34181833282916e-05	4.34181833282916e-05	16	1	TRUE	1	0	2.32966248798611	-0.736991564411559	-0.100667442859606	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
1700019G24Rik	-0.144186219992474	0.109703763987635	0.109703763987635	34	0	FALSE	0	0	0.117811403912718	-0.58548636863975	-0.170858657446701	0.90177157444102	0.00287917099474114	0.00287917099474114	29	3	TRUE	3	0	1.01029419234435	-0.764829062448784	-0.170266471635844	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
1700024B18Rik	-0.135104289204514	0.177650682262395	0.177650682262395	24	0	FALSE	0	0	0.12583354851507	-0.500851877935498	-0.16265660488786	-0.125664213096565	0.0210257627736715	0.0210257627736715	22	2	TRUE	1	1	0.877634523938351	-1.12896295013148	-0.134128657537685	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1700029B22Rik	-0.188962890381012	0.233934279470787	0.233934279470787	2	0	FALSE	0	0	0.042366391841045	-0.420292172603069	-0.188962890381012	0.89789850502529	0.00400047695801192	0.00400047695801192	2	1	TRUE	1	0	0.89789850502529	-0.534176627667243	0.181860938679023	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
