property	peakset	direction	n	total	mean	sd	min	q25	median	q75	max
Fold	Annotated peakset	Gained	7686	12799.4812364675	1.66529810518702	0.719733318420574	0.614470811105658	1.09156147255536	1.51044640246255	2.07173839136942	4.92069178566913
Fold	Annotated peakset	Lost	1200	-1282.64212580796	-1.0688684381733	0.301448320955297	-2.61252052033969	-1.21248112820233	-0.984791997013259	-0.850547061645712	-0.631383639717979
Fold	Annotated peakset	Unchanged	193764	-1838.56384851725	-0.0094886761654242	0.151432253986942	-2.36509012096033	-0.0486618715678633	-0.00917312442100296	0.0241400095365793	3.52065852478803
Fold	DiffBind Conc4 peakset	Gained	5675	8389.950091963	1.47840530254855	0.702606287649079	0.403475045	0.9286822085	1.337425098	1.9040789705	4.74610494
Fold	DiffBind Conc4 peakset	Lost	1107	-988.124761527	-0.892614960728997	0.312754197792948	-2.55782773	-1.0594935375	-0.811557376	-0.657949441	-0.42307563
Fold	DiffBind Conc4 peakset	Unchanged	30022	-565.27516644	-0.0188286978362534	0.150533074509107	-0.773110883	-0.08198596875	-0.0260622265	0.03081196625	0.854390784
width	Annotated peakset	Gained	7686	3082946	401.111891751236	5.69054247521191	401	401	401	401	713
width	Annotated peakset	Lost	1200	481926	401.605	14.8168346988173	401	401	401	401	772
width	Annotated peakset	Unchanged	193764	77806743	401.554174149997	13.6583286531876	401	401	401	401	800
width	DiffBind Conc4 peakset	Gained	5675	9321146	1642.49268722467	790.458961066614	206	1064.5	1493	2087.5	5623
width	DiffBind Conc4 peakset	Lost	1107	1757390	1587.52484191509	814.517040400035	198	989	1479	2012	5835
width	DiffBind Conc4 peakset	Unchanged	30022	49193838	1638.59296515888	643.478232397628	155	1213	1556	1971	6832
Conc	Annotated peakset	Gained	7686	28722.2292032379	3.73695409878193	0.900108457789159	2.12806039449499	3.06622988423832	3.62021307907045	4.2749633636059	7.59940444922576
Conc	Annotated peakset	Lost	1200	4584.56303565067	3.82046919637556	1.00559275684035	2.1321494152205	3.07484268293793	3.72540448262974	4.46145006772271	7.74698051116641
Conc	Annotated peakset	Unchanged	193764	494236.951039291	2.5507160826536	0.685209602995048	0	2.16801353050274	2.47618278822685	2.81652583679642	9.04523805323833
Conc	DiffBind Conc4 peakset	Gained	5675	29414.114395842	5.18310385829815	0.87812070915133	4.000220429	4.489033002	4.992440664	5.7192527135	8.956925467
Conc	DiffBind Conc4 peakset	Lost	1107	5879.887408675	5.31155140801716	0.91876466012451	4.004236724	4.598244657	5.135941178	5.890233112	8.837699234
Conc	DiffBind Conc4 peakset	Unchanged	30022	142086.068250696	4.7327316051794	0.735505034903004	4.000004264	4.21431086725	4.5023591635	4.99285443875	10.28409842
linear_conc	Annotated peakset	Gained	7686	128319.415951649	16.6952141493168	14.4225490038173	4.37129394487815	8.37581680481174	12.296817496648	19.3594142064753	193.931648161328
linear_conc	Annotated peakset	Lost	1200	22309.1530117053	18.5909608430878	17.8720585668383	4.38370104790314	8.42596944572974	13.2269130829954	22.0308589803317	214.819405163801
linear_conc	Annotated peakset	Unchanged	193764	1324348.46767715	6.83485305669344	6.89194462805205	1	4.49404175988675	5.56423282575356	7.04463928693785	528.308954721483
linear_conc	DiffBind Conc4 peakset	Gained	5675	257177.295312862	45.3175850771563	39.5108679579819	16.002444822605	22.4560618104554	31.8327670725792	52.6825295698501	496.939174818815
linear_conc	DiffBind Conc4 peakset	Lost	1107	55799.807698969	50.4063303513721	45.3908442818909	16.0470558327126	24.2220297373881	35.1619013015236	59.3115699670934	457.522611109241
linear_conc	DiffBind Conc4 peakset	Unchanged	30022	962486.752527785	32.0593815377985	33.0899338833907	16.0000472893431	18.5623938069864	22.6644486954533	31.8418982470388	1246.87266129581
signal_mass	Annotated peakset	Gained	7686	51465078.1881778	6695.95084415532	5783.32198581392	1752.88887189614	3359.92198322705	4931.702300373	7767.38368776363	77766.5909126925
signal_mass	Annotated peakset	Lost	1200	8951357.51915585	7459.46459929654	7164.7321674316	1757.86412020916	3382.08411981998	5327.58095389964	8834.37445111302	86142.5814706842
signal_mass	Annotated peakset	Unchanged	193764	532062512.74527	2745.9306824037	2769.4382026529	401	1802.13786330052	2231.3390702915	2825.55979250263	211851.890843315
signal_mass	DiffBind Conc4 peakset	Gained	5675	518655432.728363	91393.0277935442	132764.788787098	3444.11987476847	25734.3933633716	47116.0395011267	101119.898453205	1869806.79505783
signal_mass	DiffBind Conc4 peakset	Lost	1107	109671692.019189	99071.0858348588	146690.657905727	3926.94653989631	25505.1224683867	51982.3391326144	108439.603739869	1647538.92260438
signal_mass	DiffBind Conc4 peakset	Unchanged	30022	1816484925.32214	60505.1270842095	108947.650800192	2595.82634523654	24387.2609726834	35014.6021232216	58619.9716594016	6248078.90575332
mass_delta	Annotated peakset	Gained	7686	60802452.4107479	7910.80567404995	7737.63395126654	1787.9626631289	3470.96603988203	5361.62930994457	9125.77184514369	102628.563232114
mass_delta	Annotated peakset	Lost	1200	-7997090.53709213	-6664.24211424344	6619.51005254059	-100211.167250715	-7801.54209967513	-4567.65421249734	-2995.23790474871	-1706.55998725643
