background	background_meaning	rank	n_marks_ranked	metric	metric_short	metric_display	cliffs_delta	abs_delta	delta_ci_low	delta_ci_high	delta_magnitude	median_difference	p_value	fdr
MeCP2_and_mCH	genes where MeCP2 binding and mCH both change	1	5	k119ub_gb_log2fc	H2AK119ub signal	H2AK119ub (gene-body signal log2FC)	-0.276129943502825	0.276129943502825	-0.427059060416953	-0.110231459564396	small	-0.2141095	0.0039764843776973	0.0159059375107892
MeCP2_and_mCH	genes where MeCP2 binding and mCH both change	2	5	k27ac_fold	H3K27ac	H3K27ac (peak log2FC)	0.190821256038647	0.190821256038647	-0.0346885363192203	0.397840811376696	small	0.396399424431671	0.110357428835455	0.189184163717922
MeCP2_and_mCH	genes where MeCP2 binding and mCH both change	3	5	atac_fold	ATAC	ATAC (peak log2FC)	0.167048054919908	0.167048054919908	-0.0219151885581803	0.344487634884211	small	0.0655883174795526	0.0874876571588963	0.174975314317793
MeCP2_and_mCH	genes where MeCP2 binding and mCH both change	4	5	k119ub_fold	H2AK119ub peak	H2AK119ub (peak log2FC)	-0.0740655812886953	0.0740655812886953	-0.257757946222086	0.114794108693978	negligible	-0.418939138	0.473784637892167	0.568541565470601
MeCP2_and_mCH	genes where MeCP2 binding and mCH both change	5	5	k27me3_fold	H3K27me3	H3K27me3 (peak log2FC)	0.0387596899224806	0.0387596899224806	-0.242764912037453	0.314262773127536	negligible	-0.0189262725942048	0.807947862763763	0.88139766846956
Neither	genes where neither MeCP2 binding nor mCH changes	1	5	k119ub_gb_log2fc	H2AK119ub signal	H2AK119ub (gene-body signal log2FC)	0.336392785805231	0.336392785805231	0.198534799348561	0.461198180993783	medium	0.219592	8.04909722709083e-06	9.658916672509e-05
Neither	genes where neither MeCP2 binding nor mCH changes	2	5	k27ac_fold	H3K27ac	H3K27ac (peak log2FC)	-0.226599582304917	0.226599582304917	-0.438047714016988	0.00860804028791657	small	-0.135148498405244	0.0189451118273377	0.0454682683856105
Neither	genes where neither MeCP2 binding nor mCH changes	3	5	k119ub_fold	H2AK119ub peak	H2AK119ub (peak log2FC)	0.210484419884404	0.210484419884404	0.0473737781194176	0.362661501715527	small	0.067286212	0.0110851186878317	0.0332553560634951
Neither	genes where neither MeCP2 binding nor mCH changes	4	5	atac_fold	ATAC	ATAC (peak log2FC)	0.0728804389829198	0.0728804389829198	-0.104423366252093	0.245694203380054	negligible	0.0303884193027368	0.342048393982306	0.456064525309741
Neither	genes where neither MeCP2 binding nor mCH changes	5	5	k27me3_fold	H3K27me3	H3K27me3 (peak log2FC)	0.0152269126828814	0.0152269126828814	-0.251131590902098	0.279441705177879	negligible	-0.0235434931324802	0.904328223479586	0.904328223479586
