ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	ranking	is_significant	is_neuronal	n_genes_ranked
GO:0050907	detection of chemical stimulus involved in sensory perception	490	-0.641180349266034	-3.6625365944208	1e-10	1.72333333333333e-07	1.60982456140351e-07	3840	tags=59%, list=18%, signal=50%	259048/258656/258463/258442/258990/404473/258264/258328/193034/258462/258276/258958/258051/258932/258393/258959/258294/629524/258042/12353/100038859/258712/258008/258969/14686/258273/258858/258797/404337/233670/258993/404327/258381/258443/387512/258585/18716/258224/258365/259036/258207/259112/258470/242851/387348/258459/404315/258716/258841/404222/258647/258064/258690/634104/258291/258267/258437/258954/258085/257909/258364/258334/258219/211472/259113/258469/57270/258041/258581/546896/258834/258603/258402/258461/258403/258681/258311/258835/257875/258831/258465/259034/258951/258087/29846/258718/228228/387344/258295/258879/258757/258549/258960/258327/387352/258255/257931/258238/258794/258854/259109/258105/258989/258366/57251/259011/258407/258829/258662/258881/257888/258612/258388/387340/258776/269862/258680/258963/258354/259093/258754/258955/258300/57254/258627/387339/258390/257939/258730/258351/258759/258259/258369/258717/258302/100038860/258269/258562/258317/258875/258272/257890/258309/257971/257932/259047/258793/258268/258136/258828/258853/258315/258501/258159/259123/18347/258667/100502887/258283/353325/258825/258702/387515/384703/259071/258899/18314/257891/18313/258682/57250/258739/100040268/258666/387343/404323/258479/218066/258464/259069/235256/258785/258494/258915/228443/258924/259028/258908/387353/258482/258414/258886/387355/258843/258331/258713/404346/235248/258931/258546/258198/258513/258533/258426/258711/258016/259063/258582/259162/257933/277935/258111/258101/258363/258643/258498/258895/545985/258425/258316/258290/258852/258353/404336/258261/387345/258532/258301/258968/259110/258035/257996/258645/259012/83771/433449/258654/257892/258343/258635/258214/258534/258837/259020/258395/258408/258804/100043474/100043200/258466/258508/18316/258579/258752/384732/406176/258270/258787/258575/258303/258770/258460/258406/258984/259072/258644/258914/258480/258493/257881/258495/258497/18329/259082/258789/258897/258206/276865/258265/258448/258455/258306/259148/258933/277562/258392/18307/258220/258764/258952	K119ub gene-body log2FC	TRUE	FALSE	21490
GO:0050911	detection of chemical stimulus involved in sensory perception of smell	439	-0.651846674960239	-3.6541637116569	1e-10	1.72333333333333e-07	1.60982456140351e-07	3197	tags=57%, list=15%, signal=49%	258712/258008/258969/258273/258858/258797/404337/233670/258993/404327/258381/258443/258585/258224/258365/259036/258207/259112/258470/258459/404315/258716/258841/404222/258647/258064/258690/634104/258291/258267/258437/258954/258085/257909/258364/258334/258219/211472/259113/258469/57270/258041/258581/546896/258834/258603/258402/258461/258403/258311/258835/257875/258831/258465/259034/258951/258087/29846/258718/228228/258295/258879/258757/258549/258960/258327/258255/257931/258238/258794/258854/259109/258105/258989/258366/57251/259011/258407/258829/258662/258881/257888/258612/258388/258776/269862/258963/258354/259093/258754/258955/258300/258627/258390/257939/258730/258351/258759/258259/258369/258717/258302/100038860/258269/258562/258317/258875/258272/257890/258309/257971/257932/259047/258793/258268/258136/258828/258853/258315/258501/258159/259123/18347/258667/100502887/258283/258825/258702/384703/259071/258899/18314/257891/18313/57250/258739/100040268/258666/404323/258479/218066/258464/259069/235256/258785/258494/258915/228443/258924/259028/258908/258482/258414/258886/258843/258331/258713/404346/235248/258931/258546/258198/258513/258533/258426/258711/258016/259063/258582/259162/257933/277935/258111/258101/258363/258643/258498/258895/545985/258425/258316/258290/258852/258353/404336/258261/258532/258301/258968/259110/258035/257996/258645/259012/433449/258654/257892/258343/258635/258214/258534/258837/259020/258395/258408/258804/100043474/100043200/258466/258508/18316/258579/258752/384732/406176/258270/258787/258575/258303/258770/258460/258406/258984/259072/258644/258914/258480/258493/257881/258495/258497/18329/259082/258789/258897/258206/276865/258265/258448/258455/258306/259148/258933/277562/258392/18307/258220/258764/258952	K119ub gene-body log2FC	TRUE	FALSE	21490
GO:0019236	response to pheromone	77	-0.703080498377571	-3.11943667662964	1e-10	1.72333333333333e-07	1.60982456140351e-07	2578	tags=56%, list=12%, signal=49%	22296/113845/252907/171185/171273/171194/171249/171275/113852/171203/171257/171236/113857/171248/171186/171246/171193/113851/171196/113849/171258/171270/22297/171247/171205/171184/171197/113847/171202/171183/171195/113850/171198/113846/171199/171272/113854/434016/113856/171187/171278/24112/632534	K119ub gene-body log2FC	TRUE	FALSE	21490
GO:0019730	antimicrobial humoral response	161	-0.439201666263536	-2.20922707650059	2.7973727587014e-09	2.41040286041437e-06	2.2516396871793e-06	4411	tags=47%, list=21%, signal=38%	67701/16447/110557/21946/16855/20568/12945/14972/19041/14980/14963/78416/219033/109648/94175/385643/78128/14964/18489/242100/13013/19694/18843/23855/17002/384997/72432/14985/546038/23993/84506/408190/330122/67135/15013/15043/14433/16857/224754/503844/20309/100041787/399549/66438/15015/629756/224761/224753/14027/19695/353320/20755/54450/100034251/55985/277345/57349/382000/15006/100294660/15024/629754/224756/12796/20307/14997/20202/30053/19692/20311/14038/192200/333715/403172/15007/56744	K119ub gene-body log2FC	TRUE	FALSE	21490
GO:0006959	humoral immune response	270	-0.370947891961259	-2.00236373637556	2.59022329286103e-09	2.41040286041437e-06	2.2516396871793e-06	4411	tags=39%, list=21%, signal=32%	67701/16447/15139/110557/21946/16855/20568/12945/14972/19041/19264/14980/14963/317757/78416/219033/109648/94175/385643/78128/14964/239447/18489/242100/22789/13013/19694/18843/23855/17194/17221/12279/17002/83433/384997/72432/14985/546038/14962/12266/23993/11801/12944/84506/408190/330122/67135/15013/12262/15043/14433/16857/224754/503844/50702/20309/100041787/399549/12772/66438/18636/15015/629756/15223/224761/224753/14134/14027/19695/353320/20755/12775/54450/16176/100034251/17175/55985/625018/277345/232345/12259/57349/382000/16992/12268/15006/100294660/317677/15024/629754/224756/12796/20307/14997/20202/30053/21926/15972/19692/20311/14038/192200/333715/403172/15007/56744	K119ub gene-body log2FC	TRUE	FALSE	21490
GO:0042742	defense response to bacterium	354	-0.331976428128207	-1.80970380765578	2.68235551355495e-09	2.41040286041437e-06	2.2516396871793e-06	4355	tags=37%, list=20%, signal=30%	12491/16447/110557/21946/16855/20568/12945/319579/14972/19041/16173/20963/14980/14963/244202/22242/78416/19370/219033/109648/13586/216799/78128/14964/331063/18489/242100/70163/15900/246085/26390/18843/23855/360217/17969/17194/14000/231699/266620/18780/246700/17002/83433/384997/72432/100042514/634650/14985/546038/23993/19376/69541/246727/17948/140792/13861/84506/27358/11745/408190/18126/13587/17105/58218/67135/27007/15013/15043/17952/16859/332427/16857/60440/17940/224754/503844/100535/100041787/399549/66438/15015/629756/56093/224761/224753/14027/19695/353320/20755/16819/16176/100034251/53877/13215/243262/17951/360212/20737/55985/93726/12608/277345/19074/19752/382000/16992/15006/100294660/58217/15024/629754/224756/12796/57757/497113/14997/74180/246082/93719/21926/66824/54159/20311/14038/192200/333715/403172/15007/360211/654459	K119ub gene-body log2FC	TRUE	FALSE	21490
GO:0019731	antibacterial humoral response	96	-0.495907625853406	-2.28482848386786	1.70074962796601e-08	1.25612508236918e-05	1.17338936738467e-05	4411	tags=53%, list=21%, signal=42%	67701/16447/110557/16855/20568/12945/14972/19041/14980/14963/78416/219033/109648/78128/14964/18843/23855/17002/72432/14985/23993/408190/67135/15013/15043/16857/224754/503844/100041787/399549/15015/629756/224761/224753/14027/353320/20755/100034251/277345/382000/15006/100294660/15024/629754/224756/12796/14997/14038/192200/333715/15007	K119ub gene-body log2FC	TRUE	FALSE	21490
GO:0045954	positive regulation of natural killer cell mediated cytotoxicity	56	-0.586713740214672	-2.42272683402873	2.71279700706492e-08	1.7531450658157e-05	1.63767271952814e-05	4302	tags=57%, list=20%, signal=46%	110557/20850/14972/22324/60505/14980/14963/317757/58179/16783/14964/11765/225825/14985/27007/15013/15043/224754/16642/399549/15015/224761/224753/16643/243655/15006/30925/15024/224756/14997/333715/15007	K119ub gene-body log2FC	TRUE	FALSE	21490
GO:0008033	tRNA processing	122	0.502498309328555	2.1084516344528	3.08335933481673e-08	1.77121864011139e-05	1.65455586294025e-05	4440	tags=39%, list=21%, signal=31%	227522/68260/71916/52575/77766/69961/66628/66757/100087/74455/17299/66192/71989/78651/107328/100233175/30947/208366/70359/98985/233189/229780/72085/69786/114615/15108/66246/69185/320816/69372/75284/13434/108943/212528/319582/76357/67049/28114/67789/68916/66926/328162/74753/228019/67053/66161/69955/106248	K119ub gene-body log2FC	TRUE	FALSE	21490
GO:0006400	tRNA modification	85	0.550192791305374	2.2202955844224	3.65711517125608e-08	1.89072854353939e-05	1.76619414797083e-05	3757	tags=40%, list=17%, signal=33%	68260/71916/52575/77766/66628/66757/100087/74455/17299/71989/100233175/70359/233189/229780/72085/69786/15108/66246/69185/320816/69372/75284/13434/108943/212528/319582/76357/67049/28114/67789/68916/66926/328162/74753	K119ub gene-body log2FC	TRUE	FALSE	21490
