gene_name	ctrl_aging_fold	ctrl_aging_fdr	ctrl_aging_min_fdr	ctrl_aging_n_peaks	ctrl_aging_n_sig	ctrl_aging_has_sig	ctrl_aging_n_sig_up	ctrl_aging_n_sig_down	ctrl_aging_max_fold	ctrl_aging_min_fold	ctrl_aging_mean_fold	mut_aging_fold	mut_aging_fdr	mut_aging_min_fdr	mut_aging_n_peaks	mut_aging_n_sig	mut_aging_has_sig	mut_aging_n_sig_up	mut_aging_n_sig_down	mut_aging_max_fold	mut_aging_min_fold	mut_aging_mean_fold	has_ctrl_peak	has_mut_peak	in_universe	ctrl_aging_up	mut_aging_up	ctrl_aging_down	mut_aging_down	ctrl_aging_sig	mut_aging_sig	mut_specific_aging_up	shared_aging_up	ctrl_specific_aging_up
0610009E02Rik	-0.281741508680632	0.401352146659867	0.401352146659867	2	0	FALSE	0	0	-0.266376522699605	-0.297106494661658	-0.281741508680632	-0.0813388556609645	0.279441408122274	0.279441408122274	2	0	FALSE	0	0	0.260413905513963	-0.423091616835892	-0.0813388556609645	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
0610010K14Rik	0.0270961094421139	0.953588886766161	0.953588886766161	2	0	FALSE	0	0	0.0300870932695724	0.0241051256146555	0.0270961094421139	-0.347074321705659	0.308736858967649	0.308736858967649	1	0	FALSE	0	0	-0.347074321705659	-0.347074321705659	-0.347074321705659	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
0610030E20Rik	-0.151964128365859	0.395764449381358	0.395764449381358	2	0	FALSE	0	0	-0.00133395253319028	-0.302594304198528	-0.151964128365859	-0.213220318480351	0.0718822410688701	0.0718822410688701	3	0	FALSE	0	0	-0.0657545477249468	-0.703686246313981	-0.327553704173093	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
0610031O16Rik	-0.08512541649057	0.388904969039799	0.388904969039799	4	0	FALSE	0	0	0.112385634360642	-0.306320784123758	-0.091046495686064	-0.231564091153535	0.0511280592792758	0.0511280592792758	3	0	FALSE	0	0	0.0432702247223311	-0.757837724028124	-0.315377196819776	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
0610038B21Rik	-0.87376143848478	0.0415666067796182	0.0415666067796182	60	1	TRUE	0	1	0.432252426271478	-0.87376143848478	-0.107458326555058	-0.164232426046533	0.0617348343999638	0.0617348343999638	55	0	FALSE	0	0	0.261458794056621	-0.707451310375571	-0.189253063227096	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
0610039K10Rik	-0.101263199507224	0.790749320834836	0.790749320834836	1	0	FALSE	0	0	-0.101263199507224	-0.101263199507224	-0.101263199507224	-0.295857960638907	0.290381447596575	0.290381447596575	2	0	FALSE	0	0	-0.162541221710775	-0.429174699567039	-0.295857960638907	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
0610040B10Rik	-0.176760158581805	0.312886872921619	0.312886872921619	2	0	FALSE	0	0	0.0021262400771886	-0.355646557240799	-0.176760158581805	-0.908229512311609	0.0354447090163817	0.0354447090163817	1	1	TRUE	0	1	-0.908229512311609	-0.908229512311609	-0.908229512311609	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
0610040F04Rik	0.762223525167216	0.0223591056632491	0.0223591056632491	34	3	TRUE	2	1	0.803150230290382	-0.686768240597165	-0.0383350729851064	1.74797140790054	5.36983580797462e-10	5.36983580797462e-10	30	4	TRUE	4	0	2.13464291642085	-0.428287139070765	0.148189506345806	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE
0610040J01Rik	-0.0748461640640664	0.227381409505907	0.227381409505907	24	0	FALSE	0	0	0.200586301740641	-0.428538050636379	-0.108658194165691	-0.918042483175737	0.0151144400029215	0.0151144400029215	24	1	TRUE	0	1	0.210486702230631	-0.918042483175737	-0.218047028187281	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
0610043K17Rik	0.0103678261602308	0.272552762228552	0.272552762228552	5	0	FALSE	0	0	0.149040550503887	-0.382563215992164	-0.0788487214027776	-0.280598279874815	0.121832467068231	0.121832467068231	6	0	FALSE	0	0	-0.078929272693589	-0.637774416085548	-0.314656590430432	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
