n_peaks_per_gene	n_genes	percentage_of_genes
1	3738	17.6362349610757
2	2924	13.79570653456
3	2314	10.9176692616183
4	1801	8.49728709601321
5	1397	6.59117716442557
6	1139	5.37390894078792
7	853	4.02453408822836
8	726	3.42533616418967
9	575	2.71290398678934
10	533	2.51474404340646
11	404	1.90610993158764
12	407	1.92026421325784
13	353	1.66548714319415
14	312	1.47204529370134
15	258	1.21726822363765
16	230	1.08516159471573
17	207	0.976645435244161
18	179	0.844538806322246
19	166	0.783203585751356
20	154	0.726586459070536
21	124	0.585043642368483
22	147	0.693559801840057
23	116	0.547298891247936
24	122	0.575607454588346
25	118	0.556735079028073
26	103	0.485963670677046
27	102	0.481245576786978
28	102	0.481245576786978
29	73	0.344420853974994
30	70	0.330266572304789
31	75	0.353857041755131
32	70	0.330266572304789
33	61	0.287803727294173
34	62	0.292521821184242
35	58	0.273649445623968
36	58	0.273649445623968
37	38	0.1792875678226
38	48	0.226468506723284
39	51	0.240622788393489
40	42	0.198159943382873
41	42	0.198159943382873
42	38	0.1792875678226
43	35	0.165133286152394
44	29	0.136824722811984
45	48	0.226468506723284
46	22	0.103798065581505
47	44	0.20759613116301
48	30	0.141542816702052
49	30	0.141542816702052
50	30	0.141542816702052
51	22	0.103798065581505
52	24	0.113234253361642
53	22	0.103798065581505
54	20	0.0943618778013682
55	18	0.0849256900212314
56	15	0.0707714083510262
57	14	0.0660533144609578
58	23	0.108516159471573
59	11	0.0518990327907525
60	17	0.080207596131163
61	17	0.080207596131163
62	14	0.0660533144609578
63	14	0.0660533144609578
64	12	0.0566171266808209
65	13	0.0613352205708894
66	9	0.0424628450106157
67	7	0.0330266572304789
68	11	0.0518990327907525
69	9	0.0424628450106157
70	9	0.0424628450106157
71	9	0.0424628450106157
72	17	0.080207596131163
73	3	0.0141542816702052
74	13	0.0613352205708894
75	2	0.00943618778013683
76	2	0.00943618778013683
77	5	0.0235904694503421
78	9	0.0424628450106157
79	3	0.0141542816702052
80	3	0.0141542816702052
81	8	0.0377447511205473
82	9	0.0424628450106157
83	6	0.0283085633404105
84	8	0.0377447511205473
85	4	0.0188723755602737
86	2	0.00943618778013683
87	3	0.0141542816702052
88	4	0.0188723755602737
89	5	0.0235904694503421
90	4	0.0188723755602737
91	1	0.00471809389006841
92	6	0.0283085633404105
93	5	0.0235904694503421
94	5	0.0235904694503421
95	1	0.00471809389006841
96	1	0.00471809389006841
97	5	0.0235904694503421
98	3	0.0141542816702052
99	8	0.0377447511205473
100	4	0.0188723755602737
101	2	0.00943618778013683
102	1	0.00471809389006841
103	1	0.00471809389006841
104	2	0.00943618778013683
105	1	0.00471809389006841
106	3	0.0141542816702052
107	1	0.00471809389006841
108	1	0.00471809389006841
109	5	0.0235904694503421
110	3	0.0141542816702052
111	2	0.00943618778013683
112	1	0.00471809389006841
113	1	0.00471809389006841
114	1	0.00471809389006841
115	1	0.00471809389006841
116	1	0.00471809389006841
117	5	0.0235904694503421
118	2	0.00943618778013683
119	1	0.00471809389006841
122	2	0.00943618778013683
125	1	0.00471809389006841
127	2	0.00943618778013683
128	1	0.00471809389006841
129	2	0.00943618778013683
131	3	0.0141542816702052
132	1	0.00471809389006841
135	1	0.00471809389006841
136	2	0.00943618778013683
137	1	0.00471809389006841
138	1	0.00471809389006841
139	1	0.00471809389006841
144	1	0.00471809389006841
146	1	0.00471809389006841
148	1	0.00471809389006841
149	2	0.00943618778013683
151	1	0.00471809389006841
152	1	0.00471809389006841
154	1	0.00471809389006841
158	1	0.00471809389006841
159	1	0.00471809389006841
163	1	0.00471809389006841
171	1	0.00471809389006841
174	1	0.00471809389006841
182	1	0.00471809389006841
184	2	0.00943618778013683
186	2	0.00943618778013683
187	2	0.00943618778013683
190	1	0.00471809389006841
221	1	0.00471809389006841
226	1	0.00471809389006841
264	1	0.00471809389006841
281	1	0.00471809389006841
