group	group_label	metric	metric_display	n_genes_in_group	n_with_metric	pct_with_metric	median	mean	q25	q75
MeCP2_only	MeCP2 changes (no mCH change)	k119ub_fold	H2AK119ub (peak log2FC)	59	49	83.0508474576271	0.186698461	0.360255961285714	-0.008778974	0.705040572
MeCP2_only	MeCP2 changes (no mCH change)	k119ub_gb_log2fc	H2AK119ub (gene-body signal log2FC)	59	59	100	0.222978	0.212639644067797	-0.0423125	0.3871865
MeCP2_only	MeCP2 changes (no mCH change)	k27me3_fold	H3K27me3 (peak log2FC)	59	21	35.5932203389831	-0.0962468676392361	0.150044322927101	-0.231315953655323	0.277580991535636
MeCP2_only	MeCP2 changes (no mCH change)	k27ac_fold	H3K27ac (peak log2FC)	59	36	61.0169491525424	-0.102433474266549	-0.306008509371923	-0.620173122741928	0.15171965532101
MeCP2_only	MeCP2 changes (no mCH change)	atac_fold	ATAC (peak log2FC)	59	57	96.6101694915254	0.120869650741934	0.179311929039886	-0.0113194869570328	0.262987122047298
MeCP2_only	MeCP2 changes (no mCH change)	k119ub_gb_ctrl_signal	H2AK119ub (control gene-body signal)	59	59	100	1.399432	1.98728377966102	0.850738	2.413572
MeCP2_and_mCH	MeCP2 and mCH (both change)	k119ub_fold	H2AK119ub (peak log2FC)	96	89	92.7083333333333	0.605637599	0.472737443651685	-0.139855853	0.934164295
MeCP2_and_mCH	MeCP2 and mCH (both change)	k119ub_gb_log2fc	H2AK119ub (gene-body signal log2FC)	96	96	100	0.4370875	0.468405708333333	-0.0017665	0.88064925
MeCP2_and_mCH	MeCP2 and mCH (both change)	k27me3_fold	H3K27me3 (peak log2FC)	96	43	44.7916666666667	-0.0773205950450313	0.183372786869003	-0.386291512523574	0.444982564943261
MeCP2_and_mCH	MeCP2 and mCH (both change)	k27ac_fold	H3K27ac (peak log2FC)	96	69	71.875	-0.49883289869822	-0.53659886488231	-1.08710951872117	0.045101557185742
MeCP2_and_mCH	MeCP2 and mCH (both change)	atac_fold	ATAC (peak log2FC)	96	92	95.8333333333333	0.0552813332623814	0.0111766426542533	-0.14827041970825	0.253220965978263
MeCP2_and_mCH	MeCP2 and mCH (both change)	k119ub_gb_ctrl_signal	H2AK119ub (control gene-body signal)	96	96	100	1.6525715	2.33979061458333	1.08567875	2.6801355
Neither	Neither changes	k119ub_fold	H2AK119ub (peak log2FC)	11891	5307	44.6303927340005	0.119412249	0.157969026982853	-0.172563009	0.447543838
Neither	Neither changes	k119ub_gb_log2fc	H2AK119ub (gene-body signal log2FC)	11891	11608	97.6200487763855	0.003386	0.0191507788594073	-0.21021675	0.225739
Neither	Neither changes	k27me3_fold	H3K27me3 (peak log2FC)	11891	2555	21.4868387856362	-0.0727033745067559	0.0327618898990722	-0.259268798360312	0.153025799841881
Neither	Neither changes	k27ac_fold	H3K27ac (peak log2FC)	11891	5267	44.294003868472	0.0327150241386956	-0.0301557934864382	-0.146844428967198	0.16534730541189
Neither	Neither changes	atac_fold	ATAC (peak log2FC)	11891	9534	80.1782860987301	0.0904812314391972	0.139335523685234	0.0217540679369015	0.198265646651039
Neither	Neither changes	k119ub_gb_ctrl_signal	H2AK119ub (control gene-body signal)	11891	11876	99.8738541754268	0.966291	1.39039412967329	0.60639175	1.62025975
