mark_category	quadrant	n_genes	n_category	percentage	quadrant_meaning	chi_squared	chi_squared_df	chi_squared_p
K27ac only	Q1	730	4269	17.1000234246896	mCH up, MeCP2 up	113.766269971084	9	2.51091998422889e-20
K27ac only	Q2	401	4269	9.39330053876786	mCH down, MeCP2 up	113.766269971084	9	2.51091998422889e-20
K27ac only	Q3	1506	4269	35.2775825720309	mCH down, MeCP2 down	113.766269971084	9	2.51091998422889e-20
K27ac only	Q4	1632	4269	38.2290934645116	mCH up, MeCP2 down	113.766269971084	9	2.51091998422889e-20
Bivalent	Q1	113	555	20.3603603603604	mCH up, MeCP2 up	113.766269971084	9	2.51091998422889e-20
Bivalent	Q2	54	555	9.72972972972973	mCH down, MeCP2 up	113.766269971084	9	2.51091998422889e-20
Bivalent	Q3	225	555	40.5405405405405	mCH down, MeCP2 down	113.766269971084	9	2.51091998422889e-20
Bivalent	Q4	163	555	29.3693693693694	mCH up, MeCP2 down	113.766269971084	9	2.51091998422889e-20
K27me3 only	Q1	309	1921	16.0853722019781	mCH up, MeCP2 up	113.766269971084	9	2.51091998422889e-20
K27me3 only	Q2	215	1921	11.1920874544508	mCH down, MeCP2 up	113.766269971084	9	2.51091998422889e-20
K27me3 only	Q3	892	1921	46.4341488807913	mCH down, MeCP2 down	113.766269971084	9	2.51091998422889e-20
K27me3 only	Q4	505	1921	26.2883914627798	mCH up, MeCP2 down	113.766269971084	9	2.51091998422889e-20
Neither	Q1	462	2772	16.6666666666667	mCH up, MeCP2 up	113.766269971084	9	2.51091998422889e-20
Neither	Q2	302	2772	10.8946608946609	mCH down, MeCP2 up	113.766269971084	9	2.51091998422889e-20
Neither	Q3	1085	2772	39.1414141414141	mCH down, MeCP2 down	113.766269971084	9	2.51091998422889e-20
Neither	Q4	923	2772	33.2972582972583	mCH up, MeCP2 down	113.766269971084	9	2.51091998422889e-20
