variable_1	variable_2	spearman_rho	p_value	n_genes
mCH difference	mCH difference	1	NA	21097
ATAC-seq log2FC	mCH difference	-0.10735298644913	4.67674434542485e-39	14747
H3K27ac log2FC	mCH difference	-0.247109182764718	6.65336075040832e-120	8606
H3K27me3 log2FC	mCH difference	0.0632426415886864	3.70957252721795e-05	4248
H2AK119ub log2FC	mCH difference	0.355892821907583	7.54426211276657e-264	8894
mCH difference	ATAC-seq log2FC	-0.10735298644913	4.67674434542485e-39	14747
ATAC-seq log2FC	ATAC-seq log2FC	1	NA	14747
H3K27ac log2FC	ATAC-seq log2FC	0.441542102841899	0	8458
H3K27me3 log2FC	ATAC-seq log2FC	-0.415196336401247	1.34834384798427e-159	3832
H2AK119ub log2FC	ATAC-seq log2FC	-0.220939265645993	1.03001920454535e-94	8521
mCH difference	H3K27ac log2FC	-0.247109182764718	6.65336075040832e-120	8606
ATAC-seq log2FC	H3K27ac log2FC	0.441542102841899	0	8458
H3K27ac log2FC	H3K27ac log2FC	1	NA	8606
H3K27me3 log2FC	H3K27ac log2FC	-0.502817205522312	3.53058370429467e-93	1441
H2AK119ub log2FC	H3K27ac log2FC	-0.301237929787723	1.09123287005668e-108	5159
mCH difference	H3K27me3 log2FC	0.0632426415886864	3.70957252721795e-05	4248
ATAC-seq log2FC	H3K27me3 log2FC	-0.415196336401247	1.34834384798427e-159	3832
H3K27ac log2FC	H3K27me3 log2FC	-0.502817205522312	3.53058370429467e-93	1441
H3K27me3 log2FC	H3K27me3 log2FC	1	NA	4248
H2AK119ub log2FC	H3K27me3 log2FC	0.282030330020309	1.40128926810202e-68	3698
mCH difference	H2AK119ub log2FC	0.355892821907583	7.54426211276657e-264	8894
ATAC-seq log2FC	H2AK119ub log2FC	-0.220939265645993	1.03001920454535e-94	8521
H3K27ac log2FC	H2AK119ub log2FC	-0.301237929787723	1.09123287005668e-108	5159
H3K27me3 log2FC	H2AK119ub log2FC	0.282030330020309	1.40128926810202e-68	3698
H2AK119ub log2FC	H2AK119ub log2FC	1	NA	8894
